Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,2040.0,2060.0,1860.0,1860.0,1860.0,5686800
2021-12-02,1860.0,1860.0,1730.0,1730.0,1730.0,3466900
2021-12-03,1700.0,1715.0,1610.0,1610.0,1610.0,4643900
2021-12-06,1635.0,1635.0,1570.0,1575.0,1575.0,3210000
2021-12-07,1610.0,1610.0,1500.0,1550.0,1550.0,4803900
2021-12-08,1630.0,1790.0,1555.0,1790.0,1790.0,4720900
2021-12-09,1815.0,1855.0,1735.0,1775.0,1775.0,4311500
2021-12-10,1800.0,1810.0,1655.0,1655.0,1655.0,4038100
2021-12-13,1655.0,1660.0,1575.0,1585.0,1585.0,4276600
2021-12-14,1585.0,1605.0,1480.0,1485.0,1485.0,1047000
2021-12-15,1500.0,1530.0,1445.0,1530.0,1530.0,4760200
2021-12-16,1530.0,1570.0,1435.0,1530.0,1530.0,4456400
2021-12-17,1535.0,1535.0,1430.0,1455.0,1455.0,615300
2021-12-20,1455.0,1455.0,1355.0,1355.0,1355.0,3138500
2021-12-21,1350.0,1480.0,1285.0,1480.0,1480.0,5444000
2021-12-22,1495.0,1495.0,1380.0,1420.0,1420.0,1047300
2021-12-23,1420.0,1420.0,1325.0,1325.0,1325.0,464100
2021-12-24,1305.0,1350.0,1260.0,1280.0,1280.0,751200
2021-12-27,1280.0,1310.0,1225.0,1230.0,1230.0,3062200
2021-12-28,1230.0,1290.0,1220.0,1225.0,1225.0,4339800
2021-12-29,1225.0,1240.0,1175.0,1230.0,1230.0,1907000
2021-12-30,1230.0,1270.0,1200.0,1235.0,1235.0,486500
2022-01-03,1230.0,1260.0,1215.0,1250.0,1250.0,2140700
2022-01-04,1275.0,1335.0,1215.0,1225.0,1225.0,2419800
2022-01-05,1250.0,1250.0,1140.0,1140.0,1140.0,991000
2022-01-06,1140.0,1140.0,1065.0,1065.0,1065.0,6000200
2022-01-07,1015.0,1090.0,995.0,995.0,995.0,8260700
