Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,392.0,392.0,392.0,392.0,392.0,100
2021-01-05,388.0,388.0,388.0,388.0,388.0,100
2021-01-06,368.0,480.0,368.0,474.0,474.0,17600
2021-01-07,474.0,545.0,444.0,450.0,450.0,57800
2021-01-08,450.0,454.0,422.0,426.0,426.0,5000
2021-01-11,406.0,410.0,406.0,410.0,410.0,2500
2021-01-12,390.0,390.0,390.0,390.0,390.0,100
2021-01-13,382.0,410.0,382.0,410.0,410.0,2200
2021-01-14,505.0,505.0,412.0,450.0,450.0,13500
2021-01-15,452.0,505.0,428.0,430.0,430.0,34300
2021-01-18,420.0,422.0,420.0,422.0,422.0,500
2021-01-19,420.0,422.0,420.0,422.0,422.0,700
2021-01-20,420.0,420.0,420.0,420.0,420.0,100
2021-01-21,420.0,420.0,420.0,420.0,420.0,700
2021-01-25,420.0,422.0,420.0,422.0,422.0,2200
2021-01-26,442.0,525.0,408.0,500.0,500.0,37500
2021-01-27,500.0,500.0,466.0,466.0,466.0,8200
2021-01-28,466.0,466.0,466.0,466.0,466.0,0
2021-01-29,446.0,496.0,446.0,446.0,446.0,800
2021-02-01,450.0,550.0,440.0,530.0,530.0,7500
2021-02-02,530.0,530.0,530.0,530.0,530.0,0
2021-02-03,520.0,520.0,520.0,520.0,520.0,5000
2021-02-04,520.0,520.0,520.0,520.0,520.0,0
2021-02-05,486.0,486.0,484.0,484.0,484.0,500
2021-02-08,454.0,482.0,452.0,452.0,452.0,3700
2021-02-09,422.0,565.0,422.0,490.0,490.0,18400
2021-02-10,490.0,605.0,460.0,510.0,510.0,5300
2021-02-11,530.0,530.0,476.0,476.0,476.0,13000
2021-02-15,476.0,490.0,476.0,490.0,490.0,400
2021-02-16,490.0,490.0,490.0,490.0,490.0,1100
2021-02-17,490.0,550.0,490.0,500.0,500.0,1200
2021-02-18,500.0,500.0,500.0,500.0,500.0,0
2021-02-19,500.0,500.0,490.0,490.0,490.0,400
2021-02-22,490.0,550.0,490.0,510.0,510.0,68800
2021-02-23,510.0,510.0,476.0,476.0,476.0,14300
2021-02-24,452.0,530.0,446.0,488.0,488.0,22900
2021-02-25,488.0,530.0,454.0,496.0,496.0,12000
2021-02-26,492.0,492.0,462.0,484.0,484.0,3300
2021-03-01,496.0,496.0,492.0,492.0,492.0,400
2021-03-02,494.0,494.0,460.0,494.0,494.0,4700
2021-03-03,505.0,505.0,460.0,460.0,460.0,2300
2021-03-04,464.0,464.0,434.0,434.0,434.0,3700
2021-03-05,428.0,500.0,428.0,478.0,478.0,6500
2021-03-08,478.0,484.0,478.0,478.0,478.0,3300
2021-03-09,446.0,448.0,446.0,448.0,448.0,3400
2021-03-10,422.0,448.0,418.0,420.0,420.0,1200
2021-03-12,400.0,520.0,400.0,424.0,424.0,26700
2021-03-15,424.0,505.0,420.0,460.0,460.0,16000
2021-03-16,458.0,460.0,434.0,434.0,434.0,6700
2021-03-17,434.0,500.0,434.0,498.0,498.0,6000
2021-03-18,498.0,498.0,464.0,466.0,466.0,19900
2021-03-19,466.0,466.0,436.0,446.0,446.0,5000
2021-03-22,444.0,500.0,444.0,500.0,500.0,12800
2021-03-23,500.0,500.0,468.0,498.0,498.0,1200
2021-03-24,498.0,498.0,498.0,498.0,498.0,0
2021-03-29,490.0,490.0,490.0,490.0,490.0,100
2021-03-30,470.0,488.0,466.0,466.0,466.0,4900
2021-03-31,446.0,490.0,436.0,436.0,436.0,4600
2021-04-01,420.0,525.0,420.0,496.0,496.0,27000
2021-04-05,515.0,515.0,488.0,498.0,498.0,5600
2021-04-06,464.0,464.0,464.0,464.0,464.0,3700
2021-04-07,464.0,464.0,434.0,434.0,434.0,3800
2021-04-08,434.0,520.0,434.0,440.0,440.0,6400
2021-04-09,420.0,520.0,420.0,500.0,500.0,11000
2021-04-12,468.0,500.0,466.0,468.0,468.0,5300
2021-04-13,464.0,464.0,436.0,444.0,444.0,3900
2021-04-14,444.0,498.0,444.0,496.0,496.0,13400
2021-04-15,488.0,488.0,488.0,488.0,488.0,300
2021-04-16,490.0,490.0,456.0,470.0,470.0,1500
2021-04-19,450.0,530.0,440.0,496.0,496.0,16100
2021-04-20,490.0,490.0,490.0,490.0,490.0,300
2021-04-21,490.0,490.0,490.0,490.0,490.0,0
2021-04-22,484.0,515.0,456.0,496.0,496.0,7300
2021-04-23,490.0,490.0,462.0,462.0,462.0,1700
2021-04-26,500.0,500.0,470.0,496.0,496.0,1700
