Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,152.0,162.0,150.0,153.0,153.0,13257200
2021-01-05,153.0,159.0,151.0,152.0,152.0,10787000
2021-01-06,152.0,158.0,150.0,150.0,150.0,7588000
2021-01-07,150.0,152.0,147.0,151.0,151.0,5882000
2021-01-08,151.0,159.0,148.0,158.0,158.0,21349400
2021-01-11,159.0,164.0,158.0,164.0,164.0,10617800
2021-01-12,164.0,168.0,148.0,148.0,148.0,29941000
2021-01-13,140.0,148.0,134.0,134.0,134.0,1144800
2021-01-14,134.0,134.0,121.0,132.0,132.0,7538000
2021-01-15,133.0,135.0,130.0,131.0,131.0,7984400
2021-01-18,131.0,132.0,129.0,132.0,132.0,3268100
2021-01-19,132.0,132.0,129.0,129.0,129.0,4910200
2021-01-20,129.0,141.0,129.0,141.0,141.0,16396400
2021-01-21,142.0,155.0,141.0,153.0,153.0,20848900
2021-01-22,153.0,164.0,138.0,138.0,138.0,52065000
2021-01-25,138.0,138.0,125.0,125.0,125.0,11232600
2021-01-26,118.0,118.0,113.0,113.0,113.0,1282300
2021-01-27,106.0,110.0,105.0,108.0,108.0,4414700
2021-01-28,108.0,109.0,107.0,107.0,107.0,2306200
2021-01-29,107.0,108.0,106.0,106.0,106.0,2632100
2021-02-01,107.0,110.0,105.0,109.0,109.0,4467700
2021-02-02,109.0,112.0,109.0,111.0,111.0,5206400
2021-02-03,111.0,119.0,111.0,116.0,116.0,13062400
2021-02-04,116.0,122.0,115.0,118.0,118.0,14893300
2021-02-05,118.0,119.0,117.0,117.0,117.0,1714400
2021-02-08,117.0,118.0,116.0,117.0,117.0,2183000
2021-02-09,117.0,123.0,117.0,120.0,120.0,10609400
2021-02-10,119.0,122.0,118.0,120.0,120.0,3379800
2021-02-11,120.0,128.0,118.0,120.0,120.0,8541900
2021-02-15,120.0,126.0,119.0,120.0,120.0,9720600
2021-02-16,120.0,120.0,114.0,115.0,115.0,4166500
2021-02-17,114.0,114.0,109.0,111.0,111.0,3615000
2021-02-18,111.0,113.0,110.0,110.0,110.0,2561700
2021-02-19,110.0,111.0,109.0,110.0,110.0,1355100
2021-02-22,110.0,113.0,109.0,110.0,110.0,7819600
2021-02-23,110.0,115.0,110.0,111.0,111.0,10476500
2021-02-24,111.0,113.0,110.0,111.0,111.0,9007700
2021-02-25,111.0,115.0,110.0,111.0,111.0,22348300
2021-02-26,110.0,113.0,109.0,110.0,110.0,9429200
2021-03-01,110.0,113.0,109.0,110.0,110.0,20682800
2021-03-02,110.0,110.0,108.0,109.0,109.0,8635100
2021-03-03,109.0,112.0,107.0,108.0,108.0,8625900
2021-03-04,108.0,108.0,105.0,105.0,105.0,7165500
2021-03-05,105.0,105.0,102.0,104.0,104.0,3459000
2021-03-08,104.0,110.0,103.0,105.0,105.0,27288700
2021-03-09,106.0,110.0,101.0,102.0,102.0,37431500
2021-03-10,102.0,104.0,97.0,99.0,99.0,6158400
2021-03-12,99.0,103.0,98.0,99.0,99.0,14277500
2021-03-15,99.0,106.0,97.0,99.0,99.0,24559800
2021-03-16,99.0,100.0,97.0,98.0,98.0,7658600
2021-03-17,98.0,103.0,96.0,98.0,98.0,38222200
2021-03-18,98.0,98.0,95.0,95.0,95.0,15140700
2021-03-19,95.0,96.0,93.0,93.0,93.0,6289100
2021-03-22,93.0,94.0,87.0,90.0,90.0,10561500
2021-03-23,90.0,91.0,84.0,86.0,86.0,4734500
2021-03-24,86.0,91.0,85.0,87.0,87.0,19528500
2021-03-25,87.0,88.0,86.0,87.0,87.0,4343500
2021-03-26,87.0,95.0,86.0,95.0,95.0,17223300
2021-03-29,95.0,97.0,93.0,94.0,94.0,14512400
2021-03-30,94.0,97.0,92.0,93.0,93.0,9722300
2021-03-31,93.0,94.0,89.0,91.0,91.0,7140100
2021-04-01,91.0,92.0,89.0,91.0,91.0,3619200
2021-04-05,91.0,93.0,90.0,92.0,92.0,7071700
2021-04-06,92.0,94.0,91.0,92.0,92.0,7069100
2021-04-07,92.0,94.0,90.0,93.0,93.0,10092600
2021-04-08,93.0,94.0,91.0,92.0,92.0,4719400
2021-04-09,92.0,93.0,91.0,92.0,92.0,12736400
2021-04-12,92.0,93.0,91.0,91.0,91.0,1375700
2021-04-13,92.0,92.0,90.0,92.0,92.0,2046400
2021-04-14,92.0,96.0,84.0,85.0,85.0,56749800
2021-04-15,85.0,90.0,81.0,85.0,85.0,45505500
2021-04-16,85.0,86.0,83.0,85.0,85.0,12510100
2021-04-19,85.0,87.0,77.0,80.0,80.0,38888000
2021-04-20,80.0,81.0,78.0,79.0,79.0,7068400
2021-04-21,79.0,84.0,78.0,79.0,79.0,34634600
2021-04-22,79.0,82.0,77.0,78.0,78.0,24181600
2021-04-23,78.0,81.0,74.0,75.0,75.0,35204700
2021-04-26,75.0,77.0,74.0,75.0,75.0,17435900
2021-04-27,75.0,76.0,74.0,75.0,75.0,7346900
2021-04-28,75.0,76.0,73.0,74.0,74.0,13618200
2021-04-29,75.0,78.0,73.0,74.0,74.0,21181700
2021-04-30,75.0,75.0,71.0,73.0,73.0,9114100
2021-05-03,74.0,74.0,71.0,71.0,71.0,12532700
2021-05-04,71.0,72.0,66.0,68.0,68.0,33315800
2021-05-05,68.0,72.0,67.0,69.0,69.0,22845300
2021-05-06,69.0,73.0,68.0,70.0,70.0,24034700
2021-05-07,70.0,71.0,67.0,67.0,67.0,23946000
2021-05-10,67.0,68.0,65.0,65.0,65.0,12208500
2021-05-11,65.0,65.0,62.0,63.0,63.0,5471300
2021-05-17,63.0,68.0,63.0,64.0,64.0,14638500
2021-05-18,64.0,66.0,61.0,64.0,64.0,16869900
2021-05-19,64.0,65.0,60.0,61.0,61.0,13821000
2021-05-20,61.0,63.0,60.0,62.0,62.0,17909500
2021-05-21,61.0,65.0,61.0,64.0,64.0,2255400
2021-05-24,64.0,67.0,64.0,64.0,64.0,1676600
2021-05-25,65.0,66.0,63.0,64.0,64.0,8711400
2021-05-27,64.0,67.0,64.0,67.0,67.0,3363600
2021-05-28,67.0,68.0,65.0,65.0,65.0,1949900
2021-05-31,65.0,68.0,65.0,66.0,66.0,1698100
2021-06-02,67.0,67.0,64.0,66.0,66.0,2247900
2021-06-03,66.0,67.0,65.0,66.0,66.0,1087800
2021-06-04,66.0,67.0,65.0,67.0,67.0,905200
2021-06-07,67.0,73.0,66.0,71.0,71.0,6283100
2021-06-08,71.0,76.0,71.0,73.0,73.0,12396400
2021-06-09,74.0,74.0,71.0,74.0,74.0,11037200
2021-06-10,74.0,79.0,74.0,78.0,78.0,19485400
2021-06-11,78.0,83.0,77.0,82.0,82.0,27925400
2021-06-14,79.0,85.0,79.0,82.0,82.0,19003500
2021-06-15,84.0,84.0,80.0,81.0,81.0,11517100
2021-06-16,82.0,85.0,80.0,84.0,84.0,13995000
2021-06-17,84.0,85.0,79.0,82.0,82.0,4069700
2021-06-18,82.0,82.0,74.0,76.0,76.0,5831000
2021-06-21,77.0,80.0,74.0,79.0,79.0,3290400
2021-06-22,80.0,81.0,79.0,80.0,80.0,1815700
2021-06-23,79.0,82.0,78.0,79.0,79.0,5552300
2021-06-24,79.0,79.0,75.0,77.0,77.0,4005600
2021-06-25,77.0,77.0,71.0,72.0,72.0,4957700
2021-06-28,72.0,74.0,68.0,70.0,70.0,7815100
2021-06-29,68.0,72.0,68.0,69.0,69.0,836300
2021-06-30,69.0,71.0,68.0,68.0,68.0,831400
2021-07-01,68.0,74.0,67.0,74.0,74.0,5295700
2021-07-02,74.0,79.0,74.0,78.0,78.0,7056700
2021-07-05,78.0,82.0,78.0,81.0,81.0,14246600
2021-07-06,83.0,86.0,81.0,84.0,84.0,13807800
2021-07-07,84.0,88.0,83.0,87.0,87.0,19426800
2021-07-08,88.0,91.0,86.0,87.0,87.0,23418800
2021-07-09,88.0,88.0,79.0,79.0,79.0,25873800
2021-07-12,78.0,79.0,72.0,75.0,75.0,8468500
2021-07-13,75.0,75.0,72.0,73.0,73.0,3794500
2021-07-14,73.0,73.0,72.0,73.0,73.0,594000
2021-07-15,72.0,77.0,72.0,77.0,77.0,7508400
2021-07-16,77.0,78.0,75.0,78.0,78.0,2100000
2021-07-19,78.0,80.0,73.0,76.0,76.0,4932800
2021-07-21,76.0,78.0,74.0,76.0,76.0,2549700
2021-07-22,75.0,78.0,74.0,76.0,76.0,2280800
2021-07-23,75.0,80.0,74.0,76.0,76.0,12905100
2021-07-26,76.0,78.0,74.0,76.0,76.0,8275300
2021-07-27,77.0,80.0,75.0,76.0,76.0,7707100
2021-07-28,76.0,77.0,75.0,75.0,75.0,8494700
2021-07-29,76.0,78.0,74.0,77.0,77.0,12232300
2021-07-30,77.0,80.0,76.0,78.0,78.0,17783600
2021-08-02,77.0,82.0,76.0,81.0,81.0,13964800
2021-08-03,81.0,82.0,79.0,81.0,81.0,9435300
2021-08-04,79.0,83.0,79.0,80.0,80.0,9786900
2021-08-05,80.0,87.0,79.0,86.0,86.0,21337300
2021-08-06,86.0,88.0,78.0,78.0,78.0,27173900
2021-08-09,78.0,78.0,71.0,71.0,71.0,29417300
2021-08-10,71.0,72.0,68.0,70.0,70.0,3314100
2021-08-12,71.0,74.0,70.0,73.0,73.0,3171200
2021-08-13,73.0,75.0,72.0,73.0,73.0,6171600
2021-08-16,74.0,74.0,71.0,73.0,73.0,1207500
2021-08-18,73.0,73.0,67.0,70.0,70.0,3138900
2021-08-19,71.0,71.0,68.0,70.0,70.0,6768000
2021-08-20,70.0,72.0,69.0,70.0,70.0,6825000
2021-08-23,70.0,72.0,69.0,70.0,70.0,1568000
2021-08-24,70.0,71.0,70.0,70.0,70.0,593800
2021-08-25,72.0,72.0,69.0,71.0,71.0,2205500
2021-08-26,71.0,71.0,69.0,71.0,71.0,1153500
2021-08-27,71.0,71.0,69.0,69.0,69.0,1285700
2021-08-30,70.0,73.0,70.0,71.0,71.0,1974800
2021-08-31,72.0,72.0,70.0,70.0,70.0,1728800
2021-09-01,71.0,72.0,70.0,71.0,71.0,981700
2021-09-02,71.0,76.0,70.0,71.0,71.0,5998600
2021-09-03,72.0,73.0,71.0,71.0,71.0,954300
2021-09-06,74.0,78.0,74.0,78.0,78.0,10236600
2021-09-07,80.0,85.0,78.0,78.0,78.0,4607700
2021-09-08,78.0,78.0,73.0,76.0,76.0,4796100
2021-09-09,76.0,77.0,74.0,76.0,76.0,2180300
2021-09-10,76.0,76.0,72.0,75.0,75.0,1828200
2021-09-13,75.0,79.0,73.0,77.0,77.0,2212300
2021-09-14,77.0,81.0,77.0,77.0,77.0,4242300
2021-09-15,77.0,84.0,77.0,82.0,82.0,16346400
2021-09-16,84.0,89.0,82.0,88.0,88.0,8401300
2021-09-17,88.0,96.0,88.0,96.0,96.0,10460400
2021-09-20,100.0,105.0,98.0,105.0,105.0,4064400
2021-09-21,115.0,115.0,96.0,105.0,105.0,33640600
2021-09-22,106.0,110.0,105.0,107.0,107.0,7959700
2021-09-23,110.0,110.0,97.0,101.0,101.0,6122600
