Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,410.0,460.0,402.0,436.0,436.0,55627100
2021-12-02,418.0,510.0,418.0,456.0,456.0,55618600
2021-12-03,460.0,484.0,442.0,472.0,472.0,21292400
2021-12-06,474.0,500.0,454.0,454.0,454.0,33750500
2021-12-07,454.0,466.0,440.0,446.0,446.0,12847500
2021-12-08,446.0,555.0,446.0,494.0,494.0,51319100
2021-12-09,498.0,515.0,474.0,482.0,482.0,28267600
2021-12-10,482.0,505.0,482.0,482.0,482.0,15816900
2021-12-13,484.0,490.0,472.0,478.0,478.0,8099000
2021-12-14,480.0,496.0,474.0,474.0,474.0,6611800
2021-12-15,474.0,484.0,468.0,474.0,474.0,5230000
2021-12-16,456.0,505.0,456.0,474.0,474.0,36502600
2021-12-17,476.0,490.0,476.0,476.0,476.0,9446400
2021-12-20,478.0,486.0,470.0,472.0,472.0,7118300
2021-12-21,472.0,478.0,446.0,472.0,472.0,12945600
2021-12-22,476.0,535.0,476.0,480.0,480.0,55229500
2021-12-23,484.0,490.0,462.0,462.0,462.0,10556700
2021-12-24,460.0,472.0,450.0,450.0,450.0,6872800
2021-12-27,452.0,460.0,420.0,420.0,420.0,13602500
2021-12-28,418.0,420.0,398.0,400.0,400.0,9808300
2021-12-29,400.0,402.0,386.0,392.0,392.0,4983200
2021-12-30,392.0,416.0,388.0,400.0,400.0,5983400
2022-01-03,382.0,412.0,382.0,404.0,404.0,3275200
2022-01-04,406.0,410.0,390.0,390.0,390.0,2592500
2022-01-05,390.0,398.0,380.0,388.0,388.0,2531400
2022-01-06,388.0,426.0,388.0,416.0,416.0,13522600
2022-01-07,420.0,426.0,406.0,410.0,410.0,4616900
