Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,118.0,122.0,118.0,119.0,119.0,222500
2021-01-05,119.0,124.0,118.0,119.0,119.0,354100
2021-01-06,120.0,120.0,115.0,116.0,116.0,182000
2021-01-07,118.0,120.0,115.0,119.0,119.0,114700
2021-01-08,118.0,118.0,113.0,113.0,113.0,6400
2021-01-11,113.0,114.0,108.0,113.0,113.0,295200
2021-01-12,113.0,115.0,110.0,110.0,110.0,101000
2021-01-13,110.0,111.0,108.0,110.0,110.0,38500
2021-01-14,110.0,112.0,106.0,110.0,110.0,110200
2021-01-15,105.0,110.0,104.0,106.0,106.0,15000
2021-01-18,106.0,110.0,106.0,106.0,106.0,178900
2021-01-19,105.0,110.0,99.0,100.0,100.0,104000
2021-01-20,100.0,134.0,100.0,101.0,101.0,273600
2021-01-21,100.0,108.0,100.0,104.0,104.0,111600
2021-01-22,104.0,104.0,104.0,104.0,104.0,100600
2021-01-25,104.0,104.0,104.0,104.0,104.0,239100
2021-01-26,104.0,104.0,99.0,100.0,100.0,45900
2021-01-27,104.0,110.0,93.0,100.0,100.0,22000
2021-01-28,99.0,101.0,99.0,100.0,100.0,22000
2021-01-29,100.0,100.0,99.0,100.0,100.0,125400
2021-02-01,100.0,100.0,97.0,99.0,99.0,48600
2021-02-02,100.0,101.0,100.0,101.0,101.0,13000
2021-02-03,101.0,104.0,100.0,100.0,100.0,165500
2021-02-04,100.0,109.0,98.0,98.0,98.0,352900
2021-02-05,98.0,105.0,93.0,97.0,97.0,80000
2021-02-08,97.0,100.0,97.0,99.0,99.0,40100
2021-02-09,100.0,102.0,97.0,102.0,102.0,56300
2021-02-10,95.0,102.0,95.0,99.0,99.0,70000
2021-02-11,100.0,102.0,98.0,100.0,100.0,104600
2021-02-15,100.0,101.0,97.0,100.0,100.0,837400
2021-02-16,100.0,100.0,96.0,100.0,100.0,133100
2021-02-17,100.0,108.0,98.0,108.0,108.0,504300
2021-02-18,108.0,115.0,103.0,115.0,115.0,387800
2021-02-19,115.0,118.0,108.0,118.0,118.0,1581100
2021-02-22,118.0,118.0,110.0,115.0,115.0,47500
2021-02-23,110.0,125.0,108.0,122.0,122.0,176400
2021-02-24,119.0,123.0,114.0,123.0,123.0,279700
2021-02-25,123.0,125.0,115.0,124.0,124.0,339500
2021-02-26,124.0,125.0,116.0,125.0,125.0,514300
2021-03-01,125.0,130.0,118.0,130.0,130.0,480700
2021-03-02,129.0,140.0,122.0,140.0,140.0,338100
2021-03-03,140.0,140.0,131.0,133.0,133.0,904500
2021-03-04,133.0,140.0,124.0,137.0,137.0,1068700
2021-03-05,137.0,137.0,128.0,133.0,133.0,593300
2021-03-08,133.0,139.0,124.0,125.0,125.0,1015800
2021-03-09,130.0,131.0,120.0,123.0,123.0,494800
2021-03-10,123.0,126.0,120.0,125.0,125.0,66400
2021-03-12,125.0,125.0,119.0,123.0,123.0,271300
2021-03-15,123.0,125.0,118.0,125.0,125.0,325200
2021-03-16,125.0,125.0,119.0,124.0,124.0,58300
2021-03-17,124.0,125.0,120.0,125.0,125.0,71200
2021-03-18,125.0,125.0,120.0,125.0,125.0,104700
2021-03-19,125.0,125.0,120.0,120.0,120.0,13900
2021-03-22,124.0,124.0,118.0,124.0,124.0,9000
2021-03-23,124.0,140.0,120.0,129.0,129.0,253500
2021-03-24,127.0,127.0,120.0,120.0,120.0,185500
2021-03-25,120.0,128.0,112.0,113.0,113.0,539800
2021-03-26,123.0,128.0,113.0,125.0,125.0,126600
2021-03-29,124.0,124.0,117.0,120.0,120.0,104800
2021-03-30,122.0,122.0,117.0,122.0,122.0,7400
2021-03-31,122.0,122.0,117.0,122.0,122.0,1700
2021-04-01,122.0,150.0,120.0,149.0,149.0,189800
2021-04-05,140.0,149.0,139.0,139.0,139.0,18700
2021-04-06,139.0,139.0,130.0,130.0,130.0,8100
2021-04-07,130.0,131.0,121.0,128.0,128.0,147700
2021-04-08,126.0,147.0,120.0,138.0,138.0,583900
2021-04-09,132.0,135.0,129.0,129.0,129.0,244200
2021-04-12,129.0,129.0,120.0,121.0,121.0,679200
2021-04-13,121.0,124.0,115.0,123.0,123.0,45100
2021-04-14,122.0,122.0,120.0,120.0,120.0,21000
2021-04-15,125.0,140.0,121.0,126.0,126.0,491600
2021-04-16,126.0,130.0,120.0,125.0,125.0,493000
2021-04-19,126.0,130.0,122.0,128.0,128.0,24500
2021-04-20,127.0,138.0,122.0,138.0,138.0,221300
2021-04-21,137.0,137.0,129.0,130.0,130.0,63700
2021-04-22,130.0,130.0,123.0,127.0,127.0,214100
2021-04-23,127.0,127.0,123.0,126.0,126.0,12500
2021-04-26,124.0,126.0,122.0,126.0,126.0,37300
2021-04-27,124.0,126.0,122.0,126.0,126.0,393800
2021-04-28,126.0,135.0,121.0,130.0,130.0,506700
2021-04-29,130.0,130.0,123.0,125.0,125.0,39300
2021-04-30,126.0,126.0,121.0,125.0,125.0,245900
2021-05-03,125.0,126.0,120.0,120.0,120.0,180400
2021-05-04,123.0,125.0,120.0,122.0,122.0,77400
2021-05-05,125.0,125.0,120.0,120.0,120.0,62800
2021-05-06,121.0,125.0,121.0,122.0,122.0,16200
2021-05-07,122.0,123.0,121.0,123.0,123.0,154800
2021-05-10,124.0,124.0,119.0,124.0,124.0,93700
2021-05-11,124.0,124.0,119.0,119.0,119.0,63300
2021-05-17,119.0,122.0,119.0,120.0,120.0,86900
2021-05-18,120.0,122.0,116.0,120.0,120.0,9200
2021-05-19,120.0,122.0,120.0,122.0,122.0,31200
2021-05-20,122.0,125.0,115.0,125.0,125.0,128800
2021-05-21,123.0,123.0,118.0,119.0,119.0,10700
2021-05-24,119.0,121.0,119.0,121.0,121.0,14400
2021-05-25,121.0,122.0,120.0,121.0,121.0,6400
2021-05-27,121.0,121.0,116.0,120.0,120.0,34800
2021-05-28,117.0,118.0,117.0,117.0,117.0,51600
2021-05-31,120.0,124.0,117.0,120.0,120.0,39000
2021-06-02,120.0,149.0,117.0,146.0,146.0,1300700
2021-06-03,151.0,160.0,136.0,148.0,148.0,2224900
2021-06-04,148.0,199.0,138.0,198.0,198.0,2673400
2021-06-07,199.0,200.0,185.0,185.0,185.0,752600
2021-06-08,174.0,178.0,173.0,173.0,173.0,275400
2021-06-09,172.0,172.0,161.0,161.0,161.0,391400
2021-06-10,161.0,216.0,154.0,216.0,216.0,19467500
2021-06-11,220.0,246.0,220.0,244.0,244.0,45746300
2021-06-14,248.0,252.0,228.0,230.0,230.0,26770500
2021-06-15,230.0,256.0,214.0,230.0,230.0,30109300
2021-06-16,230.0,232.0,214.0,216.0,216.0,31704200
2021-06-17,218.0,224.0,202.0,202.0,202.0,12736800
2021-06-18,202.0,202.0,188.0,193.0,193.0,3150600
2021-06-21,190.0,190.0,180.0,180.0,180.0,454600
2021-06-22,180.0,180.0,168.0,168.0,168.0,1365900
2021-06-23,168.0,180.0,161.0,172.0,172.0,5848100
2021-06-24,175.0,180.0,164.0,179.0,179.0,559900
2021-06-25,184.0,188.0,167.0,169.0,169.0,223300
2021-06-28,169.0,180.0,162.0,172.0,172.0,106000
2021-06-29,176.0,179.0,166.0,171.0,171.0,284400
2021-06-30,171.0,188.0,169.0,179.0,179.0,856100
2021-07-01,182.0,185.0,167.0,167.0,167.0,741900
2021-07-02,168.0,178.0,167.0,170.0,170.0,163800
2021-07-05,169.0,180.0,166.0,166.0,166.0,163600
2021-07-06,166.0,166.0,155.0,155.0,155.0,986900
2021-07-07,155.0,155.0,145.0,150.0,150.0,1061300
2021-07-08,153.0,168.0,145.0,160.0,160.0,366700
2021-07-09,160.0,160.0,149.0,149.0,149.0,252200
2021-07-12,149.0,156.0,142.0,151.0,151.0,128900
2021-07-13,151.0,151.0,144.0,151.0,151.0,83500
2021-07-14,145.0,151.0,141.0,151.0,151.0,500900
2021-07-15,151.0,151.0,141.0,144.0,144.0,483500
2021-07-16,144.0,144.0,139.0,144.0,144.0,35100
2021-07-19,144.0,147.0,136.0,137.0,137.0,218800
2021-07-21,139.0,145.0,136.0,142.0,142.0,105400
2021-07-22,146.0,155.0,139.0,139.0,139.0,3056800
2021-07-23,139.0,145.0,137.0,137.0,137.0,124400
2021-07-26,137.0,148.0,137.0,143.0,143.0,140600
2021-07-27,143.0,147.0,137.0,139.0,139.0,90000
2021-07-28,139.0,141.0,137.0,141.0,141.0,48900
2021-07-29,140.0,140.0,138.0,140.0,140.0,91800
2021-07-30,139.0,143.0,139.0,139.0,139.0,143300
2021-08-02,137.0,143.0,136.0,140.0,140.0,7200
2021-08-03,140.0,142.0,131.0,132.0,132.0,811800
2021-08-04,137.0,137.0,130.0,134.0,134.0,140500
2021-08-05,133.0,133.0,125.0,126.0,126.0,567900
2021-08-06,126.0,149.0,125.0,147.0,147.0,548400
2021-08-09,149.0,151.0,145.0,147.0,147.0,859700
2021-08-10,147.0,155.0,145.0,150.0,150.0,1205900
2021-08-12,155.0,155.0,151.0,155.0,155.0,293100
2021-08-13,155.0,156.0,150.0,156.0,156.0,175700
2021-08-16,156.0,156.0,148.0,154.0,154.0,133300
2021-08-18,154.0,157.0,146.0,154.0,154.0,621000
2021-08-19,150.0,155.0,146.0,155.0,155.0,16300
2021-08-20,153.0,156.0,145.0,156.0,156.0,317400
2021-08-23,147.0,156.0,147.0,156.0,156.0,70300
2021-08-24,148.0,156.0,148.0,156.0,156.0,92700
2021-08-25,156.0,156.0,147.0,156.0,156.0,81000
2021-08-26,147.0,156.0,147.0,156.0,156.0,33600
2021-08-27,155.0,156.0,148.0,156.0,156.0,20900
2021-08-30,156.0,156.0,148.0,148.0,148.0,25800
2021-08-31,149.0,156.0,141.0,154.0,154.0,104400
2021-09-01,154.0,154.0,148.0,152.0,152.0,93400
2021-09-02,152.0,152.0,148.0,152.0,152.0,9200
2021-09-03,152.0,152.0,145.0,151.0,151.0,135200
2021-09-06,151.0,154.0,151.0,154.0,154.0,30500
2021-09-07,146.0,151.0,146.0,150.0,150.0,34600
2021-09-08,150.0,150.0,145.0,150.0,150.0,24600
2021-09-09,145.0,160.0,142.0,159.0,159.0,72000
2021-09-10,158.0,158.0,148.0,151.0,151.0,67700
2021-09-13,149.0,149.0,148.0,148.0,148.0,3200
2021-09-14,147.0,150.0,138.0,150.0,150.0,225300
2021-09-15,150.0,150.0,142.0,149.0,149.0,35100
2021-09-16,149.0,150.0,148.0,149.0,149.0,47900
2021-09-17,149.0,149.0,141.0,149.0,149.0,57700
2021-09-20,149.0,149.0,139.0,139.0,139.0,51900
2021-09-21,139.0,146.0,139.0,145.0,145.0,68700
2021-09-22,145.0,150.0,145.0,150.0,150.0,17600
2021-09-23,146.0,149.0,142.0,149.0,149.0,27100
2021-09-24,149.0,153.0,145.0,150.0,150.0,14000
2021-09-27,150.0,150.0,140.0,150.0,150.0,45100
2021-09-28,150.0,152.0,150.0,150.0,150.0,54500
2021-09-29,150.0,155.0,149.0,155.0,155.0,228200
2021-09-30,155.0,161.0,147.0,161.0,161.0,393200
2021-10-01,161.0,166.0,151.0,166.0,166.0,345000
2021-10-04,166.0,166.0,157.0,163.0,163.0,210900
2021-10-05,163.0,180.0,159.0,175.0,175.0,213000
2021-10-06,175.0,184.0,169.0,180.0,180.0,488600
2021-10-07,183.0,185.0,175.0,180.0,180.0,233000
2021-10-08,175.0,185.0,175.0,182.0,182.0,20400
2021-10-11,183.0,190.0,180.0,187.0,187.0,1294200
2021-10-12,187.0,208.0,187.0,202.0,202.0,16520100
2021-10-13,204.0,216.0,196.0,197.0,197.0,17831500
2021-10-14,197.0,200.0,195.0,200.0,200.0,6221300
2021-10-15,200.0,214.0,198.0,208.0,208.0,14821600
2021-10-18,208.0,218.0,208.0,218.0,218.0,16456700
2021-10-19,218.0,226.0,208.0,216.0,216.0,11873000
2021-10-21,216.0,228.0,214.0,216.0,216.0,21622500
2021-10-22,216.0,222.0,216.0,220.0,220.0,7195300
2021-10-25,220.0,230.0,218.0,218.0,218.0,9361700
2021-10-26,216.0,222.0,216.0,220.0,220.0,6062600
2021-10-27,220.0,226.0,218.0,218.0,218.0,4693000
2021-10-28,218.0,248.0,208.0,218.0,218.0,40575500
2021-10-29,218.0,240.0,216.0,228.0,228.0,49372300
2021-11-01,228.0,236.0,220.0,222.0,222.0,8081100
2021-11-02,220.0,224.0,208.0,216.0,216.0,8506000
2021-11-03,216.0,216.0,202.0,202.0,202.0,3991000
2021-11-04,202.0,202.0,194.0,200.0,200.0,3112100
2021-11-05,200.0,202.0,195.0,200.0,200.0,5804500
2021-11-08,200.0,216.0,199.0,212.0,212.0,14302100
2021-11-09,212.0,216.0,208.0,208.0,208.0,2410200
2021-11-10,206.0,206.0,197.0,202.0,202.0,2379900
2021-11-11,200.0,218.0,199.0,200.0,200.0,11896900
2021-11-12,200.0,210.0,199.0,202.0,202.0,5284500
2021-11-15,202.0,206.0,199.0,202.0,202.0,1842100
2021-11-16,202.0,204.0,200.0,202.0,202.0,1558100
2021-11-17,202.0,232.0,202.0,226.0,226.0,85579600
2021-11-18,244.0,244.0,222.0,224.0,224.0,46725000
2021-11-19,226.0,246.0,224.0,236.0,236.0,89838300
2021-11-22,236.0,248.0,228.0,248.0,248.0,53472700
2021-11-23,250.0,254.0,232.0,238.0,238.0,39606000
2021-11-24,238.0,240.0,222.0,224.0,224.0,16399500
2021-11-25,224.0,246.0,222.0,228.0,228.0,20455300
2021-11-26,228.0,240.0,226.0,226.0,226.0,13786500
2021-11-29,226.0,240.0,212.0,232.0,232.0,18905200
2021-11-30,232.0,232.0,218.0,220.0,220.0,8039300
2021-12-01,220.0,238.0,216.0,228.0,228.0,23914200
2021-12-02,228.0,242.0,220.0,232.0,232.0,25539400
2021-12-03,232.0,236.0,226.0,226.0,226.0,12106200
2021-12-06,226.0,240.0,222.0,238.0,238.0,9500800
2021-12-07,238.0,240.0,230.0,234.0,234.0,9007000
2021-12-08,232.0,242.0,230.0,240.0,240.0,22897700
2021-12-09,240.0,264.0,238.0,260.0,260.0,121074100
2021-12-10,262.0,272.0,248.0,264.0,264.0,92721000
2021-12-13,266.0,278.0,246.0,250.0,250.0,57251500
2021-12-14,250.0,254.0,234.0,246.0,246.0,21709100
2021-12-15,244.0,262.0,242.0,246.0,246.0,57450300
2021-12-16,246.0,264.0,236.0,242.0,242.0,56210400
2021-12-17,242.0,254.0,240.0,242.0,242.0,24214100
2021-12-20,242.0,248.0,226.0,226.0,226.0,23826800
2021-12-21,224.0,226.0,212.0,218.0,218.0,22027100
2021-12-22,218.0,218.0,206.0,210.0,210.0,17207700
2021-12-23,208.0,212.0,204.0,210.0,210.0,8698900
2021-12-24,210.0,222.0,208.0,222.0,222.0,39900100
2021-12-27,224.0,224.0,214.0,216.0,216.0,11044200
2021-12-28,216.0,216.0,210.0,212.0,212.0,11151300
2021-12-29,212.0,212.0,206.0,212.0,212.0,9768400
2021-12-30,212.0,228.0,210.0,216.0,216.0,19183900
2022-01-03,216.0,220.0,214.0,218.0,218.0,10443300
2022-01-04,218.0,232.0,218.0,232.0,232.0,19975600
2022-01-05,232.0,276.0,230.0,258.0,258.0,124139400
