Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,174.0,174.0,168.0,169.0,163.95523071289062,837100
2021-01-05,170.0,172.0,169.0,171.0,165.89552307128906,581000
2021-01-06,171.0,171.0,168.0,170.0,164.92538452148438,1122100
2021-01-07,170.0,172.0,169.0,171.0,165.89552307128906,887500
2021-01-08,173.0,174.0,169.0,170.0,164.92538452148438,1177200
2021-01-11,171.0,176.0,169.0,172.0,166.8656768798828,1267300
2021-01-12,172.0,174.0,169.0,170.0,164.92538452148438,1322600
2021-01-13,170.0,172.0,169.0,170.0,164.92538452148438,1021000
2021-01-14,174.0,174.0,169.0,169.0,163.95523071289062,1475800
2021-01-15,169.0,170.0,168.0,170.0,164.92538452148438,876200
2021-01-18,169.0,174.0,169.0,173.0,167.83583068847656,1767500
2021-01-19,174.0,174.0,169.0,172.0,166.8656768798828,1483400
2021-01-20,172.0,172.0,169.0,172.0,166.8656768798828,2593200
2021-01-21,172.0,174.0,171.0,174.0,168.80596923828125,2844000
2021-01-22,174.0,176.0,172.0,173.0,167.83583068847656,7509300
2021-01-25,174.0,182.0,173.0,174.0,168.80596923828125,8705100
2021-01-26,174.0,174.0,170.0,174.0,168.80596923828125,3177200
2021-01-27,172.0,175.0,166.0,171.0,165.89552307128906,8510500
2021-01-28,171.0,171.0,166.0,169.0,163.95523071289062,3414700
2021-01-29,169.0,169.0,166.0,167.0,162.01492309570312,954300
2021-02-01,167.0,169.0,162.0,168.0,162.98507690429688,3523500
2021-02-02,168.0,170.0,166.0,166.0,161.04478454589844,2828000
2021-02-03,166.0,170.0,164.0,167.0,162.01492309570312,3244400
2021-02-04,169.0,171.0,167.0,171.0,165.89552307128906,6072900
2021-02-05,173.0,174.0,171.0,172.0,166.8656768798828,2489800
2021-02-08,170.0,173.0,168.0,173.0,167.83583068847656,796200
2021-02-09,173.0,174.0,172.0,174.0,168.80596923828125,3906700
2021-02-10,174.0,174.0,170.0,172.0,166.8656768798828,153900
2021-02-11,171.0,172.0,170.0,170.0,164.92538452148438,308400
2021-02-15,170.0,174.0,170.0,174.0,168.80596923828125,2705400
2021-02-16,174.0,176.0,172.0,176.0,170.74627685546875,2897000
2021-02-17,176.0,180.0,174.0,180.0,174.6268768310547,7333100
2021-02-18,180.0,181.0,176.0,176.0,170.74627685546875,3194900
2021-02-19,176.0,176.0,173.0,175.0,169.776123046875,525100
2021-02-22,175.0,177.0,173.0,174.0,168.80596923828125,641900
2021-02-23,175.0,180.0,173.0,180.0,174.6268768310547,1600800
2021-02-24,180.0,181.0,176.0,180.0,174.6268768310547,2619900
2021-02-25,179.0,183.0,179.0,183.0,177.53732299804688,2002000
2021-02-26,183.0,185.0,178.0,182.0,176.56716918945312,2154100
2021-03-01,182.0,184.0,179.0,182.0,176.56716918945312,822100
2021-03-02,183.0,183.0,180.0,182.0,176.56716918945312,1374400
2021-03-03,183.0,183.0,180.0,181.0,175.59701538085938,5262900
2021-03-04,181.0,181.0,176.0,179.0,173.65672302246094,409700
2021-03-05,178.0,184.0,178.0,184.0,178.50746154785156,3665600
2021-03-08,185.0,198.0,185.0,194.0,188.20895385742188,5436500
2021-03-09,198.0,202.0,195.0,200.0,194.0298614501953,6691600
2021-03-10,202.0,202.0,191.0,195.0,189.17910766601562,3608600
2021-03-12,195.0,202.0,191.0,199.0,193.05970764160156,4822200
2021-03-15,200.0,202.0,197.0,200.0,194.0298614501953,6414400
2021-03-16,202.0,208.0,191.0,206.0,199.8507537841797,6976400
2021-03-17,206.0,214.0,199.0,210.0,203.73135375976562,3739000
2021-03-18,210.0,210.0,202.0,202.0,195.97015380859375,8307900
2021-03-19,202.0,202.0,196.0,197.0,191.11941528320312,2157700
2021-03-22,197.0,200.0,197.0,198.0,192.0895538330078,62400
2021-03-23,198.0,202.0,194.0,196.0,190.14926147460938,490300
2021-03-24,198.0,198.0,193.0,197.0,191.11941528320312,4397900
2021-03-25,197.0,200.0,195.0,196.0,190.14926147460938,879000
2021-03-26,196.0,208.0,195.0,208.0,201.79104614257812,4329200
2021-03-29,208.0,216.0,208.0,214.0,207.6119384765625,4716500
2021-03-30,214.0,216.0,204.0,206.0,199.8507537841797,3099400
2021-03-31,206.0,206.0,198.0,199.0,193.05970764160156,2015200
2021-04-01,202.0,204.0,202.0,204.0,197.9104461669922,767400
2021-04-05,204.0,210.0,200.0,210.0,203.73135375976562,3155200
2021-04-06,210.0,236.0,210.0,232.0,225.0746307373047,10088600
2021-04-07,232.0,232.0,222.0,230.0,223.13433837890625,6815700
2021-04-08,232.0,232.0,224.0,230.0,223.13433837890625,3111400
2021-04-09,230.0,232.0,228.0,228.0,221.19403076171875,907400
2021-04-12,228.0,232.0,226.0,230.0,223.13433837890625,1660700
2021-04-13,230.0,230.0,216.0,220.0,213.43284606933594,3629700
2021-04-14,220.0,226.0,216.0,226.0,219.2537384033203,6411700
2021-04-15,226.0,228.0,224.0,226.0,219.2537384033203,4592700
2021-04-16,228.0,228.0,224.0,228.0,221.19403076171875,1741400
2021-04-19,230.0,230.0,224.0,224.0,217.31344604492188,873100
2021-04-20,228.0,228.0,224.0,224.0,217.31344604492188,725700
2021-04-21,224.0,224.0,222.0,224.0,217.31344604492188,688700
2021-04-22,224.0,228.0,222.0,222.0,215.37313842773438,373000
2021-04-23,222.0,228.0,220.0,222.0,215.37313842773438,803200
2021-04-26,224.0,232.0,224.0,230.0,223.13433837890625,5549600
2021-04-27,232.0,234.0,230.0,234.0,227.0149383544922,1616900
2021-04-28,234.0,246.0,234.0,244.0,236.7164306640625,5647100
2021-04-29,248.0,248.0,232.0,236.0,228.95523071289062,5276100
2021-04-30,236.0,238.0,234.0,236.0,228.95523071289062,1054200
2021-05-03,236.0,252.0,228.0,248.0,240.59701538085938,6627200
2021-05-04,248.0,248.0,240.0,244.0,236.7164306640625,2908800
2021-05-05,244.0,244.0,236.0,238.0,230.89552307128906,2654500
2021-05-06,238.0,246.0,236.0,244.0,236.7164306640625,5354700
2021-05-07,244.0,244.0,238.0,240.0,232.83583068847656,2892400
2021-05-10,242.0,250.0,240.0,248.0,240.59701538085938,1746100
2021-05-11,248.0,258.0,246.0,252.0,244.4776153564453,3273100
2021-05-17,250.0,260.0,244.0,250.0,242.53732299804688,1623300
2021-05-18,250.0,250.0,242.0,250.0,242.53732299804688,710900
2021-05-19,250.0,250.0,244.0,248.0,240.59701538085938,1406400
2021-05-20,248.0,248.0,246.0,246.0,238.65672302246094,230700
2021-05-21,246.0,256.0,242.0,244.0,236.7164306640625,1674500
2021-05-24,246.0,262.0,244.0,262.0,254.17910766601562,6336300
2021-05-25,264.0,278.0,264.0,274.0,265.8208923339844,4331400
2021-05-27,276.0,278.0,268.0,270.0,261.9403076171875,2330700
2021-05-28,272.0,290.0,270.0,288.0,279.4029846191406,4635100
2021-05-31,288.0,292.0,286.0,290.0,281.3432922363281,3495100
2021-06-02,294.0,294.0,288.0,290.0,281.3432922363281,1688800
2021-06-03,292.0,298.0,290.0,298.0,289.1044921875,1068000
2021-06-04,296.0,300.0,294.0,298.0,289.1044921875,544200
2021-06-07,298.0,300.0,292.0,298.0,289.1044921875,2088900
2021-06-08,298.0,300.0,292.0,294.0,285.223876953125,1380200
2021-06-09,294.0,312.0,292.0,310.0,300.74627685546875,1944900
2021-06-10,312.0,316.0,308.0,316.0,306.5671691894531,800400
2021-06-11,316.0,318.0,308.0,318.0,308.5074768066406,1365600
2021-06-14,318.0,328.0,312.0,326.0,316.2686767578125,2320800
2021-06-15,328.0,342.0,326.0,340.0,329.85076904296875,3767700
2021-06-16,340.0,340.0,328.0,336.0,325.97015380859375,2981900
2021-06-17,334.0,336.0,314.0,314.0,304.6268615722656,2647600
2021-06-18,306.0,306.0,294.0,294.0,285.223876953125,2777100
2021-06-21,278.0,290.0,274.0,286.0,277.46270751953125,6460200
2021-06-22,288.0,288.0,270.0,270.0,261.9403076171875,2317500
2021-06-23,268.0,268.0,252.0,258.0,250.2985076904297,2854500
2021-06-24,260.0,270.0,256.0,264.0,256.1194152832031,1924400
2021-06-25,266.0,268.0,260.0,268.0,260.0,2349400
2021-06-28,260.0,260.0,250.0,250.0,250.0,1003900
2021-06-29,250.0,274.0,236.0,244.0,244.0,2048100
2021-06-30,246.0,266.0,242.0,250.0,250.0,574800
2021-07-01,238.0,252.0,238.0,250.0,250.0,63400
2021-07-02,250.0,250.0,242.0,246.0,246.0,625600
2021-07-05,246.0,254.0,234.0,252.0,252.0,735600
2021-07-06,254.0,258.0,250.0,258.0,258.0,940300
2021-07-07,260.0,270.0,254.0,256.0,256.0,822700
2021-07-08,256.0,256.0,248.0,248.0,248.0,295500
2021-07-09,248.0,248.0,244.0,246.0,246.0,297400
2021-07-12,246.0,248.0,240.0,242.0,242.0,65500
2021-07-13,248.0,252.0,242.0,242.0,242.0,724900
2021-07-14,242.0,250.0,234.0,242.0,242.0,196800
2021-07-15,242.0,252.0,232.0,240.0,240.0,515200
2021-07-16,240.0,244.0,236.0,238.0,238.0,379400
2021-07-19,238.0,242.0,234.0,240.0,240.0,155300
2021-07-21,240.0,254.0,240.0,252.0,252.0,693600
2021-07-22,252.0,254.0,248.0,250.0,250.0,242300
2021-07-23,250.0,250.0,244.0,250.0,250.0,283600
2021-07-26,252.0,252.0,244.0,248.0,248.0,107000
2021-07-27,248.0,248.0,242.0,244.0,244.0,40600
2021-07-28,246.0,246.0,238.0,238.0,238.0,170800
2021-07-29,238.0,250.0,238.0,248.0,248.0,300300
2021-07-30,256.0,260.0,236.0,240.0,240.0,2574000
2021-08-02,240.0,258.0,240.0,244.0,244.0,337500
2021-08-03,244.0,250.0,242.0,248.0,248.0,122500
2021-08-04,248.0,252.0,244.0,248.0,248.0,1401000
2021-08-05,250.0,250.0,246.0,250.0,250.0,950300
2021-08-06,250.0,260.0,250.0,256.0,256.0,1900700
2021-08-09,256.0,266.0,250.0,256.0,256.0,801100
2021-08-10,254.0,256.0,246.0,248.0,248.0,760700
2021-08-12,260.0,294.0,260.0,284.0,284.0,19380800
2021-08-13,286.0,290.0,266.0,274.0,274.0,7581600
2021-08-16,276.0,276.0,258.0,272.0,272.0,4783800
2021-08-18,272.0,296.0,264.0,268.0,268.0,10616700
2021-08-19,270.0,272.0,260.0,270.0,270.0,4717200
2021-08-20,270.0,292.0,264.0,274.0,274.0,16146400
2021-08-23,276.0,282.0,274.0,282.0,282.0,8119000
2021-08-24,284.0,286.0,278.0,280.0,280.0,7792300
2021-08-25,280.0,282.0,278.0,280.0,280.0,2884600
2021-08-26,280.0,288.0,278.0,284.0,284.0,4900800
2021-08-27,286.0,288.0,282.0,282.0,282.0,3644700
