Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,370.0,374.0,366.0,366.0,366.0,13200
2021-12-02,366.0,366.0,356.0,358.0,358.0,3600
2021-12-03,356.0,366.0,354.0,358.0,358.0,6100
2021-12-06,358.0,362.0,358.0,360.0,360.0,2200
2021-12-07,360.0,360.0,346.0,354.0,354.0,1900
2021-12-08,340.0,428.0,340.0,370.0,370.0,22800
2021-12-09,370.0,420.0,362.0,382.0,382.0,16400
2021-12-10,380.0,382.0,372.0,374.0,374.0,6000
2021-12-13,358.0,374.0,358.0,366.0,366.0,15300
2021-12-14,366.0,400.0,364.0,368.0,368.0,18800
2021-12-15,368.0,368.0,366.0,368.0,368.0,6900
2021-12-16,368.0,380.0,368.0,372.0,372.0,5300
2021-12-17,358.0,394.0,354.0,356.0,356.0,4300
2021-12-20,358.0,358.0,356.0,356.0,356.0,10200
2021-12-21,358.0,358.0,358.0,358.0,358.0,11900
2021-12-22,354.0,354.0,354.0,354.0,354.0,10600
2021-12-23,370.0,378.0,368.0,378.0,378.0,31300
2021-12-24,378.0,378.0,372.0,372.0,372.0,4700
2021-12-27,372.0,372.0,360.0,372.0,372.0,2200
2021-12-28,372.0,394.0,370.0,372.0,372.0,18600
2021-12-29,372.0,372.0,350.0,366.0,366.0,1500
2021-12-30,380.0,380.0,366.0,376.0,376.0,1400
2022-01-03,370.0,370.0,360.0,370.0,370.0,3700
2022-01-04,370.0,392.0,360.0,386.0,386.0,16400
2022-01-05,386.0,386.0,370.0,386.0,386.0,1500
2022-01-06,386.0,386.0,364.0,368.0,368.0,1600
2022-01-07,368.0,376.0,368.0,368.0,368.0,4200
