Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,58.0,61.0,57.0,57.0,57.0,168426800
2021-12-02,57.0,60.0,57.0,60.0,60.0,120044500
2021-12-03,60.0,63.0,59.0,62.0,62.0,199914900
2021-12-06,63.0,67.0,62.0,65.0,65.0,291989700
2021-12-07,64.0,66.0,61.0,61.0,61.0,124682400
2021-12-08,61.0,72.0,61.0,70.0,70.0,643722900
2021-12-09,72.0,78.0,68.0,78.0,78.0,573177800
2021-12-10,80.0,84.0,76.0,76.0,76.0,549649000
2021-12-13,77.0,80.0,74.0,75.0,75.0,191873500
2021-12-14,75.0,75.0,70.0,70.0,70.0,185952300
2021-12-15,72.0,72.0,66.0,69.0,69.0,288631900
2021-12-16,70.0,73.0,68.0,69.0,69.0,221562800
2021-12-17,69.0,72.0,67.0,70.0,70.0,127698300
2021-12-20,70.0,75.0,70.0,72.0,72.0,245365900
2021-12-21,73.0,76.0,70.0,71.0,71.0,161687800
2021-12-22,73.0,73.0,68.0,70.0,70.0,126840300
2021-12-23,72.0,72.0,68.0,69.0,69.0,72157700
2021-12-24,70.0,72.0,69.0,70.0,70.0,103832100
2021-12-27,71.0,74.0,69.0,73.0,73.0,173999300
2021-12-28,74.0,75.0,70.0,70.0,70.0,180495700
2021-12-29,70.0,72.0,66.0,66.0,66.0,184414800
2021-12-30,68.0,68.0,63.0,64.0,64.0,141700100
2022-01-03,73.0,73.0,65.0,69.0,69.0,138241600
2022-01-04,68.0,71.0,67.0,68.0,68.0,119893100
2022-01-05,68.0,72.0,66.0,68.0,68.0,100235000
2022-01-06,67.0,68.0,64.0,66.0,66.0,83420600
2022-01-07,67.0,70.0,66.0,70.0,70.0,109361700
