Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,87.0,87.0,82.0,82.0,82.0,3544800
2021-12-02,82.0,84.0,81.0,82.0,82.0,2359000
2021-12-03,82.0,93.0,81.0,91.0,91.0,30969400
2021-12-06,91.0,91.0,85.0,86.0,86.0,10399000
2021-12-07,90.0,90.0,84.0,84.0,84.0,5819000
2021-12-08,84.0,86.0,82.0,83.0,83.0,2019100
2021-12-09,85.0,91.0,83.0,86.0,86.0,19831800
2021-12-10,86.0,86.0,84.0,84.0,84.0,2881800
2021-12-13,84.0,86.0,81.0,82.0,82.0,9242700
2021-12-14,83.0,92.0,81.0,85.0,85.0,56879300
2021-12-15,85.0,86.0,83.0,83.0,83.0,6551800
2021-12-16,83.0,85.0,81.0,83.0,83.0,8058100
2021-12-17,84.0,84.0,82.0,83.0,83.0,1978500
2021-12-20,83.0,83.0,81.0,82.0,82.0,1735000
2021-12-21,82.0,84.0,77.0,79.0,79.0,9250100
2021-12-22,79.0,79.0,76.0,77.0,77.0,7015800
2021-12-23,77.0,79.0,77.0,78.0,78.0,3332900
2021-12-24,79.0,89.0,79.0,80.0,80.0,27620900
2021-12-27,81.0,86.0,80.0,81.0,81.0,14325800
2021-12-28,81.0,83.0,80.0,81.0,81.0,2668300
2021-12-29,81.0,82.0,79.0,80.0,80.0,1280900
2021-12-30,80.0,82.0,79.0,79.0,79.0,4330600
2022-01-03,79.0,87.0,78.0,82.0,82.0,13219800
2022-01-04,86.0,86.0,82.0,83.0,83.0,6253600
2022-01-05,83.0,84.0,81.0,81.0,81.0,2435500
2022-01-06,81.0,85.0,79.0,80.0,80.0,8105700
2022-01-07,80.0,82.0,78.0,80.0,80.0,3092600
