Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,810.0,815.0,755.0,780.0,756.5360717773438,524800
2021-01-05,770.0,795.0,770.0,780.0,756.5360717773438,342500
2021-01-06,780.0,805.0,780.0,790.0,766.2352905273438,1609500
2021-01-07,805.0,810.0,770.0,790.0,766.2352905273438,1312600
2021-01-08,790.0,790.0,780.0,790.0,766.2352905273438,720200
2021-01-11,785.0,790.0,755.0,755.0,732.2881469726562,736800
2021-01-12,755.0,825.0,755.0,825.0,800.1824340820312,675400
2021-01-13,825.0,825.0,800.0,805.0,780.7840576171875,734800
2021-01-14,805.0,820.0,790.0,800.0,775.9344482421875,628300
2021-01-15,800.0,800.0,770.0,780.0,756.5360717773438,404700
2021-01-18,775.0,785.0,760.0,770.0,746.8369140625,744900
2021-01-19,765.0,765.0,745.0,755.0,732.2881469726562,536900
2021-01-20,750.0,750.0,740.0,750.0,727.4385375976562,210300
2021-01-21,750.0,760.0,745.0,755.0,732.2881469726562,94700
2021-01-22,760.0,760.0,710.0,725.0,703.1906127929688,689700
2021-01-25,725.0,725.0,715.0,720.0,698.3410034179688,143500
2021-01-26,720.0,730.0,710.0,715.0,693.4913940429688,687000
2021-01-27,715.0,720.0,705.0,720.0,698.3410034179688,685400
2021-01-28,700.0,700.0,670.0,680.0,659.5443115234375,2512300
2021-01-29,680.0,695.0,660.0,670.0,649.8450927734375,357800
2021-02-01,670.0,690.0,640.0,680.0,659.5443115234375,641200
2021-02-02,685.0,700.0,675.0,685.0,664.3938598632812,366100
2021-02-03,685.0,715.0,685.0,715.0,693.4913940429688,1038900
2021-02-04,720.0,730.0,705.0,730.0,708.0402221679688,653200
2021-02-05,740.0,740.0,720.0,740.0,717.7393798828125,290900
2021-02-08,745.0,745.0,720.0,740.0,717.7393798828125,196500
2021-02-09,740.0,750.0,735.0,745.0,722.5889892578125,491700
2021-02-10,745.0,760.0,740.0,745.0,722.5889892578125,584100
2021-02-11,745.0,745.0,730.0,740.0,717.7393798828125,25700
2021-02-15,740.0,755.0,735.0,740.0,717.7393798828125,100000
2021-02-16,740.0,770.0,735.0,765.0,741.9873046875,353600
2021-02-17,775.0,790.0,740.0,790.0,766.2352905273438,754200
2021-02-18,790.0,795.0,770.0,780.0,756.5360717773438,154900
2021-02-19,780.0,780.0,750.0,760.0,737.1377563476562,302300
2021-02-22,760.0,765.0,755.0,760.0,737.1377563476562,109000
2021-02-23,760.0,790.0,755.0,775.0,751.6865234375,645400
