Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,436.0,450.0,426.0,440.0,415.0943298339844,1064500
2021-01-05,440.0,448.0,436.0,442.0,416.98114013671875,433300
2021-01-06,442.0,494.0,442.0,480.0,452.8301696777344,4910200
2021-01-07,480.0,492.0,470.0,472.0,445.28302001953125,1638500
2021-01-08,472.0,472.0,462.0,470.0,443.3962097167969,882800
2021-01-11,470.0,474.0,460.0,462.0,435.84906005859375,1408900
2021-01-12,466.0,476.0,460.0,462.0,435.84906005859375,2115100
2021-01-13,466.0,466.0,454.0,460.0,433.9622497558594,1314900
2021-01-14,460.0,462.0,456.0,456.0,430.18865966796875,1258500
2021-01-15,456.0,462.0,450.0,454.0,428.3018798828125,2302300
2021-01-18,454.0,458.0,448.0,456.0,430.18865966796875,566300
2021-01-19,456.0,464.0,450.0,456.0,430.18865966796875,2152200
2021-01-20,456.0,458.0,450.0,454.0,428.3018798828125,1067800
2021-01-21,454.0,466.0,452.0,456.0,430.18865966796875,1193000
2021-01-22,456.0,464.0,448.0,454.0,428.3018798828125,3041300
2021-01-25,454.0,460.0,446.0,446.0,420.75469970703125,2944500
2021-01-26,446.0,468.0,440.0,446.0,420.75469970703125,4211600
2021-01-27,446.0,446.0,432.0,440.0,415.0943298339844,3312500
2021-01-28,440.0,444.0,420.0,420.0,396.2264099121094,2793500
2021-01-29,436.0,440.0,412.0,420.0,396.2264099121094,1491500
2021-02-01,420.0,436.0,406.0,424.0,400.0,1487100
2021-02-02,424.0,438.0,424.0,432.0,407.5471496582031,444300
2021-02-03,436.0,438.0,432.0,434.0,409.4339599609375,157200
2021-02-04,434.0,448.0,434.0,442.0,416.98114013671875,219900
2021-02-05,448.0,448.0,436.0,442.0,416.98114013671875,334000
2021-02-08,442.0,454.0,440.0,452.0,426.41510009765625,524300
2021-02-09,454.0,464.0,444.0,450.0,424.5282897949219,897700
2021-02-10,450.0,460.0,450.0,456.0,430.18865966796875,274700
2021-02-11,456.0,460.0,444.0,452.0,426.41510009765625,828500
2021-02-15,452.0,474.0,452.0,468.0,441.5094299316406,3343300
2021-02-16,470.0,470.0,466.0,470.0,443.3962097167969,848300
2021-02-17,464.0,470.0,460.0,464.0,437.73583984375,644600
2021-02-18,464.0,470.0,452.0,462.0,435.84906005859375,309300
2021-02-19,466.0,472.0,450.0,460.0,433.9622497558594,677400
2021-02-22,456.0,470.0,456.0,462.0,435.84906005859375,278600
2021-02-23,464.0,466.0,458.0,458.0,432.0754699707031,268200
2021-02-24,454.0,470.0,450.0,458.0,432.0754699707031,506600
2021-02-25,458.0,515.0,458.0,478.0,450.9433898925781,4380000
2021-02-26,478.0,480.0,470.0,474.0,447.1697998046875,1497500
2021-03-01,474.0,478.0,464.0,470.0,443.3962097167969,1339100
2021-03-02,470.0,490.0,470.0,478.0,450.9433898925781,498000
2021-03-03,484.0,488.0,470.0,470.0,443.3962097167969,674000
2021-03-04,468.0,484.0,468.0,480.0,452.8301696777344,158200
2021-03-05,480.0,480.0,464.0,476.0,449.0566101074219,340600
2021-03-08,476.0,488.0,468.0,474.0,447.1697998046875,364000
2021-03-09,476.0,484.0,472.0,480.0,452.8301696777344,309100
2021-03-10,484.0,484.0,474.0,478.0,450.9433898925781,193700
2021-03-12,478.0,486.0,474.0,480.0,452.8301696777344,644000
2021-03-15,480.0,575.0,480.0,550.0,518.867919921875,10846800
2021-03-16,560.0,565.0,520.0,530.0,500.0,1297300
2021-03-17,530.0,555.0,525.0,550.0,518.867919921875,1953800
2021-03-18,555.0,565.0,540.0,540.0,509.4339599609375,868600
