Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,6850.0,6850.0,6850.0,6850.0,6850.0,200
2021-12-02,6850.0,6850.0,6850.0,6850.0,6850.0,0
2021-12-07,6850.0,7000.0,6850.0,6850.0,6850.0,164900
2021-12-08,6900.0,7925.0,6800.0,7925.0,7925.0,12000
2021-12-09,7375.0,7375.0,7375.0,7375.0,7375.0,1700
2021-12-10,7300.0,7300.0,6875.0,6875.0,6875.0,11100
2021-12-13,6875.0,6875.0,6700.0,6750.0,6750.0,20900
2021-12-14,6750.0,6750.0,6750.0,6750.0,6750.0,600
2021-12-15,6750.0,6750.0,6650.0,6700.0,6700.0,600
2021-12-16,6675.0,6675.0,6600.0,6625.0,6625.0,400
2021-12-17,6625.0,6625.0,6625.0,6625.0,6625.0,400
2021-12-20,6625.0,6625.0,6625.0,6625.0,6625.0,200
2021-12-21,6625.0,6625.0,6625.0,6625.0,6625.0,100
2021-12-22,6625.0,6625.0,6625.0,6625.0,6625.0,0
2021-12-24,6800.0,6850.0,6800.0,6850.0,6850.0,200
2021-12-27,6850.0,6900.0,6850.0,6900.0,6900.0,100200
2021-12-28,6850.0,6850.0,6850.0,6850.0,6850.0,600
2021-12-30,6700.0,6700.0,6700.0,6700.0,6700.0,100
2022-01-03,6950.0,6975.0,6950.0,6975.0,6975.0,200
2022-01-04,6975.0,6975.0,6975.0,6975.0,6975.0,0
2022-01-07,6975.0,7100.0,6900.0,7000.0,7000.0,35200
