Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,380.0,380.0,374.0,380.0,380.0,285700
2021-12-02,380.0,380.0,376.0,380.0,380.0,289500
2021-12-03,380.0,380.0,376.0,376.0,376.0,227200
2021-12-06,376.0,380.0,376.0,380.0,380.0,300400
2021-12-07,380.0,384.0,380.0,384.0,384.0,311300
2021-12-08,384.0,386.0,384.0,386.0,386.0,327100
2021-12-09,386.0,386.0,384.0,386.0,386.0,287100
2021-12-10,386.0,394.0,386.0,394.0,394.0,324700
2021-12-13,392.0,394.0,380.0,386.0,386.0,321400
2021-12-14,386.0,386.0,380.0,386.0,386.0,257000
2021-12-15,386.0,388.0,384.0,386.0,386.0,313500
2021-12-16,386.0,388.0,382.0,382.0,382.0,284400
2021-12-17,382.0,384.0,374.0,378.0,378.0,268500
2021-12-20,378.0,380.0,374.0,380.0,380.0,139700
2021-12-21,380.0,382.0,374.0,382.0,382.0,75100
2021-12-22,378.0,378.0,374.0,376.0,376.0,69100
2021-12-23,376.0,376.0,372.0,376.0,376.0,128500
2021-12-24,376.0,380.0,374.0,380.0,380.0,159300
2021-12-27,380.0,382.0,370.0,380.0,380.0,214400
2021-12-28,380.0,382.0,378.0,382.0,382.0,159100
2021-12-29,382.0,384.0,378.0,382.0,382.0,224700
2021-12-30,382.0,384.0,374.0,382.0,382.0,238300
2022-01-03,382.0,384.0,376.0,380.0,380.0,295700
2022-01-04,378.0,380.0,370.0,380.0,380.0,232000
2022-01-05,380.0,380.0,374.0,380.0,380.0,134100
2022-01-06,378.0,380.0,370.0,380.0,380.0,134000
2022-01-07,380.0,380.0,370.0,380.0,380.0,148100
