Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,340.0,340.0,328.0,330.0,330.0,14700
2021-01-05,330.0,330.0,312.0,326.0,326.0,56100
2021-01-06,326.0,344.0,326.0,338.0,338.0,7800
2021-01-07,338.0,342.0,326.0,342.0,342.0,3700
2021-01-08,340.0,420.0,340.0,400.0,400.0,1536600
2021-01-11,402.0,414.0,372.0,386.0,386.0,972100
2021-01-12,386.0,388.0,360.0,366.0,366.0,257100
2021-01-13,356.0,384.0,342.0,356.0,356.0,208100
2021-01-14,356.0,378.0,352.0,366.0,366.0,245800
2021-01-15,358.0,376.0,358.0,370.0,370.0,180900
2021-01-18,370.0,370.0,350.0,356.0,356.0,143500
2021-01-19,358.0,358.0,344.0,344.0,344.0,41300
2021-01-20,346.0,350.0,340.0,350.0,350.0,42300
2021-01-21,360.0,360.0,346.0,348.0,348.0,30100
2021-01-22,348.0,352.0,342.0,342.0,342.0,75000
2021-01-25,342.0,342.0,320.0,322.0,322.0,805600
2021-01-26,320.0,320.0,302.0,306.0,306.0,80200
2021-01-27,304.0,306.0,300.0,300.0,300.0,40700
2021-01-28,300.0,306.0,300.0,300.0,300.0,36600
2021-01-29,288.0,366.0,280.0,286.0,286.0,245400
2021-02-01,282.0,294.0,276.0,292.0,292.0,50400
2021-02-02,292.0,298.0,292.0,294.0,294.0,24500
2021-02-03,290.0,324.0,290.0,316.0,316.0,58100
2021-02-04,314.0,326.0,304.0,304.0,304.0,24600
2021-02-05,304.0,316.0,304.0,306.0,306.0,274700
2021-02-08,306.0,310.0,288.0,308.0,308.0,576300
2021-02-09,310.0,316.0,300.0,310.0,310.0,11100
2021-02-10,308.0,308.0,302.0,304.0,304.0,44500
2021-02-11,302.0,304.0,302.0,304.0,304.0,60600
2021-02-15,304.0,308.0,294.0,304.0,304.0,110600
2021-02-16,308.0,328.0,304.0,308.0,308.0,730100
2021-02-17,308.0,308.0,300.0,300.0,300.0,92900
2021-02-18,294.0,314.0,294.0,296.0,296.0,113100
2021-02-19,290.0,302.0,290.0,300.0,300.0,15400
2021-02-22,300.0,310.0,298.0,302.0,302.0,25500
2021-02-23,302.0,310.0,288.0,298.0,298.0,25000
2021-02-24,298.0,312.0,288.0,308.0,308.0,72000
2021-02-25,308.0,310.0,290.0,306.0,306.0,23200
2021-02-26,300.0,312.0,290.0,306.0,306.0,26400
2021-03-01,300.0,310.0,300.0,300.0,300.0,31200
2021-03-02,300.0,312.0,300.0,312.0,312.0,107700
2021-03-03,312.0,320.0,304.0,318.0,318.0,112900
2021-03-04,318.0,320.0,302.0,314.0,314.0,849600
