Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,184.0,184.0,180.0,183.0,183.0,223600
2021-01-05,185.0,186.0,182.0,184.0,184.0,228400
2021-01-06,183.0,183.0,180.0,183.0,183.0,242700
2021-01-07,181.0,185.0,180.0,185.0,185.0,251600
2021-01-08,187.0,187.0,185.0,187.0,187.0,222300
2021-01-11,187.0,187.0,185.0,187.0,187.0,219200
2021-01-12,186.0,187.0,186.0,186.0,186.0,221900
2021-01-13,186.0,187.0,186.0,187.0,187.0,218800
2021-01-14,187.0,187.0,186.0,186.0,186.0,227100
2021-01-15,186.0,186.0,184.0,184.0,184.0,167800
2021-01-18,185.0,188.0,185.0,186.0,186.0,224800
2021-01-19,186.0,188.0,183.0,183.0,183.0,230500
2021-01-20,184.0,187.0,184.0,187.0,187.0,225400
2021-01-21,187.0,187.0,180.0,185.0,185.0,229500
2021-01-22,185.0,187.0,185.0,186.0,186.0,241300
2021-01-25,187.0,190.0,187.0,189.0,189.0,248500
2021-01-26,189.0,192.0,189.0,190.0,190.0,225500
2021-01-27,190.0,190.0,178.0,185.0,185.0,193200
2021-01-28,187.0,195.0,178.0,187.0,187.0,235800
2021-01-29,190.0,190.0,187.0,187.0,187.0,246100
2021-02-01,187.0,187.0,185.0,187.0,187.0,238100
2021-02-02,186.0,187.0,178.0,182.0,182.0,162900
2021-02-03,182.0,185.0,182.0,185.0,185.0,237300
2021-02-04,187.0,187.0,185.0,187.0,187.0,234100
2021-02-05,189.0,189.0,186.0,187.0,187.0,225000
2021-02-08,187.0,187.0,178.0,178.0,178.0,321800
2021-02-09,178.0,179.0,170.0,179.0,179.0,248000
2021-02-10,179.0,180.0,171.0,178.0,178.0,239900
2021-02-11,179.0,181.0,178.0,180.0,180.0,247700
2021-02-15,182.0,200.0,172.0,182.0,182.0,248000
2021-02-16,183.0,185.0,172.0,183.0,183.0,256000
2021-02-17,183.0,185.0,171.0,183.0,183.0,362200
2021-02-18,183.0,183.0,171.0,172.0,172.0,293100
2021-02-19,172.0,175.0,172.0,175.0,175.0,282800
2021-02-22,175.0,175.0,175.0,175.0,175.0,0
2021-02-23,168.0,200.0,166.0,175.0,175.0,1900
2021-02-24,168.0,199.0,165.0,175.0,175.0,2900
2021-02-25,175.0,175.0,175.0,175.0,175.0,400
2021-03-01,177.0,178.0,175.0,176.0,176.0,155400
2021-03-02,170.0,180.0,170.0,178.0,178.0,250300
2021-03-03,178.0,200.0,172.0,180.0,180.0,233500
2021-03-04,179.0,180.0,177.0,178.0,178.0,203600
2021-03-05,177.0,177.0,175.0,177.0,177.0,238300
2021-03-08,177.0,178.0,171.0,175.0,175.0,219800
2021-03-09,176.0,176.0,170.0,172.0,172.0,305500
2021-03-10,173.0,188.0,170.0,186.0,186.0,297600
2021-03-12,186.0,189.0,173.0,176.0,176.0,41000
2021-03-15,174.0,174.0,168.0,174.0,174.0,10600
2021-03-16,172.0,172.0,165.0,170.0,170.0,104500
2021-03-17,170.0,170.0,170.0,170.0,170.0,100
2021-03-18,170.0,170.0,170.0,170.0,170.0,1000
2021-03-19,175.0,228.0,174.0,210.0,210.0,374800
2021-03-22,210.0,246.0,196.0,198.0,198.0,518400
2021-03-23,195.0,218.0,188.0,191.0,191.0,17800
2021-03-24,181.0,200.0,181.0,181.0,181.0,7800
2021-03-25,180.0,181.0,171.0,171.0,171.0,3900
2021-03-26,170.0,230.0,170.0,180.0,180.0,177300
2021-03-29,182.0,216.0,181.0,210.0,210.0,73000
2021-03-30,200.0,202.0,196.0,196.0,196.0,165800
2021-03-31,197.0,197.0,184.0,184.0,184.0,1300
2021-04-01,180.0,210.0,173.0,192.0,192.0,45700
2021-04-05,185.0,218.0,180.0,200.0,200.0,21100
2021-04-06,187.0,193.0,186.0,193.0,193.0,6700
2021-04-07,183.0,210.0,183.0,210.0,210.0,2600
2021-04-08,197.0,222.0,197.0,218.0,218.0,9642600
2021-04-09,218.0,222.0,204.0,220.0,220.0,2553300
2021-04-12,206.0,210.0,206.0,206.0,206.0,121000
2021-04-13,220.0,220.0,200.0,204.0,204.0,6271700
2021-04-14,218.0,218.0,204.0,212.0,212.0,14100
2021-04-15,212.0,212.0,199.0,208.0,208.0,36800
2021-04-16,208.0,214.0,194.0,197.0,197.0,44000
2021-04-19,197.0,198.0,187.0,188.0,188.0,10700
2021-04-20,180.0,200.0,178.0,181.0,181.0,15100
2021-04-21,193.0,214.0,176.0,179.0,179.0,38200
2021-04-22,190.0,202.0,190.0,190.0,190.0,19100
2021-04-23,182.0,196.0,180.0,181.0,181.0,92700
2021-04-26,176.0,185.0,176.0,185.0,185.0,5700
2021-04-27,199.0,199.0,173.0,174.0,174.0,140200
2021-04-28,195.0,195.0,162.0,162.0,162.0,375800
2021-04-29,163.0,167.0,163.0,163.0,163.0,15800
2021-04-30,163.0,163.0,163.0,163.0,163.0,9100
2021-05-03,159.0,160.0,159.0,160.0,160.0,10300
2021-05-04,160.0,190.0,160.0,163.0,163.0,37000
2021-05-05,172.0,220.0,166.0,220.0,220.0,904700
2021-05-06,224.0,232.0,206.0,208.0,208.0,551900
2021-05-07,194.0,204.0,194.0,194.0,194.0,79800
2021-05-10,181.0,198.0,181.0,186.0,186.0,58000
2021-05-11,186.0,220.0,173.0,188.0,188.0,61800
2021-05-17,200.0,220.0,177.0,181.0,181.0,147600
2021-05-18,171.0,175.0,171.0,171.0,171.0,400
2021-05-19,165.0,197.0,164.0,170.0,170.0,68000
2021-05-20,170.0,228.0,170.0,228.0,228.0,1251500
2021-05-21,240.0,278.0,214.0,214.0,214.0,1921000
2021-05-24,206.0,206.0,200.0,200.0,200.0,273600
2021-05-25,195.0,202.0,186.0,196.0,196.0,293100
2021-05-27,196.0,202.0,190.0,199.0,199.0,75500
2021-05-28,200.0,218.0,200.0,200.0,200.0,29400
2021-05-31,200.0,200.0,193.0,193.0,193.0,50100
2021-06-02,193.0,226.0,183.0,198.0,198.0,77000
2021-06-03,198.0,198.0,191.0,191.0,191.0,17300
2021-06-04,194.0,198.0,191.0,192.0,192.0,2900
2021-06-07,192.0,195.0,192.0,192.0,192.0,8600
2021-06-08,192.0,192.0,192.0,192.0,192.0,2400
2021-06-09,185.0,186.0,182.0,185.0,185.0,67400
2021-06-10,179.0,185.0,179.0,185.0,185.0,24200
2021-06-11,183.0,208.0,183.0,190.0,190.0,49700
2021-06-14,190.0,190.0,185.0,188.0,188.0,2400
2021-06-15,182.0,189.0,181.0,189.0,189.0,41700
2021-06-16,189.0,192.0,183.0,184.0,184.0,164400
2021-06-17,178.0,191.0,178.0,184.0,184.0,900
2021-06-18,180.0,189.0,172.0,174.0,174.0,12500
2021-06-21,168.0,202.0,168.0,189.0,189.0,153800
2021-06-22,189.0,190.0,176.0,190.0,190.0,59400
2021-06-23,190.0,202.0,190.0,190.0,190.0,20100
2021-06-24,180.0,210.0,180.0,199.0,199.0,46300
2021-06-25,195.0,195.0,187.0,187.0,187.0,45700
2021-06-28,190.0,190.0,180.0,180.0,180.0,1200
2021-06-29,170.0,196.0,170.0,189.0,189.0,31400
2021-06-30,190.0,190.0,189.0,189.0,189.0,300
2021-07-01,188.0,188.0,180.0,181.0,181.0,2800
2021-07-02,191.0,204.0,181.0,198.0,198.0,4500
2021-07-05,208.0,208.0,185.0,200.0,200.0,5000
2021-07-06,190.0,200.0,186.0,200.0,200.0,78900
2021-07-07,199.0,200.0,188.0,199.0,199.0,5400
2021-07-08,190.0,190.0,190.0,190.0,190.0,5900
2021-07-09,188.0,188.0,187.0,187.0,187.0,5000
2021-07-12,187.0,187.0,187.0,187.0,187.0,20700
2021-07-13,176.0,196.0,176.0,196.0,196.0,13300
2021-07-14,186.0,186.0,186.0,186.0,186.0,200
2021-07-15,185.0,200.0,185.0,199.0,199.0,11200
2021-07-16,208.0,208.0,187.0,190.0,190.0,7700
2021-07-19,190.0,190.0,178.0,188.0,188.0,800
2021-07-21,178.0,198.0,178.0,183.0,183.0,2100
2021-07-22,173.0,206.0,173.0,188.0,188.0,2900
2021-07-23,185.0,250.0,185.0,195.0,195.0,236100
2021-07-26,194.0,212.0,182.0,191.0,191.0,127600
2021-07-27,190.0,230.0,186.0,206.0,206.0,273900
2021-07-28,216.0,230.0,192.0,198.0,198.0,117800
2021-07-29,188.0,220.0,188.0,190.0,190.0,29100
2021-07-30,187.0,202.0,187.0,195.0,195.0,14500
2021-08-02,191.0,210.0,191.0,202.0,202.0,9800
2021-08-03,204.0,204.0,190.0,190.0,190.0,5600
2021-08-04,190.0,191.0,190.0,191.0,191.0,4300
2021-08-05,186.0,186.0,186.0,186.0,186.0,4600
2021-08-06,183.0,198.0,183.0,185.0,185.0,7100
2021-08-09,190.0,190.0,181.0,181.0,181.0,26100
2021-08-10,181.0,194.0,169.0,172.0,172.0,41000
2021-08-12,174.0,187.0,174.0,187.0,187.0,17000
2021-08-13,199.0,199.0,175.0,179.0,179.0,20600
2021-08-16,179.0,238.0,175.0,200.0,200.0,651000
2021-08-18,200.0,200.0,186.0,187.0,187.0,129600
2021-08-19,186.0,194.0,181.0,190.0,190.0,25700
2021-08-20,185.0,199.0,178.0,180.0,180.0,42600
2021-08-23,181.0,196.0,180.0,189.0,189.0,71300
2021-08-24,180.0,188.0,180.0,182.0,182.0,1800
2021-08-25,182.0,202.0,182.0,184.0,184.0,5300
2021-08-26,184.0,199.0,182.0,194.0,194.0,16000
2021-08-27,198.0,200.0,190.0,195.0,195.0,42500
2021-08-30,185.0,195.0,185.0,195.0,195.0,14600
2021-08-31,195.0,198.0,194.0,194.0,194.0,3900
2021-09-01,194.0,194.0,194.0,194.0,194.0,1000
2021-09-02,191.0,191.0,191.0,191.0,191.0,200
2021-09-03,181.0,191.0,181.0,185.0,185.0,33900
2021-09-06,185.0,185.0,185.0,185.0,185.0,0
2021-09-07,176.0,179.0,176.0,179.0,179.0,900
2021-09-08,179.0,186.0,179.0,179.0,179.0,300
2021-09-09,186.0,240.0,185.0,236.0,236.0,1019700
2021-09-10,242.0,290.0,240.0,244.0,244.0,1288100
2021-09-13,244.0,244.0,228.0,228.0,228.0,45700
2021-09-14,214.0,228.0,214.0,214.0,214.0,159800
2021-09-15,214.0,214.0,202.0,206.0,206.0,63300
2021-09-16,206.0,256.0,202.0,248.0,248.0,578300
2021-09-17,254.0,270.0,232.0,244.0,244.0,402300
2021-09-20,228.0,248.0,228.0,246.0,246.0,151400
2021-09-21,230.0,246.0,230.0,230.0,230.0,75000
2021-09-22,250.0,250.0,214.0,216.0,216.0,120200
2021-09-23,216.0,216.0,202.0,202.0,202.0,241500
2021-09-24,200.0,200.0,188.0,189.0,189.0,335300
2021-09-27,189.0,198.0,189.0,194.0,194.0,42000
2021-09-28,194.0,197.0,194.0,196.0,196.0,42500
2021-09-29,199.0,199.0,192.0,193.0,193.0,14900
2021-09-30,193.0,202.0,190.0,190.0,190.0,42000
2021-10-01,190.0,191.0,190.0,190.0,190.0,6300
2021-10-04,196.0,199.0,195.0,198.0,198.0,32600
2021-10-05,195.0,195.0,195.0,195.0,195.0,1900
2021-10-06,191.0,199.0,191.0,197.0,197.0,9100
2021-10-07,200.0,200.0,190.0,194.0,194.0,42200
2021-10-08,194.0,194.0,190.0,190.0,190.0,800
2021-10-11,190.0,202.0,190.0,190.0,190.0,9700
2021-10-12,210.0,210.0,191.0,196.0,196.0,15500
2021-10-13,196.0,196.0,196.0,196.0,196.0,1600
2021-10-14,196.0,202.0,190.0,200.0,200.0,11900
2021-10-15,200.0,200.0,187.0,197.0,197.0,4300
2021-10-18,197.0,197.0,195.0,197.0,197.0,4200
