Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,50.0,50.0,50.0,50.0,50.0,184500
2021-12-02,50.0,50.0,50.0,50.0,50.0,169000
2021-12-03,50.0,50.0,50.0,50.0,50.0,14100
2021-12-06,50.0,50.0,50.0,50.0,50.0,57800
2021-12-07,50.0,50.0,50.0,50.0,50.0,261800
2021-12-08,50.0,50.0,50.0,50.0,50.0,10900
2021-12-09,50.0,50.0,50.0,50.0,50.0,23800
2021-12-10,50.0,50.0,50.0,50.0,50.0,520000
2021-12-13,50.0,50.0,50.0,50.0,50.0,759900
2021-12-14,50.0,50.0,50.0,50.0,50.0,9200
2021-12-15,50.0,50.0,50.0,50.0,50.0,314200
2021-12-16,50.0,50.0,50.0,50.0,50.0,107000
2021-12-17,50.0,50.0,50.0,50.0,50.0,1821800
2021-12-20,50.0,50.0,50.0,50.0,50.0,1402500
2021-12-21,50.0,51.0,50.0,50.0,50.0,128078300
2021-12-22,50.0,52.0,50.0,50.0,50.0,288819800
2021-12-23,50.0,58.0,50.0,56.0,56.0,1593956200
2021-12-24,60.0,63.0,53.0,53.0,53.0,1147014900
2021-12-27,53.0,53.0,50.0,50.0,50.0,123984600
2021-12-28,50.0,50.0,50.0,50.0,50.0,8024000
2021-12-29,50.0,50.0,50.0,50.0,50.0,4813100
2021-12-30,50.0,50.0,50.0,50.0,50.0,590800
2022-01-03,50.0,50.0,50.0,50.0,50.0,40577000
2022-01-04,50.0,50.0,50.0,50.0,50.0,6218500
2022-01-05,50.0,50.0,50.0,50.0,50.0,875300
2022-01-06,50.0,50.0,50.0,50.0,50.0,46230000
2022-01-07,50.0,50.0,50.0,50.0,50.0,19341700
