Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,430.0,440.0,412.0,438.0,434.9299011230469,30859100
2021-01-05,438.0,454.0,434.0,434.0,430.95794677734375,34524400
2021-01-06,442.0,448.0,432.0,442.0,438.9018859863281,27137400
2021-01-07,448.0,464.0,446.0,452.0,448.831787109375,21087900
2021-01-08,450.0,470.0,446.0,464.0,460.7476806640625,27270500
2021-01-11,466.0,486.0,464.0,476.0,472.66357421875,29929100
2021-01-12,484.0,484.0,460.0,466.0,462.733642578125,12978900
2021-01-13,466.0,470.0,452.0,462.0,458.7616882324219,10146300
2021-01-14,466.0,468.0,456.0,458.0,454.78973388671875,10579500
2021-01-15,452.0,460.0,446.0,448.0,444.8598327636719,20292000
2021-01-18,446.0,446.0,428.0,428.0,425.0,23891800
2021-01-19,424.0,448.0,414.0,430.0,426.9859924316406,29581300
2021-01-20,428.0,436.0,422.0,428.0,425.0,14006800
2021-01-21,432.0,446.0,430.0,442.0,438.9018859863281,20886600
2021-01-22,450.0,462.0,426.0,430.0,426.9859924316406,38962400
2021-01-25,430.0,430.0,400.0,418.0,415.0700988769531,14358900
2021-01-26,418.0,422.0,400.0,404.0,401.1682434082031,18115200
2021-01-27,404.0,416.0,386.0,404.0,401.1682434082031,25330900
2021-01-28,402.0,416.0,384.0,388.0,385.2803955078125,19452200
2021-01-29,388.0,398.0,376.0,386.0,383.2944030761719,12787600
2021-02-01,386.0,406.0,370.0,404.0,401.1682434082031,15600900
2021-02-02,404.0,420.0,400.0,404.0,401.1682434082031,12461000
2021-02-03,404.0,408.0,398.0,400.0,397.1962585449219,6998900
2021-02-04,402.0,404.0,392.0,398.0,395.2102966308594,4790300
2021-02-05,400.0,424.0,398.0,422.0,419.04205322265625,13712700
2021-02-08,424.0,428.0,418.0,422.0,419.04205322265625,8729600
2021-02-09,424.0,438.0,422.0,428.0,425.0,20025400
2021-02-10,430.0,438.0,426.0,428.0,425.0,8767500
2021-02-11,432.0,434.0,424.0,428.0,425.0,5543000
2021-02-15,428.0,434.0,428.0,434.0,430.95794677734375,6779400
2021-02-16,436.0,450.0,436.0,444.0,440.8878479003906,25875900
2021-02-17,446.0,450.0,430.0,434.0,430.95794677734375,11227900
2021-02-18,436.0,440.0,432.0,436.0,432.9439392089844,5910500
2021-02-19,436.0,436.0,412.0,424.0,421.0280456542969,16415000
2021-02-22,424.0,432.0,424.0,426.0,423.0140380859375,3601500
2021-02-23,426.0,430.0,418.0,430.0,426.9859924316406,4243400
2021-02-24,434.0,444.0,432.0,444.0,440.8878479003906,18204200
2021-02-25,450.0,458.0,446.0,448.0,444.8598327636719,19540800
2021-02-26,450.0,450.0,440.0,442.0,438.9018859863281,10294500
2021-03-01,444.0,452.0,436.0,450.0,446.8457946777344,9137000
2021-03-02,458.0,486.0,452.0,462.0,458.7616882324219,43457000
2021-03-03,466.0,470.0,458.0,460.0,456.77569580078125,11560900
2021-03-04,462.0,468.0,454.0,462.0,458.7616882324219,9876800
