Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,390.0,390.0,360.0,380.0,380.0,2300
2021-01-05,400.0,400.0,354.0,354.0,354.0,11300
2021-01-06,374.0,374.0,330.0,330.0,330.0,13600
2021-01-07,346.0,360.0,324.0,358.0,358.0,9000
2021-01-08,378.0,378.0,348.0,348.0,348.0,8300
2021-01-11,360.0,360.0,326.0,358.0,358.0,3800
2021-01-12,378.0,378.0,336.0,336.0,336.0,3400
2021-01-13,350.0,350.0,320.0,324.0,324.0,5500
2021-01-14,344.0,344.0,320.0,336.0,336.0,1800
2021-01-15,344.0,344.0,338.0,340.0,340.0,800
2021-01-18,360.0,360.0,332.0,338.0,338.0,7200
2021-01-19,358.0,358.0,340.0,344.0,344.0,3600
2021-01-20,364.0,364.0,322.0,338.0,338.0,3800
2021-01-21,358.0,358.0,336.0,336.0,336.0,1300
2021-01-22,356.0,356.0,322.0,338.0,338.0,4900
2021-01-25,350.0,350.0,316.0,316.0,316.0,127500
2021-01-26,336.0,380.0,334.0,374.0,374.0,65900
2021-01-27,370.0,370.0,348.0,348.0,348.0,34100
2021-01-28,368.0,368.0,348.0,348.0,348.0,14100
2021-01-29,366.0,366.0,346.0,346.0,346.0,6200
2021-02-01,366.0,366.0,328.0,328.0,328.0,9200
2021-02-02,348.0,348.0,322.0,330.0,330.0,41800
2021-02-03,350.0,356.0,322.0,356.0,356.0,1800
2021-02-04,376.0,376.0,340.0,354.0,354.0,3700
2021-02-05,374.0,374.0,364.0,364.0,364.0,12300
2021-02-08,384.0,384.0,364.0,378.0,378.0,6700
2021-02-09,398.0,398.0,352.0,352.0,352.0,13800
2021-02-10,372.0,372.0,338.0,338.0,338.0,5300
2021-02-11,358.0,370.0,338.0,368.0,368.0,7100
2021-02-15,388.0,396.0,380.0,380.0,380.0,4900
2021-02-16,400.0,400.0,354.0,354.0,354.0,7400
2021-02-17,374.0,374.0,350.0,350.0,350.0,2600
2021-02-18,370.0,370.0,368.0,368.0,368.0,200
2021-02-19,388.0,388.0,344.0,356.0,356.0,4300
2021-02-22,358.0,358.0,332.0,348.0,348.0,13700
2021-02-23,368.0,368.0,324.0,324.0,324.0,37700
2021-02-24,346.0,346.0,316.0,334.0,334.0,3200
2021-02-25,354.0,354.0,320.0,328.0,328.0,9200
2021-02-26,348.0,348.0,336.0,336.0,336.0,5400
2021-03-01,356.0,420.0,314.0,332.0,332.0,167300
2021-03-02,352.0,352.0,318.0,332.0,332.0,3800
2021-03-03,352.0,352.0,328.0,334.0,334.0,2200
2021-03-04,354.0,354.0,326.0,332.0,332.0,1900
2021-03-05,352.0,352.0,330.0,348.0,348.0,22600
2021-03-08,368.0,368.0,360.0,360.0,360.0,4300
2021-03-09,380.0,380.0,360.0,360.0,360.0,200
2021-03-10,360.0,360.0,336.0,344.0,344.0,3800
2021-03-12,364.0,364.0,344.0,348.0,348.0,5700
2021-03-15,368.0,368.0,358.0,358.0,358.0,2800
2021-03-16,378.0,378.0,334.0,342.0,342.0,3500
2021-03-17,362.0,362.0,342.0,342.0,342.0,700
2021-03-18,362.0,362.0,320.0,332.0,332.0,18600
2021-03-19,352.0,352.0,326.0,350.0,350.0,8000
2021-03-22,350.0,350.0,332.0,334.0,334.0,35400
2021-03-23,374.0,374.0,350.0,350.0,350.0,17900
2021-03-24,370.0,370.0,336.0,356.0,356.0,16300
2021-03-25,358.0,358.0,350.0,356.0,356.0,500
2021-03-26,376.0,376.0,356.0,356.0,356.0,200
2021-03-29,376.0,376.0,332.0,356.0,356.0,2500
