Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,1565.0,1595.0,1520.0,1565.0,1565.0,1370300
2021-12-02,1575.0,1680.0,1555.0,1570.0,1570.0,1176200
2021-12-03,1570.0,1625.0,1555.0,1575.0,1575.0,700800
2021-12-06,1580.0,1670.0,1565.0,1580.0,1580.0,4468600
2021-12-07,1580.0,1600.0,1510.0,1570.0,1570.0,3015200
2021-12-08,1565.0,1580.0,1490.0,1490.0,1490.0,2293900
2021-12-09,1490.0,1490.0,1390.0,1395.0,1395.0,2008800
2021-12-10,1400.0,1450.0,1395.0,1415.0,1415.0,1236900
2021-12-13,1415.0,1440.0,1340.0,1375.0,1375.0,212600
2021-12-14,1390.0,1390.0,1295.0,1310.0,1310.0,243800
2021-12-15,1310.0,1345.0,1220.0,1240.0,1240.0,3887800
2021-12-16,1225.0,1235.0,1155.0,1155.0,1155.0,1310100
2021-12-17,1175.0,1280.0,1075.0,1090.0,1090.0,3031300
2021-12-20,1085.0,1200.0,1020.0,1025.0,1025.0,3901200
2021-12-21,1025.0,1100.0,1015.0,1045.0,1045.0,4509500
2021-12-22,1045.0,1110.0,985.0,990.0,990.0,2040000
2021-12-23,995.0,1070.0,935.0,950.0,950.0,6330500
2021-12-24,950.0,985.0,890.0,900.0,900.0,1014400
2021-12-27,900.0,900.0,845.0,845.0,845.0,458900
2021-12-28,845.0,910.0,795.0,795.0,795.0,612300
2021-12-29,825.0,825.0,750.0,785.0,785.0,1609200
2021-12-30,790.0,800.0,755.0,800.0,800.0,244400
2022-01-03,805.0,1000.0,745.0,805.0,805.0,8919100
2022-01-04,820.0,935.0,800.0,900.0,900.0,3121900
2022-01-05,920.0,970.0,880.0,920.0,920.0,3167000
2022-01-06,925.0,970.0,890.0,960.0,960.0,19235600
2022-01-07,965.0,1100.0,895.0,895.0,895.0,3932300
