Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1045.0,1075.0,995.0,1060.0,1060.0,40588000
2021-01-05,1065.0,1140.0,1040.0,1095.0,1095.0,38963500
2021-01-06,1120.0,1125.0,1020.0,1050.0,1050.0,37303300
2021-01-07,1065.0,1115.0,1055.0,1090.0,1090.0,27783100
2021-01-08,1100.0,1140.0,1095.0,1105.0,1105.0,30366000
2021-01-11,1105.0,1165.0,1095.0,1135.0,1135.0,30934100
2021-01-12,1150.0,1185.0,1125.0,1170.0,1170.0,45917800
2021-01-13,1200.0,1230.0,1150.0,1175.0,1175.0,59444200
2021-01-14,1180.0,1285.0,1150.0,1195.0,1195.0,105611400
2021-01-15,1210.0,1235.0,1120.0,1140.0,1140.0,59939100
2021-01-18,1145.0,1220.0,1100.0,1155.0,1155.0,68565400
2021-01-19,1155.0,1180.0,1075.0,1075.0,1075.0,45715600
2021-01-20,1045.0,1090.0,1000.0,1075.0,1075.0,40083600
2021-01-21,1095.0,1110.0,1070.0,1080.0,1080.0,18134900
2021-01-22,1070.0,1085.0,1005.0,1005.0,1005.0,39562200
2021-01-25,995.0,995.0,935.0,935.0,935.0,30746300
2021-01-26,900.0,915.0,870.0,870.0,870.0,35717700
2021-01-27,870.0,915.0,810.0,900.0,900.0,76305600
2021-01-28,900.0,930.0,840.0,840.0,840.0,36466400
2021-01-29,880.0,890.0,785.0,805.0,805.0,28519300
2021-02-01,805.0,910.0,765.0,910.0,910.0,41996800
2021-02-02,915.0,935.0,850.0,860.0,860.0,30037100
2021-02-03,870.0,915.0,850.0,880.0,880.0,13665400
2021-02-04,885.0,945.0,875.0,900.0,900.0,36646200
2021-02-05,880.0,925.0,880.0,910.0,910.0,10508300
2021-02-08,915.0,995.0,915.0,965.0,965.0,26457500
2021-02-09,975.0,1000.0,910.0,925.0,925.0,27589400
2021-02-10,925.0,950.0,900.0,940.0,940.0,9506100
2021-02-11,940.0,970.0,925.0,940.0,940.0,6781300
2021-02-15,940.0,985.0,940.0,975.0,975.0,12096600
2021-02-16,985.0,1040.0,975.0,1025.0,1025.0,40150300
2021-02-17,1025.0,1030.0,955.0,955.0,955.0,37346600
2021-02-18,960.0,995.0,955.0,975.0,975.0,22315500
2021-02-19,965.0,970.0,935.0,955.0,955.0,12536100
2021-02-22,960.0,980.0,950.0,965.0,965.0,11485000
2021-02-23,970.0,980.0,950.0,970.0,970.0,5248100
2021-02-24,970.0,980.0,935.0,955.0,955.0,12868600
2021-02-25,960.0,970.0,955.0,960.0,960.0,7725900
2021-02-26,950.0,970.0,925.0,950.0,950.0,11717000
2021-03-01,960.0,1065.0,940.0,1040.0,1040.0,120652900
2021-03-02,1050.0,1080.0,1015.0,1015.0,1015.0,62984200
2021-03-03,1025.0,1030.0,995.0,995.0,995.0,16850500
2021-03-04,985.0,1005.0,930.0,940.0,940.0,30775800
2021-03-05,930.0,985.0,900.0,955.0,955.0,19658400
2021-03-08,960.0,985.0,940.0,945.0,945.0,7772500
2021-03-09,940.0,960.0,925.0,940.0,940.0,9888800
2021-03-10,940.0,955.0,925.0,935.0,935.0,5954400
2021-03-12,940.0,960.0,935.0,960.0,960.0,7084200
2021-03-15,965.0,990.0,960.0,965.0,965.0,11094200
2021-03-16,965.0,980.0,950.0,955.0,955.0,7935500
