Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,200.0,200.0,199.0,200.0,194.16058349609375,702100
2021-01-05,199.0,199.0,197.0,198.0,192.21897888183594,4084200
2021-01-06,197.0,199.0,195.0,198.0,192.21897888183594,1065200
2021-01-07,198.0,199.0,193.0,198.0,192.21897888183594,742500
2021-01-08,198.0,198.0,193.0,197.0,191.2481689453125,1170600
2021-01-11,197.0,198.0,196.0,198.0,192.21897888183594,970900
2021-01-12,197.0,200.0,196.0,199.0,193.1897735595703,3239000
2021-01-13,199.0,199.0,197.0,198.0,192.21897888183594,2668400
2021-01-14,198.0,199.0,195.0,199.0,193.1897735595703,1482800
2021-01-15,198.0,199.0,198.0,198.0,192.21897888183594,1153100
2021-01-18,198.0,198.0,196.0,198.0,192.21897888183594,327900
2021-01-19,196.0,202.0,196.0,198.0,192.21897888183594,207400
2021-01-20,197.0,198.0,197.0,198.0,192.21897888183594,880000
2021-01-21,198.0,198.0,196.0,198.0,192.21897888183594,1010200
2021-01-22,202.0,202.0,195.0,200.0,194.16058349609375,1667900
2021-01-25,200.0,208.0,197.0,200.0,194.16058349609375,1461100
2021-01-26,204.0,204.0,197.0,202.0,196.10218811035156,2041900
2021-01-27,202.0,206.0,196.0,202.0,196.10218811035156,2117100
2021-01-28,202.0,202.0,197.0,202.0,196.10218811035156,2396700
2021-01-29,200.0,200.0,197.0,200.0,194.16058349609375,1781200
2021-02-01,200.0,200.0,198.0,200.0,194.16058349609375,2112100
2021-02-02,199.0,199.0,197.0,198.0,192.21897888183594,3166900
2021-02-03,198.0,200.0,197.0,200.0,194.16058349609375,2496700
2021-02-04,200.0,202.0,197.0,202.0,196.10218811035156,1927900
2021-02-05,206.0,206.0,197.0,200.0,194.16058349609375,2275200
2021-02-08,198.0,204.0,196.0,202.0,196.10218811035156,2282300
2021-02-09,202.0,202.0,198.0,200.0,194.16058349609375,1154900
2021-02-10,198.0,200.0,198.0,200.0,194.16058349609375,808100
2021-02-11,198.0,210.0,198.0,206.0,199.9853973388672,2655900
2021-02-15,210.0,210.0,202.0,202.0,196.10218811035156,1322600
2021-02-16,206.0,206.0,200.0,202.0,196.10218811035156,729900
2021-02-17,202.0,206.0,199.0,206.0,199.9853973388672,701100
2021-02-18,204.0,210.0,202.0,206.0,199.9853973388672,622100
2021-02-19,206.0,210.0,202.0,208.0,201.927001953125,618800
2021-02-22,204.0,210.0,202.0,208.0,201.927001953125,860900
2021-02-23,210.0,212.0,206.0,206.0,199.9853973388672,1556500
2021-02-24,208.0,210.0,204.0,204.0,198.04379272460938,447700
2021-02-25,204.0,210.0,200.0,208.0,201.927001953125,679300
2021-02-26,204.0,208.0,202.0,206.0,199.9853973388672,481200
2021-03-01,206.0,210.0,202.0,206.0,199.9853973388672,1134200
2021-03-02,206.0,208.0,200.0,202.0,196.10218811035156,749600
2021-03-03,202.0,206.0,199.0,202.0,196.10218811035156,528600
2021-03-04,202.0,208.0,197.0,204.0,198.04379272460938,650700
2021-03-05,200.0,204.0,199.0,199.0,193.1897735595703,393900
2021-03-08,198.0,200.0,197.0,198.0,192.21897888183594,579200
2021-03-09,198.0,202.0,198.0,198.0,192.21897888183594,677800
2021-03-10,197.0,202.0,197.0,198.0,192.21897888183594,488400
2021-03-12,202.0,202.0,194.0,198.0,192.21897888183594,1011400
2021-03-15,200.0,202.0,200.0,202.0,196.10218811035156,527200
2021-03-16,202.0,206.0,199.0,199.0,193.1897735595703,616300
2021-03-17,199.0,206.0,198.0,198.0,192.21897888183594,598000
2021-03-18,197.0,202.0,196.0,199.0,193.1897735595703,554400
2021-03-19,197.0,200.0,197.0,197.0,191.2481689453125,717200
2021-03-22,198.0,200.0,197.0,197.0,191.2481689453125,824200
2021-03-23,197.0,200.0,197.0,200.0,194.16058349609375,820400
2021-03-24,200.0,200.0,197.0,198.0,192.21897888183594,572600
2021-03-25,199.0,200.0,198.0,199.0,193.1897735595703,535900
2021-03-26,200.0,204.0,198.0,200.0,194.16058349609375,510300
2021-03-29,198.0,200.0,197.0,199.0,193.1897735595703,520800
2021-03-30,200.0,206.0,198.0,200.0,194.16058349609375,541400
2021-03-31,199.0,200.0,198.0,198.0,192.21897888183594,617900
2021-04-01,198.0,200.0,198.0,199.0,193.1897735595703,623000
2021-04-05,200.0,200.0,198.0,199.0,193.1897735595703,508700
2021-04-06,198.0,200.0,198.0,198.0,192.21897888183594,483100
2021-04-07,198.0,202.0,197.0,200.0,194.16058349609375,521300
2021-04-08,200.0,200.0,198.0,199.0,193.1897735595703,499800
2021-04-09,200.0,200.0,198.0,199.0,193.1897735595703,463400
2021-04-12,198.0,198.0,197.0,198.0,192.21897888183594,554400
2021-04-13,197.0,197.0,196.0,196.0,190.27737426757812,13100
2021-04-14,199.0,200.0,197.0,197.0,191.2481689453125,594600
2021-04-15,199.0,200.0,197.0,200.0,194.16058349609375,570900
2021-04-16,200.0,200.0,196.0,198.0,192.21897888183594,642500
2021-04-19,197.0,200.0,197.0,197.0,191.2481689453125,634800
2021-04-20,199.0,200.0,198.0,199.0,193.1897735595703,629800
2021-04-21,200.0,200.0,199.0,199.0,193.1897735595703,414900
2021-04-22,200.0,200.0,200.0,200.0,194.16058349609375,590600
2021-04-23,198.0,200.0,198.0,200.0,194.16058349609375,690200
2021-04-26,199.0,204.0,199.0,204.0,198.04379272460938,414900
2021-04-27,204.0,206.0,202.0,206.0,199.9853973388672,314500
2021-04-28,206.0,210.0,202.0,208.0,201.927001953125,631900
2021-04-29,208.0,210.0,206.0,206.0,199.9853973388672,598700
2021-04-30,208.0,208.0,206.0,206.0,199.9853973388672,666200
2021-05-03,206.0,210.0,200.0,210.0,203.8686065673828,188800
2021-05-04,212.0,212.0,210.0,210.0,203.8686065673828,609500
2021-05-05,210.0,210.0,200.0,208.0,201.927001953125,742000
2021-05-06,208.0,210.0,200.0,208.0,201.927001953125,590200
2021-05-07,210.0,210.0,208.0,208.0,201.927001953125,1107100
2021-05-10,210.0,210.0,202.0,202.0,196.10218811035156,578900
2021-05-11,200.0,204.0,200.0,204.0,198.04379272460938,633600
