Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,264.0,272.0,250.0,268.0,268.0,44658000
2021-01-05,268.0,278.0,264.0,270.0,270.0,22583800
2021-01-06,270.0,276.0,254.0,256.0,256.0,46381200
2021-01-07,260.0,292.0,258.0,270.0,270.0,93839700
2021-01-08,270.0,280.0,266.0,266.0,266.0,41398200
2021-01-11,266.0,294.0,262.0,294.0,294.0,133390900
2021-01-12,296.0,306.0,280.0,282.0,282.0,90298200
2021-01-13,288.0,288.0,274.0,278.0,278.0,39334800
2021-01-14,278.0,280.0,270.0,272.0,272.0,28994000
2021-01-15,272.0,280.0,260.0,264.0,264.0,39959200
2021-01-18,262.0,278.0,258.0,258.0,258.0,49651000
2021-01-19,260.0,260.0,240.0,240.0,240.0,57411500
2021-01-20,240.0,256.0,230.0,252.0,252.0,29694700
2021-01-21,254.0,264.0,250.0,262.0,262.0,32673700
2021-01-22,262.0,266.0,244.0,244.0,244.0,40719500
2021-01-25,244.0,244.0,228.0,228.0,228.0,27781900
2021-01-26,222.0,228.0,214.0,214.0,214.0,34062900
2021-01-27,202.0,210.0,200.0,200.0,200.0,38977500
2021-01-28,200.0,206.0,186.0,186.0,186.0,28920200
2021-01-29,186.0,191.0,173.0,178.0,178.0,36289400
2021-02-01,170.0,198.0,169.0,197.0,197.0,48850300
2021-02-02,197.0,208.0,191.0,193.0,193.0,42426700
2021-02-03,185.0,206.0,185.0,195.0,195.0,25094400
2021-02-04,195.0,220.0,195.0,214.0,214.0,67093300
2021-02-05,218.0,218.0,206.0,212.0,212.0,24983400
2021-02-08,212.0,216.0,210.0,212.0,212.0,14199000
2021-02-09,214.0,236.0,206.0,212.0,212.0,66033000
2021-02-10,212.0,214.0,204.0,206.0,206.0,20338200
2021-02-11,206.0,214.0,202.0,206.0,206.0,31137500
2021-02-15,208.0,220.0,206.0,220.0,220.0,36602700
2021-02-16,224.0,230.0,220.0,220.0,220.0,32519700
2021-02-17,220.0,224.0,212.0,216.0,216.0,21356400
2021-02-18,216.0,220.0,208.0,210.0,210.0,11146500
2021-02-19,210.0,214.0,204.0,208.0,208.0,13871000
2021-02-22,208.0,218.0,206.0,208.0,208.0,16994300
2021-02-23,208.0,212.0,206.0,210.0,210.0,8535500
2021-02-24,210.0,214.0,204.0,210.0,210.0,11134000
2021-02-25,212.0,212.0,208.0,210.0,210.0,8803200
2021-02-26,210.0,210.0,202.0,206.0,206.0,10664300
2021-03-01,206.0,210.0,204.0,208.0,208.0,6596700
2021-03-02,208.0,210.0,206.0,206.0,206.0,7144800
2021-03-03,206.0,220.0,204.0,212.0,212.0,46531500
2021-03-04,216.0,218.0,202.0,206.0,206.0,21503500
2021-03-05,206.0,208.0,202.0,204.0,204.0,7351400
2021-03-08,206.0,212.0,204.0,206.0,206.0,17786300
2021-03-09,208.0,208.0,202.0,204.0,204.0,8341000
2021-03-10,204.0,206.0,200.0,200.0,200.0,10254000
2021-03-12,200.0,210.0,200.0,208.0,208.0,15094200
2021-03-15,208.0,232.0,206.0,222.0,222.0,138438100
2021-03-16,228.0,228.0,216.0,218.0,218.0,49125000
2021-03-17,216.0,220.0,212.0,216.0,216.0,15961600
