Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,104.0,107.0,104.0,105.0,105.0,1400
2021-01-05,108.0,108.0,99.0,103.0,103.0,40900
2021-01-06,107.0,107.0,99.0,105.0,105.0,29300
2021-01-07,105.0,105.0,95.0,102.0,102.0,1509600
2021-01-08,100.0,102.0,99.0,102.0,102.0,3400
2021-01-11,100.0,100.0,99.0,100.0,100.0,184600
2021-01-12,102.0,102.0,99.0,100.0,100.0,62000
2021-01-13,100.0,100.0,99.0,100.0,100.0,1017900
2021-01-14,95.0,100.0,95.0,97.0,97.0,17800
2021-01-15,98.0,98.0,97.0,98.0,98.0,8000
2021-01-18,99.0,103.0,98.0,101.0,101.0,90400
2021-01-19,102.0,102.0,95.0,95.0,95.0,9500
2021-01-20,103.0,103.0,86.0,101.0,101.0,12000
2021-01-21,101.0,102.0,97.0,101.0,101.0,1900
2021-01-22,110.0,110.0,97.0,105.0,105.0,106500
2021-01-25,114.0,114.0,95.0,102.0,102.0,7700
2021-01-26,111.0,111.0,97.0,101.0,101.0,6800
2021-01-27,95.0,100.0,91.0,100.0,100.0,13400
2021-01-28,109.0,109.0,90.0,99.0,99.0,13800
2021-01-29,99.0,99.0,90.0,98.0,98.0,8700
2021-02-01,106.0,106.0,90.0,98.0,98.0,13600
2021-02-02,106.0,106.0,90.0,100.0,100.0,13400
2021-02-03,109.0,109.0,94.0,94.0,94.0,49200
2021-02-04,102.0,102.0,85.0,86.0,86.0,163500
2021-02-05,93.0,93.0,86.0,90.0,90.0,37500
2021-02-08,98.0,99.0,81.0,92.0,92.0,40700
2021-02-09,100.0,100.0,83.0,84.0,84.0,97000
2021-02-10,91.0,91.0,77.0,85.0,85.0,34300
2021-02-11,92.0,92.0,81.0,85.0,85.0,16600
2021-02-15,92.0,92.0,82.0,88.0,88.0,10600
2021-02-16,95.0,95.0,83.0,86.0,86.0,17800
2021-02-17,93.0,93.0,81.0,84.0,84.0,64400
2021-02-18,84.0,84.0,80.0,83.0,83.0,16700
2021-02-19,84.0,89.0,83.0,88.0,88.0,36700
2021-02-22,95.0,95.0,85.0,88.0,88.0,111200
2021-02-23,95.0,96.0,90.0,91.0,91.0,95300
2021-02-24,91.0,96.0,86.0,93.0,93.0,42900
2021-02-25,102.0,102.0,89.0,99.0,99.0,259300
2021-02-26,107.0,107.0,93.0,96.0,96.0,17000
2021-03-01,104.0,105.0,96.0,99.0,99.0,12300
2021-03-02,100.0,108.0,90.0,96.0,96.0,323400
2021-03-03,96.0,105.0,93.0,100.0,100.0,148500
2021-03-04,109.0,109.0,90.0,91.0,91.0,75600
2021-03-05,99.0,100.0,86.0,99.0,99.0,568200
2021-03-08,107.0,108.0,93.0,100.0,100.0,403900
2021-03-09,109.0,109.0,97.0,100.0,100.0,604100
2021-03-10,109.0,109.0,94.0,100.0,100.0,400100
2021-03-12,109.0,110.0,90.0,99.0,99.0,1773400
2021-03-15,105.0,107.0,95.0,100.0,100.0,428300
2021-03-16,100.0,109.0,96.0,100.0,100.0,206100
2021-03-17,100.0,102.0,97.0,98.0,98.0,37300
2021-03-18,98.0,99.0,97.0,98.0,98.0,17600
2021-03-19,95.0,100.0,92.0,99.0,99.0,5100
2021-03-22,99.0,102.0,97.0,99.0,99.0,23200
2021-03-23,95.0,101.0,95.0,97.0,97.0,1200
2021-03-24,97.0,106.0,97.0,106.0,106.0,178900
2021-03-25,106.0,106.0,96.0,103.0,103.0,49800
2021-03-26,96.0,103.0,93.0,99.0,99.0,101200
2021-03-29,99.0,103.0,94.0,99.0,99.0,156700
2021-03-30,90.0,102.0,90.0,99.0,99.0,44200
2021-03-31,99.0,99.0,90.0,99.0,99.0,7100
2021-04-01,99.0,106.0,98.0,104.0,104.0,20400
2021-04-05,104.0,106.0,96.0,105.0,105.0,24200
2021-04-06,105.0,107.0,99.0,100.0,100.0,28600
2021-04-07,100.0,106.0,99.0,100.0,100.0,9500
2021-04-08,105.0,105.0,99.0,101.0,101.0,4600
2021-04-09,105.0,106.0,95.0,103.0,103.0,13900
2021-04-12,96.0,107.0,95.0,104.0,104.0,19100
2021-04-13,103.0,103.0,95.0,102.0,102.0,12100
2021-04-14,102.0,106.0,99.0,100.0,100.0,67100
2021-04-15,100.0,107.0,95.0,95.0,95.0,177700
2021-04-16,97.0,104.0,96.0,102.0,102.0,65200
2021-04-19,106.0,106.0,97.0,101.0,101.0,21100
2021-04-20,101.0,101.0,97.0,98.0,98.0,19900
2021-04-21,101.0,101.0,97.0,101.0,101.0,4700
2021-04-22,98.0,102.0,98.0,102.0,102.0,4100
2021-04-23,102.0,102.0,97.0,97.0,97.0,59400
2021-04-26,96.0,101.0,96.0,99.0,99.0,4900
2021-04-27,99.0,102.0,99.0,99.0,99.0,10100
2021-04-28,99.0,99.0,99.0,99.0,99.0,2300
2021-04-29,100.0,107.0,96.0,104.0,104.0,63800
2021-04-30,104.0,104.0,96.0,100.0,100.0,61500
2021-05-03,97.0,102.0,97.0,100.0,100.0,18400
2021-05-04,100.0,100.0,97.0,97.0,97.0,1200
2021-05-05,97.0,101.0,97.0,100.0,100.0,8600
2021-05-06,100.0,100.0,100.0,100.0,100.0,1800
2021-05-07,99.0,99.0,97.0,98.0,98.0,600
2021-05-10,98.0,98.0,96.0,98.0,98.0,1500
2021-05-11,98.0,100.0,96.0,96.0,96.0,4300
2021-05-17,96.0,105.0,94.0,95.0,95.0,185000
2021-05-18,95.0,97.0,93.0,93.0,93.0,60600
2021-05-19,93.0,97.0,93.0,97.0,97.0,7100
2021-05-20,95.0,97.0,95.0,97.0,97.0,2600
2021-05-21,97.0,97.0,97.0,97.0,97.0,700
2021-05-24,100.0,100.0,89.0,90.0,90.0,12500
2021-05-25,91.0,99.0,91.0,97.0,97.0,104400
2021-05-27,97.0,97.0,90.0,96.0,96.0,87700
2021-05-28,96.0,96.0,92.0,95.0,95.0,4600
2021-05-31,95.0,101.0,95.0,99.0,99.0,30900
