Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,208.0,212.0,194.0,212.0,212.0,1546100
2021-01-05,216.0,228.0,210.0,228.0,228.0,3448100
2021-01-06,230.0,232.0,222.0,226.0,226.0,5381400
2021-01-07,228.0,238.0,226.0,238.0,238.0,4911900
2021-01-08,240.0,252.0,238.0,252.0,252.0,5241200
2021-01-11,254.0,260.0,242.0,242.0,242.0,5558000
2021-01-12,242.0,242.0,230.0,230.0,230.0,5539200
2021-01-13,232.0,244.0,232.0,244.0,244.0,5100000
2021-01-14,244.0,256.0,244.0,256.0,256.0,5229300
2021-01-15,256.0,256.0,242.0,242.0,242.0,5057400
2021-01-18,244.0,252.0,242.0,246.0,246.0,5269200
2021-01-19,246.0,248.0,238.0,240.0,240.0,5320000
2021-01-20,242.0,248.0,238.0,248.0,248.0,5019400
2021-01-21,248.0,254.0,244.0,252.0,252.0,5168600
2021-01-22,252.0,252.0,246.0,252.0,252.0,5125300
2021-01-25,252.0,252.0,246.0,248.0,248.0,5040700
2021-01-26,248.0,262.0,246.0,262.0,262.0,6247500
2021-01-27,266.0,280.0,260.0,266.0,266.0,4452600
2021-01-28,264.0,292.0,264.0,276.0,276.0,7154500
2021-01-29,278.0,294.0,264.0,266.0,266.0,6517800
2021-02-01,266.0,284.0,260.0,284.0,284.0,5350900
2021-02-02,284.0,294.0,280.0,294.0,294.0,5226400
2021-02-03,294.0,302.0,292.0,296.0,296.0,4533700
2021-02-04,296.0,304.0,294.0,296.0,296.0,4151400
2021-02-05,296.0,300.0,294.0,296.0,296.0,4314500
2021-02-08,296.0,302.0,294.0,302.0,302.0,4129200
2021-02-09,302.0,306.0,296.0,298.0,298.0,3696800
2021-02-10,298.0,308.0,298.0,308.0,308.0,3460100
2021-02-11,308.0,314.0,306.0,310.0,310.0,3511600
2021-02-15,310.0,316.0,308.0,316.0,316.0,3257300
2021-02-16,316.0,316.0,312.0,314.0,314.0,3787000
2021-02-17,314.0,316.0,308.0,310.0,310.0,3547100
2021-02-18,312.0,312.0,298.0,300.0,300.0,3489300
2021-02-19,308.0,308.0,292.0,298.0,298.0,3234400
2021-02-22,298.0,306.0,298.0,304.0,304.0,3852200
2021-02-23,304.0,314.0,304.0,314.0,314.0,3472900
2021-02-24,314.0,314.0,302.0,304.0,304.0,3668400
2021-02-25,304.0,314.0,304.0,312.0,312.0,3608800
2021-02-26,304.0,306.0,296.0,296.0,296.0,3375200
2021-03-01,296.0,306.0,294.0,306.0,306.0,3306300
2021-03-02,308.0,314.0,308.0,312.0,312.0,3131500
2021-03-03,314.0,318.0,312.0,318.0,318.0,3557000
2021-03-04,314.0,314.0,304.0,308.0,308.0,2741400
2021-03-05,306.0,328.0,302.0,328.0,328.0,3727100
2021-03-08,332.0,340.0,330.0,334.0,334.0,3018400
2021-03-09,334.0,340.0,330.0,330.0,330.0,3248000
2021-03-10,330.0,330.0,326.0,330.0,330.0,2780600
2021-03-12,330.0,332.0,326.0,332.0,332.0,2750500
2021-03-15,332.0,334.0,324.0,326.0,326.0,3165300
2021-03-16,326.0,334.0,326.0,334.0,334.0,3345000
2021-03-17,334.0,334.0,324.0,324.0,324.0,3249300
2021-03-18,324.0,336.0,324.0,334.0,334.0,3358700
2021-03-19,334.0,338.0,328.0,338.0,338.0,3565300
2021-03-22,338.0,338.0,328.0,328.0,328.0,3380000
2021-03-23,328.0,336.0,328.0,332.0,332.0,3228100
2021-03-24,332.0,332.0,322.0,326.0,326.0,2947100
2021-03-25,326.0,334.0,316.0,318.0,318.0,3234200
2021-03-26,318.0,338.0,318.0,332.0,332.0,4096400
2021-03-29,334.0,354.0,334.0,354.0,354.0,4604400
2021-03-30,356.0,362.0,344.0,344.0,344.0,3917800
2021-03-31,344.0,344.0,338.0,342.0,342.0,2858400
2021-04-01,342.0,358.0,342.0,358.0,358.0,3990200
2021-04-05,358.0,358.0,348.0,356.0,356.0,3185000
2021-04-06,356.0,384.0,356.0,384.0,384.0,4873400
2021-04-07,384.0,396.0,376.0,396.0,396.0,3917300
2021-04-08,396.0,404.0,388.0,400.0,400.0,4031000
2021-04-09,400.0,406.0,390.0,392.0,392.0,3365500
2021-04-12,392.0,394.0,380.0,380.0,380.0,3178300
2021-04-13,378.0,382.0,374.0,374.0,374.0,3542500
2021-04-14,374.0,394.0,374.0,394.0,394.0,3445200
2021-04-15,394.0,408.0,386.0,408.0,408.0,4358900
2021-04-16,408.0,424.0,408.0,418.0,418.0,5688900
2021-04-19,418.0,428.0,412.0,412.0,412.0,3886300
2021-04-20,412.0,412.0,402.0,406.0,406.0,5079000
2021-04-21,404.0,428.0,400.0,428.0,428.0,5871400
2021-04-22,428.0,438.0,418.0,418.0,418.0,5037600
2021-04-23,416.0,432.0,414.0,426.0,426.0,4213700
2021-04-26,426.0,444.0,426.0,430.0,430.0,6390100
2021-04-27,430.0,446.0,430.0,444.0,444.0,4376300
2021-04-28,444.0,450.0,436.0,438.0,438.0,4127700
2021-04-29,438.0,454.0,436.0,454.0,454.0,4477200
2021-04-30,454.0,472.0,454.0,472.0,472.0,4666100
2021-05-03,472.0,486.0,468.0,486.0,486.0,6303900
2021-05-04,486.0,496.0,472.0,484.0,484.0,5707800
2021-05-05,484.0,505.0,470.0,496.0,496.0,7672100
2021-05-06,496.0,500.0,482.0,494.0,494.0,5448600
2021-05-07,494.0,500.0,462.0,500.0,500.0,7499900
2021-05-10,500.0,505.0,476.0,476.0,476.0,4027800
2021-05-11,476.0,476.0,448.0,476.0,476.0,4337900
2021-05-17,474.0,480.0,458.0,462.0,462.0,4185100
2021-05-18,462.0,462.0,442.0,454.0,454.0,5203500
2021-05-19,454.0,480.0,448.0,476.0,476.0,4818500
2021-05-20,476.0,484.0,460.0,474.0,474.0,4319800
2021-05-21,474.0,486.0,468.0,478.0,478.0,4453500
2021-05-24,478.0,525.0,478.0,525.0,525.0,7132100
2021-05-25,535.0,550.0,505.0,505.0,505.0,4522900
2021-05-27,505.0,545.0,505.0,530.0,530.0,4899800
2021-05-28,530.0,550.0,520.0,545.0,545.0,4688500
2021-05-31,545.0,550.0,525.0,535.0,535.0,4302400
2021-06-02,535.0,550.0,525.0,535.0,535.0,4761000
2021-06-03,535.0,575.0,535.0,570.0,570.0,4996700
2021-06-04,570.0,585.0,555.0,555.0,555.0,4176700
2021-06-07,555.0,570.0,520.0,535.0,535.0,4185000
2021-06-08,535.0,540.0,520.0,525.0,525.0,3257300
2021-06-09,525.0,545.0,505.0,545.0,545.0,5154700
2021-06-10,545.0,560.0,530.0,535.0,535.0,4024200
2021-06-11,535.0,555.0,530.0,550.0,550.0,4278000
2021-06-14,550.0,550.0,520.0,535.0,535.0,4743700
2021-06-15,535.0,535.0,515.0,525.0,525.0,4068800
2021-06-16,525.0,550.0,520.0,545.0,545.0,3869400
2021-06-17,540.0,560.0,530.0,545.0,545.0,4471200
2021-06-18,540.0,605.0,535.0,600.0,600.0,9121100
2021-06-21,750.0,750.0,600.0,610.0,610.0,7245900
2021-06-22,600.0,665.0,600.0,665.0,665.0,7158000
2021-06-23,815.0,815.0,645.0,645.0,645.0,8793600
2021-06-24,790.0,790.0,600.0,605.0,605.0,7006900
2021-06-25,605.0,615.0,575.0,610.0,610.0,4527600
2021-06-28,595.0,605.0,570.0,570.0,570.0,2181300
2021-06-29,570.0,570.0,535.0,535.0,535.0,277100
2021-06-30,510.0,545.0,498.0,498.0,498.0,3330900
2021-07-01,466.0,480.0,464.0,480.0,480.0,449100
2021-07-02,458.0,484.0,448.0,480.0,480.0,1131800
2021-07-05,464.0,500.0,448.0,500.0,500.0,95100
2021-07-06,550.0,550.0,466.0,478.0,478.0,173300
2021-07-07,488.0,488.0,446.0,480.0,480.0,379200
2021-07-08,484.0,490.0,480.0,486.0,486.0,135500
2021-07-09,486.0,492.0,480.0,492.0,492.0,484300
2021-07-12,492.0,510.0,492.0,505.0,505.0,774300
2021-07-13,505.0,530.0,505.0,515.0,515.0,629200
2021-07-14,515.0,520.0,496.0,500.0,500.0,841000
2021-07-15,500.0,520.0,500.0,510.0,510.0,688400
2021-07-16,510.0,540.0,510.0,535.0,535.0,1001000
2021-07-19,535.0,555.0,525.0,550.0,550.0,1178600
2021-07-21,550.0,570.0,530.0,550.0,550.0,1256500
2021-07-22,550.0,610.0,550.0,580.0,580.0,2676800
2021-07-23,580.0,600.0,555.0,555.0,555.0,1461300
2021-07-26,550.0,555.0,520.0,525.0,525.0,1062600
2021-07-27,525.0,530.0,510.0,520.0,520.0,541900
2021-07-28,515.0,540.0,510.0,525.0,525.0,725100
2021-07-29,525.0,545.0,525.0,535.0,535.0,732300
2021-07-30,535.0,550.0,530.0,530.0,530.0,899400
2021-08-02,530.0,550.0,525.0,530.0,530.0,693100
2021-08-03,535.0,545.0,530.0,535.0,535.0,896700
2021-08-04,535.0,540.0,525.0,525.0,525.0,445800
2021-08-05,520.0,545.0,520.0,545.0,545.0,681800
2021-08-06,545.0,555.0,530.0,530.0,530.0,756800
2021-08-09,530.0,535.0,515.0,515.0,515.0,599600
2021-08-10,515.0,525.0,505.0,510.0,510.0,500400
2021-08-12,505.0,505.0,498.0,505.0,505.0,550300
2021-08-13,500.0,500.0,494.0,496.0,496.0,467300
2021-08-16,496.0,496.0,492.0,494.0,494.0,299700
2021-08-18,492.0,498.0,490.0,498.0,498.0,742400
2021-08-19,492.0,492.0,490.0,490.0,490.0,67400
2021-08-20,492.0,492.0,488.0,490.0,490.0,179300
2021-08-23,488.0,490.0,486.0,490.0,490.0,46800
2021-08-24,490.0,490.0,486.0,490.0,490.0,207900
2021-08-25,490.0,492.0,488.0,492.0,492.0,582100
2021-08-26,492.0,492.0,486.0,488.0,488.0,461400
2021-08-27,488.0,488.0,460.0,476.0,476.0,676000
2021-08-30,476.0,476.0,462.0,472.0,472.0,308400
2021-08-31,476.0,476.0,476.0,476.0,476.0,300
2021-09-01,474.0,474.0,472.0,472.0,472.0,1400
2021-09-02,446.0,472.0,446.0,472.0,472.0,17800
2021-09-03,474.0,474.0,450.0,464.0,464.0,3400
2021-09-06,470.0,470.0,464.0,464.0,464.0,1900
2021-09-07,458.0,458.0,458.0,458.0,458.0,2300
2021-09-08,470.0,470.0,448.0,462.0,462.0,3400
2021-09-09,450.0,458.0,448.0,458.0,458.0,21700
2021-09-10,478.0,478.0,430.0,470.0,470.0,4900
2021-09-13,490.0,490.0,470.0,470.0,470.0,5300
2021-09-14,490.0,490.0,458.0,470.0,470.0,68100
2021-09-15,490.0,490.0,442.0,472.0,472.0,12000
2021-09-16,492.0,492.0,440.0,470.0,470.0,8800
2021-09-17,470.0,470.0,440.0,468.0,468.0,6100
2021-09-20,486.0,486.0,440.0,468.0,468.0,2400
2021-09-21,488.0,488.0,442.0,466.0,466.0,1700
2021-09-22,486.0,488.0,450.0,488.0,488.0,1200
2021-09-23,478.0,478.0,476.0,476.0,476.0,2100
2021-09-24,496.0,496.0,450.0,474.0,474.0,5000
2021-09-27,474.0,474.0,460.0,472.0,472.0,4100
2021-09-28,492.0,492.0,440.0,466.0,466.0,3600
2021-09-29,486.0,486.0,446.0,464.0,464.0,6700
2021-09-30,484.0,484.0,432.0,462.0,462.0,14600
2021-10-01,482.0,482.0,436.0,462.0,462.0,5300
2021-10-04,482.0,482.0,430.0,430.0,430.0,20400
2021-10-05,450.0,450.0,400.0,406.0,406.0,29800
2021-10-06,446.0,446.0,378.0,394.0,394.0,14600
2021-10-07,420.0,420.0,368.0,368.0,368.0,14200
