Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,190.0,199.0,190.0,190.0,190.0,350300
2021-01-05,190.0,194.0,177.0,177.0,177.0,290000
2021-01-06,177.0,188.0,165.0,165.0,165.0,1193900
2021-01-07,174.0,174.0,154.0,158.0,158.0,642100
2021-01-08,158.0,165.0,147.0,157.0,157.0,792000
2021-01-11,157.0,160.0,156.0,156.0,156.0,219400
2021-01-12,156.0,160.0,150.0,159.0,159.0,67900
2021-01-13,159.0,159.0,154.0,156.0,156.0,114200
2021-01-14,156.0,170.0,151.0,166.0,166.0,426300
2021-01-15,166.0,169.0,161.0,165.0,165.0,177900
2021-01-18,164.0,165.0,156.0,156.0,156.0,268300
2021-01-19,156.0,166.0,147.0,156.0,156.0,95000
2021-01-20,156.0,156.0,152.0,152.0,152.0,128700
2021-01-21,150.0,165.0,150.0,154.0,154.0,389900
2021-01-22,154.0,163.0,154.0,160.0,160.0,286000
2021-01-25,162.0,163.0,155.0,162.0,162.0,140900
2021-01-26,162.0,162.0,156.0,156.0,156.0,78000
2021-01-27,156.0,156.0,155.0,155.0,155.0,44000
2021-01-28,155.0,160.0,155.0,160.0,160.0,11000
2021-01-29,160.0,160.0,149.0,149.0,149.0,326100
2021-02-01,160.0,167.0,160.0,162.0,162.0,183000
2021-02-02,155.0,165.0,155.0,162.0,162.0,29700
2021-02-03,162.0,162.0,156.0,162.0,162.0,43900
2021-02-04,161.0,162.0,151.0,161.0,161.0,80100
2021-02-05,160.0,160.0,152.0,153.0,153.0,31000
2021-02-08,153.0,160.0,153.0,156.0,156.0,158000
2021-02-09,158.0,161.0,155.0,161.0,161.0,53400
2021-02-10,165.0,165.0,161.0,161.0,161.0,40600
2021-02-11,161.0,165.0,161.0,165.0,165.0,62100
2021-02-15,165.0,167.0,161.0,166.0,166.0,73500
2021-02-16,166.0,166.0,161.0,161.0,161.0,148100
2021-02-17,161.0,170.0,161.0,161.0,161.0,428100
2021-02-18,161.0,168.0,161.0,163.0,163.0,78800
2021-02-19,163.0,163.0,161.0,163.0,163.0,52900
2021-02-22,163.0,167.0,163.0,163.0,163.0,25000
2021-02-23,163.0,167.0,161.0,163.0,163.0,81100
2021-02-24,163.0,163.0,160.0,160.0,160.0,48300
2021-02-25,160.0,167.0,160.0,167.0,167.0,45500
2021-02-26,164.0,193.0,158.0,178.0,178.0,299400
