Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,560.0,570.0,550.0,570.0,570.0,32600
2021-01-05,560.0,570.0,550.0,565.0,565.0,26100
2021-01-06,540.0,560.0,530.0,560.0,560.0,42300
2021-01-07,535.0,560.0,535.0,555.0,555.0,27300
2021-01-08,560.0,560.0,530.0,555.0,555.0,14800
2021-01-11,530.0,530.0,530.0,530.0,530.0,17500
2021-01-12,530.0,530.0,530.0,530.0,530.0,500
2021-01-13,545.0,555.0,545.0,555.0,555.0,15000
2021-01-14,560.0,560.0,560.0,560.0,560.0,11000
2021-01-15,560.0,560.0,560.0,560.0,560.0,500
2021-01-18,560.0,560.0,530.0,560.0,560.0,17800
2021-01-19,560.0,560.0,525.0,555.0,555.0,15800
2021-01-20,520.0,550.0,520.0,550.0,550.0,15900
2021-01-21,550.0,555.0,550.0,555.0,555.0,15200
2021-01-22,555.0,555.0,555.0,555.0,555.0,0
2021-01-25,555.0,560.0,555.0,560.0,560.0,14300
2021-01-26,560.0,560.0,560.0,560.0,560.0,6200
2021-01-27,560.0,565.0,560.0,565.0,565.0,35000
2021-01-28,565.0,565.0,530.0,565.0,565.0,31500
2021-01-29,535.0,565.0,535.0,565.0,565.0,34900
2021-02-01,565.0,570.0,565.0,570.0,570.0,11600
2021-02-02,535.0,565.0,535.0,560.0,560.0,16000
2021-02-03,560.0,560.0,560.0,560.0,560.0,0
2021-02-04,535.0,535.0,535.0,535.0,535.0,2000
2021-02-05,545.0,545.0,545.0,545.0,545.0,300
2021-02-08,515.0,515.0,515.0,515.0,515.0,1700
2021-02-09,515.0,515.0,515.0,515.0,515.0,0
2021-02-11,570.0,570.0,570.0,570.0,570.0,5100
2021-02-15,570.0,570.0,570.0,570.0,570.0,3400
2021-02-16,580.0,580.0,580.0,580.0,580.0,1000
2021-02-17,570.0,580.0,540.0,570.0,570.0,11100
2021-02-18,570.0,570.0,535.0,560.0,560.0,22100
2021-02-19,535.0,540.0,535.0,540.0,540.0,12500
2021-02-22,540.0,540.0,510.0,540.0,540.0,17200
2021-02-23,520.0,520.0,520.0,520.0,520.0,5100
2021-02-24,555.0,555.0,555.0,555.0,555.0,100
2021-02-25,555.0,555.0,555.0,555.0,555.0,800
2021-02-26,520.0,520.0,520.0,520.0,520.0,11800
2021-03-01,520.0,520.0,520.0,520.0,520.0,100
2021-03-02,515.0,565.0,515.0,565.0,565.0,3200
2021-03-03,530.0,530.0,530.0,530.0,530.0,400
2021-03-04,530.0,530.0,498.0,520.0,520.0,4000
2021-03-05,520.0,520.0,520.0,520.0,520.0,0
2021-03-08,500.0,570.0,490.0,565.0,565.0,5700
2021-03-09,565.0,565.0,565.0,565.0,565.0,0
2021-03-12,565.0,565.0,530.0,530.0,530.0,200
2021-03-15,530.0,530.0,520.0,520.0,520.0,1900
2021-03-16,520.0,525.0,500.0,520.0,520.0,6000
2021-03-17,490.0,490.0,490.0,490.0,490.0,5000
2021-03-18,490.0,490.0,486.0,486.0,486.0,6200
2021-03-19,466.0,466.0,462.0,462.0,462.0,200
2021-03-22,452.0,452.0,432.0,432.0,432.0,200
2021-03-23,430.0,430.0,430.0,430.0,430.0,200
