Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4100.0,4100.0,4100.0,4100.0,4100.0,0
2021-01-13,4240.0,4250.0,4240.0,4250.0,4250.0,200
2021-01-14,4250.0,4250.0,4250.0,4250.0,4250.0,100
2021-01-15,4250.0,4250.0,4250.0,4250.0,4250.0,0
2021-03-23,4500.0,4500.0,4500.0,4500.0,4500.0,1500
2021-03-24,4850.0,4850.0,4850.0,4850.0,4850.0,2300
2021-03-25,4850.0,6025.0,4520.0,6000.0,6000.0,6300
2021-03-26,6000.0,7200.0,5625.0,5625.0,5625.0,2300
2021-03-29,5625.0,5625.0,5275.0,5300.0,5300.0,400
2021-03-30,4930.0,4930.0,4930.0,4930.0,4930.0,100
2021-03-31,4600.0,4930.0,4600.0,4930.0,4930.0,800
2021-04-01,4930.0,5100.0,4930.0,5100.0,5100.0,800
2021-04-05,5150.0,5150.0,5150.0,5150.0,5150.0,200
2021-04-06,5150.0,5150.0,5150.0,5150.0,5150.0,0
2021-04-07,5150.0,5350.0,5150.0,5350.0,5350.0,1100
2021-04-08,5500.0,5500.0,5500.0,5500.0,5500.0,400
2021-04-09,5600.0,5600.0,5600.0,5600.0,5600.0,400
2021-04-12,6000.0,6000.0,5600.0,6000.0,6000.0,2400
2021-04-13,7000.0,7000.0,6100.0,6100.0,6100.0,3100
2021-04-14,5850.0,6300.0,5850.0,6100.0,6100.0,251000
2021-04-15,6350.0,7300.0,6200.0,6900.0,6900.0,1500
2021-04-16,8225.0,8225.0,6500.0,6600.0,6600.0,2400
2021-04-19,6625.0,6625.0,6625.0,6625.0,6625.0,100
2021-04-20,6625.0,6625.0,6625.0,6625.0,6625.0,0
2021-04-21,6175.0,6275.0,6175.0,6200.0,6200.0,400
2021-04-22,6200.0,6200.0,6200.0,6200.0,6200.0,300
2021-04-23,5775.0,5775.0,5775.0,5775.0,5775.0,2000
2021-04-26,5775.0,5775.0,5775.0,5775.0,5775.0,0
2021-04-27,5775.0,5775.0,5775.0,5775.0,5775.0,1200
2021-05-03,5775.0,5775.0,5750.0,5750.0,5750.0,300
2021-05-04,5375.0,5375.0,5350.0,5350.0,5350.0,400
2021-05-05,5350.0,5600.0,5350.0,5600.0,5600.0,600
2021-05-06,6000.0,6000.0,6000.0,6000.0,6000.0,500
2021-05-07,6000.0,6000.0,6000.0,6000.0,6000.0,0
2021-05-10,6000.0,6000.0,6000.0,6000.0,6000.0,100
2021-05-18,6400.0,6400.0,6400.0,6400.0,6400.0,100
2021-05-19,6400.0,6400.0,6400.0,6400.0,6400.0,0
2021-05-21,6650.0,6650.0,6650.0,6650.0,6650.0,300
2021-05-24,6650.0,6650.0,6650.0,6650.0,6650.0,0
2021-05-25,6650.0,6650.0,6650.0,6650.0,6650.0,1200
2021-05-27,7000.0,7800.0,7000.0,7750.0,7750.0,3200
