Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,148.0,199.0,147.0,199.0,199.0,983590100
2021-12-02,234.0,234.0,186.0,186.0,186.0,538845900
2021-12-03,186.0,190.0,173.0,173.0,173.0,142727100
2021-12-06,173.0,184.0,166.0,169.0,169.0,106229700
2021-12-07,169.0,176.0,167.0,172.0,172.0,40334900
2021-12-08,163.0,181.0,163.0,171.0,171.0,94090300
2021-12-09,172.0,189.0,170.0,175.0,175.0,205025000
2021-12-10,172.0,181.0,172.0,174.0,174.0,62117200
2021-12-13,172.0,179.0,172.0,178.0,178.0,36441800
2021-12-14,175.0,184.0,175.0,178.0,178.0,43057700
2021-12-15,176.0,181.0,176.0,176.0,176.0,18721900
2021-12-16,174.0,194.0,174.0,180.0,180.0,275940600
2021-12-17,181.0,187.0,177.0,178.0,178.0,60524700
2021-12-20,177.0,183.0,172.0,174.0,174.0,38971600
2021-12-21,174.0,188.0,172.0,186.0,186.0,168155400
2021-12-22,187.0,188.0,178.0,179.0,179.0,67366200
2021-12-23,182.0,196.0,179.0,183.0,183.0,237591600
2021-12-24,184.0,189.0,178.0,181.0,181.0,58152200
2021-12-27,181.0,188.0,179.0,181.0,181.0,50734000
2021-12-28,182.0,189.0,179.0,181.0,181.0,63839400
2021-12-29,181.0,190.0,181.0,185.0,185.0,114935000
2021-12-30,185.0,192.0,182.0,183.0,183.0,86118000
2022-01-03,182.0,186.0,177.0,183.0,183.0,47775900
2022-01-04,184.0,186.0,180.0,180.0,180.0,23704900
2022-01-05,180.0,184.0,173.0,174.0,174.0,38244400
2022-01-06,173.0,175.0,167.0,170.0,170.0,41297900
2022-01-07,173.0,174.0,164.0,165.0,165.0,27107400
