Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,260.0,260.0,260.0,260.0,260.0,100
2021-01-05,244.0,260.0,244.0,260.0,260.0,400
2021-01-06,244.0,288.0,244.0,288.0,288.0,3900
2021-01-07,300.0,300.0,284.0,284.0,284.0,4400
2021-01-08,266.0,298.0,266.0,298.0,298.0,1400
2021-01-11,282.0,290.0,278.0,278.0,278.0,14200
2021-01-12,270.0,284.0,270.0,278.0,278.0,500
2021-01-13,278.0,278.0,260.0,260.0,260.0,11300
2021-01-14,254.0,260.0,252.0,252.0,252.0,3800
2021-01-15,248.0,248.0,248.0,248.0,248.0,2600
2021-01-18,270.0,282.0,270.0,282.0,282.0,400
2021-01-19,284.0,284.0,264.0,272.0,272.0,2300
2021-01-20,286.0,286.0,256.0,278.0,278.0,1600
2021-01-21,278.0,278.0,260.0,260.0,260.0,3000
2021-01-22,260.0,260.0,260.0,260.0,260.0,500
2021-01-25,260.0,284.0,252.0,252.0,252.0,12200
2021-01-26,252.0,252.0,240.0,252.0,252.0,7900
2021-01-27,252.0,252.0,252.0,252.0,252.0,200
2021-01-28,260.0,260.0,238.0,238.0,238.0,2200
2021-01-29,224.0,248.0,224.0,248.0,248.0,200
2021-02-01,248.0,278.0,240.0,242.0,242.0,2600
2021-02-02,242.0,242.0,242.0,242.0,242.0,100
2021-02-03,268.0,270.0,268.0,268.0,268.0,900
2021-02-04,268.0,268.0,252.0,266.0,266.0,2900
2021-02-05,248.0,266.0,248.0,266.0,266.0,1700
2021-02-08,264.0,264.0,248.0,248.0,248.0,4300
2021-02-09,248.0,248.0,242.0,242.0,242.0,5500
2021-02-10,262.0,268.0,242.0,250.0,250.0,12700
2021-02-11,266.0,312.0,240.0,312.0,312.0,183800
2021-02-15,310.0,390.0,292.0,292.0,292.0,155500
2021-02-16,292.0,298.0,272.0,272.0,272.0,34900
2021-02-17,272.0,314.0,256.0,266.0,266.0,104600
2021-02-18,268.0,296.0,268.0,292.0,292.0,6300
2021-02-19,292.0,300.0,272.0,276.0,276.0,34500
2021-02-22,276.0,290.0,270.0,270.0,270.0,3800
