Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,99.0,101.0,93.0,101.0,101.0,6941100
2021-01-05,101.0,112.0,94.0,94.0,94.0,74902900
2021-01-06,94.0,95.0,88.0,95.0,95.0,21618400
2021-01-07,94.0,108.0,94.0,102.0,102.0,44617700
2021-01-08,102.0,106.0,95.0,95.0,95.0,37099900
2021-01-11,92.0,92.0,89.0,89.0,89.0,2585700
2021-01-12,86.0,86.0,83.0,83.0,83.0,12180400
2021-01-13,83.0,83.0,79.0,81.0,81.0,2508300
2021-01-14,81.0,88.0,81.0,88.0,88.0,13516500
2021-01-15,89.0,91.0,86.0,89.0,89.0,12726000
2021-01-18,89.0,91.0,87.0,88.0,88.0,11328600
2021-01-19,88.0,88.0,85.0,86.0,86.0,4465200
2021-01-20,86.0,94.0,86.0,94.0,94.0,28505900
2021-01-21,95.0,99.0,91.0,97.0,97.0,28947500
2021-01-22,97.0,112.0,91.0,91.0,91.0,80663500
2021-01-25,91.0,91.0,85.0,85.0,85.0,558400
2021-01-26,80.0,80.0,80.0,80.0,80.0,290000
2021-01-27,79.0,79.0,76.0,77.0,77.0,10630800
2021-01-28,77.0,78.0,75.0,75.0,75.0,6310000
2021-01-29,75.0,80.0,75.0,76.0,76.0,7062900
2021-02-01,76.0,80.0,75.0,80.0,80.0,7153100
2021-02-02,80.0,83.0,79.0,81.0,81.0,8033600
2021-02-03,81.0,87.0,81.0,86.0,86.0,19570900
2021-02-04,87.0,93.0,82.0,93.0,93.0,25017300
2021-02-05,94.0,94.0,90.0,92.0,92.0,7057400
2021-02-08,92.0,93.0,91.0,92.0,92.0,3226800
2021-02-09,92.0,93.0,88.0,88.0,88.0,5301900
2021-02-10,88.0,88.0,86.0,87.0,87.0,808000
2021-02-11,87.0,90.0,86.0,87.0,87.0,3644600
2021-02-15,87.0,91.0,86.0,89.0,89.0,13824600
2021-02-16,89.0,91.0,88.0,89.0,89.0,4789200
2021-02-17,89.0,89.0,87.0,88.0,88.0,2804400
2021-02-18,88.0,88.0,87.0,87.0,87.0,1801700
2021-02-19,86.0,86.0,85.0,85.0,85.0,664800
2021-02-22,85.0,86.0,85.0,85.0,85.0,1943400
2021-02-23,85.0,85.0,84.0,85.0,85.0,550800
2021-02-24,85.0,85.0,84.0,84.0,84.0,560900
2021-02-25,85.0,92.0,84.0,91.0,91.0,16159100
2021-02-26,90.0,90.0,87.0,89.0,89.0,610800
2021-03-01,88.0,105.0,83.0,83.0,83.0,100607700
2021-03-02,82.0,83.0,78.0,79.0,79.0,24991600
2021-03-03,75.0,81.0,74.0,74.0,74.0,44937500
2021-03-04,74.0,75.0,69.0,69.0,69.0,37674000
2021-03-05,65.0,73.0,65.0,65.0,65.0,58490600
2021-03-08,66.0,69.0,62.0,67.0,67.0,13996400
2021-03-09,67.0,68.0,63.0,63.0,63.0,8345900
2021-03-10,63.0,64.0,61.0,64.0,64.0,2913200
2021-03-12,66.0,66.0,60.0,63.0,63.0,2515400
2021-03-15,64.0,65.0,60.0,63.0,63.0,9571400
2021-03-16,62.0,63.0,60.0,61.0,61.0,1898100
2021-03-17,61.0,62.0,59.0,61.0,61.0,1528200
2021-03-18,61.0,63.0,60.0,63.0,63.0,2956500
2021-03-19,63.0,63.0,60.0,62.0,62.0,5956900
2021-03-22,62.0,63.0,60.0,61.0,61.0,1769200
2021-03-23,61.0,62.0,59.0,60.0,60.0,2102000
2021-03-24,60.0,60.0,57.0,59.0,59.0,1430500
2021-03-25,59.0,66.0,56.0,59.0,59.0,48054600
2021-03-26,59.0,60.0,58.0,59.0,59.0,2140800
2021-03-29,59.0,60.0,58.0,59.0,59.0,1377300
2021-03-30,59.0,59.0,56.0,57.0,57.0,886100
2021-03-31,57.0,57.0,55.0,55.0,55.0,2045600
2021-04-01,55.0,59.0,55.0,58.0,58.0,1770500
2021-04-05,59.0,61.0,57.0,58.0,58.0,11100500
2021-04-06,58.0,59.0,57.0,58.0,58.0,699800
2021-04-07,58.0,66.0,55.0,60.0,60.0,28828200
2021-04-08,61.0,62.0,59.0,60.0,60.0,11789600
2021-04-09,60.0,62.0,59.0,61.0,61.0,5607500
2021-04-12,61.0,61.0,58.0,59.0,59.0,2961100
2021-04-13,59.0,60.0,58.0,58.0,58.0,893000
2021-04-14,58.0,63.0,57.0,59.0,59.0,8901000
2021-04-15,59.0,60.0,58.0,60.0,60.0,3911400
2021-04-16,60.0,60.0,58.0,59.0,59.0,1456300
2021-04-19,59.0,59.0,57.0,58.0,58.0,711300
2021-04-20,58.0,58.0,56.0,58.0,58.0,908700
2021-04-21,58.0,65.0,57.0,60.0,60.0,40642600
2021-04-22,60.0,62.0,58.0,59.0,59.0,15622400
2021-04-23,59.0,59.0,57.0,57.0,57.0,7961700
2021-04-26,58.0,59.0,57.0,57.0,57.0,587800
2021-04-27,56.0,58.0,56.0,56.0,56.0,923000
2021-04-28,56.0,58.0,54.0,57.0,57.0,1843300
2021-04-29,57.0,58.0,56.0,56.0,56.0,1243700
2021-04-30,57.0,61.0,54.0,56.0,56.0,61703600
2021-05-03,56.0,57.0,54.0,54.0,54.0,3181000
2021-05-04,54.0,54.0,52.0,53.0,53.0,1867400
2021-05-05,53.0,55.0,51.0,54.0,54.0,3116300
2021-05-06,54.0,55.0,53.0,54.0,54.0,3958400
2021-05-07,54.0,57.0,53.0,54.0,54.0,6735500
2021-05-10,54.0,55.0,52.0,52.0,52.0,2092000
2021-05-11,52.0,54.0,52.0,53.0,53.0,479900
2021-05-17,52.0,53.0,51.0,52.0,52.0,1070000
2021-05-18,52.0,53.0,51.0,52.0,52.0,921700
2021-05-19,52.0,52.0,51.0,51.0,51.0,1647800
2021-05-20,51.0,60.0,51.0,58.0,58.0,52042500
2021-05-21,62.0,70.0,58.0,64.0,64.0,171804600
2021-05-24,64.0,68.0,60.0,60.0,60.0,89375500
2021-05-25,60.0,60.0,56.0,56.0,56.0,3860600
2021-05-27,53.0,55.0,53.0,53.0,53.0,5153700
2021-05-28,50.0,58.0,50.0,58.0,58.0,63388300
2021-05-31,58.0,61.0,57.0,57.0,57.0,52428700
2021-06-02,57.0,57.0,54.0,54.0,54.0,28649800
2021-06-03,54.0,54.0,52.0,53.0,53.0,5443600
2021-06-04,53.0,53.0,51.0,52.0,52.0,4980800
2021-06-07,52.0,54.0,51.0,52.0,52.0,4250500
2021-06-08,51.0,53.0,51.0,52.0,52.0,5195600
2021-06-09,52.0,53.0,51.0,53.0,53.0,1802300
2021-06-10,53.0,54.0,52.0,53.0,53.0,6338300
2021-06-11,53.0,53.0,52.0,52.0,52.0,2198500
2021-06-14,53.0,53.0,52.0,53.0,53.0,2452900
2021-06-15,53.0,54.0,51.0,52.0,52.0,12697800
2021-06-16,52.0,53.0,52.0,52.0,52.0,1637300
2021-06-17,52.0,53.0,51.0,52.0,52.0,2190600
2021-06-18,52.0,52.0,50.0,51.0,51.0,8657000
2021-06-21,51.0,52.0,50.0,51.0,51.0,1321700
2021-06-22,51.0,52.0,50.0,50.0,50.0,792100
2021-06-23,50.0,56.0,50.0,53.0,53.0,11067000
2021-06-24,53.0,54.0,51.0,52.0,52.0,3002400
2021-06-25,52.0,53.0,51.0,52.0,52.0,1233800
2021-06-28,52.0,52.0,51.0,52.0,52.0,926800
2021-06-29,52.0,53.0,51.0,51.0,51.0,1550700
2021-06-30,51.0,52.0,50.0,52.0,52.0,2170700
2021-07-01,52.0,52.0,50.0,51.0,51.0,566800
2021-07-02,51.0,52.0,50.0,51.0,51.0,1829600
2021-07-05,51.0,52.0,50.0,51.0,51.0,144200
2021-07-06,51.0,51.0,50.0,51.0,51.0,445400
2021-07-07,51.0,52.0,50.0,52.0,52.0,1624900
2021-07-08,51.0,54.0,51.0,53.0,53.0,1422000
2021-07-09,54.0,66.0,52.0,53.0,53.0,21061100
2021-07-12,54.0,55.0,51.0,52.0,52.0,3334700
2021-07-13,52.0,52.0,51.0,51.0,51.0,1173200
2021-07-14,51.0,57.0,51.0,51.0,51.0,2621000
2021-07-15,51.0,53.0,51.0,51.0,51.0,517100
2021-07-16,52.0,53.0,51.0,52.0,52.0,2539700
2021-07-19,53.0,53.0,50.0,50.0,50.0,1159200
2021-07-21,51.0,53.0,51.0,51.0,51.0,1155200
2021-07-22,51.0,56.0,51.0,55.0,55.0,14917800
2021-07-23,56.0,60.0,53.0,54.0,54.0,30339000
2021-07-26,54.0,58.0,53.0,58.0,58.0,13552200
2021-07-27,58.0,59.0,57.0,57.0,57.0,6761800
2021-07-28,57.0,58.0,56.0,56.0,56.0,1575000
2021-07-29,56.0,64.0,56.0,63.0,63.0,40526100
2021-07-30,63.0,63.0,60.0,61.0,61.0,13414500
2021-08-02,61.0,64.0,60.0,63.0,63.0,8430000
2021-08-03,63.0,66.0,62.0,65.0,65.0,11296200
2021-08-04,65.0,70.0,63.0,69.0,69.0,19786900
2021-08-05,69.0,74.0,68.0,73.0,73.0,34371000
2021-08-06,73.0,81.0,68.0,68.0,68.0,97250700
2021-08-09,64.0,64.0,64.0,64.0,64.0,811100
2021-08-10,60.0,60.0,60.0,60.0,60.0,822000
2021-08-12,56.0,59.0,56.0,58.0,58.0,17968600
2021-08-13,58.0,58.0,56.0,56.0,56.0,5700000
2021-08-16,56.0,56.0,55.0,56.0,56.0,4464000
2021-08-18,56.0,68.0,54.0,64.0,64.0,77801800
2021-08-19,65.0,65.0,60.0,60.0,60.0,8082800
2021-08-20,56.0,64.0,56.0,61.0,61.0,43068300
2021-08-23,62.0,73.0,59.0,72.0,72.0,64223900
2021-08-24,73.0,84.0,67.0,73.0,73.0,139628800
2021-08-25,73.0,81.0,72.0,74.0,74.0,53752900
2021-08-26,74.0,83.0,69.0,69.0,69.0,212201600
2021-08-27,65.0,67.0,65.0,65.0,65.0,3070100
2021-08-30,61.0,62.0,61.0,61.0,61.0,56930500
2021-08-31,57.0,62.0,57.0,58.0,58.0,99752500
2021-09-01,59.0,63.0,56.0,58.0,58.0,47923700
2021-09-02,59.0,60.0,56.0,59.0,59.0,15653600
2021-09-03,59.0,60.0,56.0,56.0,56.0,11458700
2021-09-06,57.0,58.0,55.0,56.0,56.0,6293600
2021-09-07,56.0,57.0,56.0,57.0,57.0,4343300
2021-09-08,58.0,58.0,54.0,54.0,54.0,15202500
2021-09-09,55.0,57.0,51.0,53.0,53.0,19707200
2021-09-10,53.0,54.0,50.0,51.0,51.0,25855000
2021-09-13,51.0,56.0,51.0,53.0,53.0,19944000
2021-09-14,53.0,54.0,52.0,52.0,52.0,4158700
2021-09-15,52.0,53.0,51.0,52.0,52.0,8473200
2021-09-16,52.0,54.0,52.0,53.0,53.0,8385100
2021-09-17,54.0,54.0,52.0,53.0,53.0,3545000
2021-09-20,53.0,53.0,51.0,52.0,52.0,9422800
2021-09-21,52.0,53.0,51.0,52.0,52.0,5459800
2021-09-22,53.0,58.0,52.0,58.0,58.0,50300900
2021-09-23,59.0,61.0,54.0,59.0,59.0,36651100
2021-09-24,62.0,62.0,58.0,61.0,61.0,31526500
2021-09-27,63.0,63.0,58.0,60.0,60.0,17064700
2021-09-28,61.0,65.0,57.0,63.0,63.0,87494700
2021-09-29,63.0,64.0,59.0,59.0,59.0,19651500
2021-09-30,59.0,63.0,57.0,58.0,58.0,18097300
2021-10-01,58.0,62.0,57.0,57.0,57.0,15547100
2021-10-04,57.0,62.0,57.0,60.0,60.0,7924600
2021-10-05,61.0,62.0,58.0,59.0,59.0,6969600
2021-10-06,59.0,60.0,56.0,58.0,58.0,6363200
2021-10-07,58.0,58.0,56.0,56.0,56.0,2518300
2021-10-08,57.0,57.0,55.0,57.0,57.0,1544500
2021-10-11,57.0,58.0,56.0,57.0,57.0,3299800
2021-10-12,57.0,60.0,56.0,57.0,57.0,4574200
2021-10-13,57.0,59.0,55.0,55.0,55.0,2918400
2021-10-14,55.0,56.0,53.0,55.0,55.0,3834300
2021-10-15,55.0,66.0,54.0,61.0,61.0,77586400
2021-10-18,61.0,61.0,57.0,57.0,57.0,8388700
2021-10-19,54.0,57.0,54.0,56.0,56.0,21268400
2021-10-21,56.0,58.0,55.0,56.0,56.0,3124100
2021-10-22,56.0,57.0,55.0,56.0,56.0,2795200
2021-10-25,56.0,56.0,54.0,55.0,55.0,3098400
2021-10-26,55.0,59.0,54.0,56.0,56.0,11404700
2021-10-27,56.0,57.0,55.0,55.0,55.0,1500600
2021-10-28,55.0,58.0,55.0,58.0,58.0,3777900
2021-10-29,58.0,59.0,55.0,58.0,58.0,8123200
2021-11-01,58.0,59.0,56.0,56.0,56.0,2715600
2021-11-02,57.0,58.0,56.0,58.0,58.0,4022700
2021-11-03,60.0,71.0,58.0,60.0,60.0,147336600
2021-11-04,75.0,75.0,60.0,61.0,61.0,24432500
2021-11-05,62.0,63.0,60.0,60.0,60.0,13669100
2021-11-08,60.0,61.0,59.0,60.0,60.0,6444300
2021-11-09,60.0,61.0,58.0,60.0,60.0,6688000
2021-11-10,60.0,60.0,59.0,59.0,59.0,3154800
2021-11-11,59.0,60.0,58.0,60.0,60.0,3370500
2021-11-12,60.0,60.0,58.0,59.0,59.0,3875700
2021-11-15,59.0,65.0,59.0,62.0,62.0,30088000
2021-11-16,62.0,69.0,60.0,64.0,64.0,55577300
2021-11-17,64.0,65.0,62.0,62.0,62.0,10413300
2021-11-18,62.0,65.0,62.0,63.0,63.0,7699700
2021-11-19,63.0,64.0,62.0,63.0,63.0,5687600
2021-11-22,66.0,66.0,63.0,63.0,63.0,9767800
2021-11-23,64.0,69.0,63.0,64.0,64.0,32737900
2021-11-24,65.0,65.0,62.0,63.0,63.0,6179000
2021-11-25,63.0,67.0,61.0,62.0,62.0,23309800
2021-11-26,62.0,64.0,60.0,62.0,62.0,14442500
2021-11-29,62.0,63.0,60.0,62.0,62.0,3921400
2021-11-30,63.0,63.0,60.0,61.0,61.0,3664300
2021-12-01,61.0,62.0,58.0,58.0,58.0,9032300
2021-12-02,58.0,60.0,58.0,59.0,59.0,2748600
2021-12-03,59.0,59.0,57.0,59.0,59.0,2834100
2021-12-06,60.0,60.0,57.0,57.0,57.0,1589300
2021-12-07,57.0,61.0,57.0,60.0,60.0,5205300
2021-12-08,60.0,62.0,58.0,61.0,61.0,5548800
2021-12-09,60.0,64.0,58.0,60.0,60.0,4438900
2021-12-10,60.0,61.0,59.0,59.0,59.0,2434700
2021-12-13,60.0,60.0,58.0,59.0,59.0,2318600
2021-12-14,59.0,60.0,58.0,59.0,59.0,2409500
2021-12-15,59.0,60.0,58.0,59.0,59.0,5050200
2021-12-16,59.0,66.0,58.0,59.0,59.0,107611100
2021-12-17,60.0,65.0,59.0,64.0,64.0,31396200
2021-12-20,65.0,72.0,60.0,65.0,65.0,196577500
2021-12-21,66.0,83.0,64.0,70.0,70.0,174325200
