Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,970.0,1075.0,895.0,895.0,879.601806640625,43661900
2021-12-02,895.0,955.0,845.0,925.0,909.0856323242188,23719700
2021-12-03,930.0,945.0,885.0,905.0,889.4297485351562,7148200
2021-12-06,910.0,935.0,885.0,890.0,874.6878051757812,6006900
2021-12-07,890.0,1015.0,890.0,1005.0,987.7092895507812,23384200
2021-12-08,1005.0,1005.0,1005.0,1005.0,987.7092895507812,0
2021-12-09,995.0,1030.0,935.0,1010.0,992.6232299804688,22916900
2021-12-10,1015.0,1125.0,1015.0,1055.0,1036.8489990234375,21381300
2021-12-13,1055.0,1285.0,1020.0,1215.0,1194.0963134765625,34142300
2021-12-14,1230.0,1515.0,1220.0,1515.0,1488.9349365234375,45644100
2021-12-15,1515.0,1515.0,1515.0,1515.0,1488.9349365234375,0
2021-12-24,1410.0,1555.0,1410.0,1410.0,1385.7413330078125,21346100
2021-12-27,1405.0,1450.0,1320.0,1375.0,1351.343505859375,15150200
2021-12-28,1375.0,1425.0,1350.0,1380.0,1356.257568359375,6924500
2021-12-29,1380.0,1465.0,1325.0,1390.0,1366.08544921875,15029700
2021-12-30,1385.0,1420.0,1370.0,1370.0,1346.4295654296875,4097200
2022-01-03,1370.0,1465.0,1275.0,1430.0,1405.397216796875,24222400
2022-01-04,1430.0,1445.0,1355.0,1365.0,1341.515625,6761100
2022-01-05,1375.0,1385.0,1285.0,1285.0,1262.8919677734375,5733200
2022-01-06,1285.0,1370.0,1215.0,1270.0,1248.1500244140625,7266600
2022-01-07,1265.0,1270.0,1210.0,1230.0,1230.0,4519500
