Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,428.0,472.0,424.0,462.0,462.0,3861300
2021-01-05,472.0,472.0,450.0,450.0,450.0,1707000
2021-01-06,448.0,452.0,420.0,420.0,420.0,2595800
2021-01-07,424.0,430.0,392.0,392.0,392.0,7362000
2021-01-08,392.0,392.0,366.0,366.0,366.0,3329500
2021-01-11,366.0,366.0,342.0,342.0,342.0,3506400
2021-01-12,342.0,376.0,320.0,332.0,332.0,8130700
2021-01-13,334.0,342.0,326.0,326.0,326.0,2181500
2021-01-14,334.0,334.0,318.0,320.0,320.0,1762600
2021-01-15,320.0,320.0,300.0,316.0,316.0,1300200
2021-01-18,316.0,316.0,294.0,294.0,294.0,2381500
2021-01-19,294.0,300.0,274.0,288.0,288.0,2483500
2021-01-20,288.0,328.0,274.0,306.0,306.0,2790700
2021-01-21,316.0,328.0,308.0,312.0,312.0,1028800
2021-01-22,312.0,312.0,292.0,292.0,292.0,456400
2021-01-25,292.0,292.0,272.0,280.0,280.0,573800
2021-01-26,270.0,272.0,262.0,262.0,262.0,709800
2021-01-27,250.0,250.0,244.0,244.0,244.0,952900
2021-01-28,228.0,244.0,228.0,240.0,240.0,1187500
2021-01-29,240.0,240.0,224.0,224.0,224.0,328900
2021-02-01,224.0,232.0,210.0,232.0,232.0,544400
2021-02-02,232.0,240.0,232.0,232.0,232.0,452900
2021-02-03,232.0,248.0,232.0,246.0,246.0,109100
2021-02-04,240.0,246.0,232.0,232.0,232.0,112000
2021-02-05,232.0,246.0,226.0,246.0,246.0,177500
2021-02-08,232.0,268.0,230.0,250.0,250.0,151900
2021-02-09,258.0,268.0,240.0,240.0,240.0,678900
2021-02-10,230.0,242.0,230.0,242.0,242.0,74600
2021-02-11,242.0,246.0,242.0,244.0,244.0,263500
2021-02-15,244.0,260.0,240.0,260.0,260.0,261700
2021-02-16,260.0,292.0,260.0,292.0,292.0,396000
2021-02-17,292.0,318.0,280.0,300.0,300.0,408300
2021-02-18,302.0,322.0,302.0,306.0,306.0,1031700
2021-02-19,306.0,314.0,290.0,310.0,310.0,348000
2021-02-22,310.0,316.0,300.0,316.0,316.0,467500
2021-02-23,316.0,318.0,302.0,314.0,314.0,461900
2021-02-24,318.0,326.0,310.0,310.0,310.0,964100
2021-02-25,310.0,320.0,306.0,310.0,310.0,667900
2021-02-26,310.0,332.0,308.0,318.0,318.0,1629000
2021-03-01,318.0,318.0,310.0,318.0,318.0,51400
2021-03-02,310.0,314.0,310.0,310.0,310.0,61800
2021-03-03,310.0,372.0,304.0,352.0,352.0,9687300
2021-03-04,352.0,366.0,328.0,328.0,328.0,3405100
2021-03-05,328.0,328.0,306.0,308.0,308.0,760200
2021-03-08,360.0,384.0,360.0,384.0,384.0,3415500
2021-03-09,412.0,442.0,358.0,374.0,374.0,10744600
2021-03-10,376.0,390.0,376.0,388.0,388.0,922400
2021-03-12,394.0,396.0,380.0,386.0,386.0,829000
2021-03-15,386.0,394.0,378.0,380.0,380.0,567000
2021-03-16,380.0,382.0,360.0,360.0,360.0,538400
2021-03-17,360.0,360.0,340.0,360.0,360.0,591200
2021-03-18,362.0,362.0,342.0,342.0,342.0,522300
2021-03-19,342.0,400.0,342.0,382.0,382.0,2366600
2021-03-22,392.0,398.0,372.0,382.0,382.0,1361900
2021-03-23,382.0,382.0,370.0,370.0,370.0,913200
2021-03-24,368.0,392.0,360.0,378.0,378.0,1307100
2021-03-25,382.0,384.0,356.0,380.0,380.0,935400
2021-03-26,380.0,380.0,366.0,368.0,368.0,193700
2021-03-29,368.0,396.0,368.0,370.0,370.0,718500
2021-03-30,370.0,374.0,356.0,372.0,372.0,326200
2021-03-31,360.0,370.0,350.0,352.0,352.0,318200
2021-04-01,352.0,370.0,352.0,358.0,358.0,91900
2021-04-05,358.0,372.0,358.0,366.0,366.0,134900
2021-04-06,366.0,366.0,354.0,356.0,356.0,52800
2021-04-07,356.0,372.0,356.0,366.0,366.0,195700
2021-04-08,368.0,380.0,360.0,368.0,368.0,413600
2021-04-09,362.0,370.0,352.0,358.0,358.0,283100
2021-04-12,358.0,380.0,358.0,380.0,380.0,787500
2021-04-13,380.0,400.0,380.0,396.0,396.0,1875400
2021-04-14,402.0,418.0,390.0,400.0,400.0,2421200
2021-04-15,410.0,420.0,402.0,412.0,412.0,1047200
2021-04-16,412.0,426.0,402.0,418.0,418.0,998500
2021-04-19,428.0,430.0,414.0,424.0,424.0,944400
2021-04-20,424.0,428.0,406.0,418.0,418.0,928300
2021-04-21,418.0,418.0,398.0,402.0,402.0,517100
2021-04-22,402.0,410.0,392.0,392.0,392.0,505700
2021-04-23,392.0,400.0,380.0,380.0,380.0,499100
2021-04-26,380.0,380.0,368.0,370.0,370.0,286900
2021-04-27,368.0,394.0,368.0,376.0,376.0,385200
2021-04-28,370.0,388.0,354.0,372.0,372.0,316100
2021-04-29,370.0,380.0,370.0,374.0,374.0,231200
2021-04-30,372.0,378.0,362.0,374.0,374.0,454800
2021-05-03,380.0,380.0,366.0,368.0,368.0,71700
2021-05-04,376.0,376.0,358.0,370.0,370.0,65000
2021-05-05,370.0,370.0,362.0,364.0,364.0,243300
2021-05-06,364.0,364.0,356.0,360.0,360.0,595000
2021-05-07,360.0,360.0,354.0,360.0,360.0,510700
2021-05-10,356.0,368.0,348.0,354.0,354.0,484200
2021-05-11,354.0,362.0,350.0,354.0,354.0,183900
2021-05-17,352.0,360.0,350.0,356.0,356.0,83000
2021-05-18,356.0,362.0,340.0,340.0,340.0,206100
2021-05-19,340.0,366.0,340.0,348.0,348.0,52200
2021-05-20,348.0,368.0,344.0,350.0,350.0,190700
2021-05-21,358.0,358.0,346.0,358.0,358.0,146800
2021-05-24,362.0,362.0,344.0,344.0,344.0,92900
2021-05-25,348.0,348.0,340.0,342.0,342.0,33200
2021-05-27,340.0,346.0,332.0,340.0,340.0,263000
2021-05-28,340.0,346.0,330.0,330.0,330.0,222600
2021-05-31,330.0,350.0,328.0,330.0,330.0,143300
2021-06-02,350.0,354.0,330.0,340.0,340.0,104100
2021-06-03,350.0,350.0,330.0,330.0,330.0,77700
2021-06-04,330.0,346.0,328.0,334.0,334.0,202300
2021-06-07,332.0,340.0,324.0,328.0,328.0,616600
2021-06-08,328.0,352.0,328.0,340.0,340.0,393200
2021-06-09,338.0,398.0,336.0,398.0,398.0,3140100
2021-06-10,398.0,418.0,390.0,392.0,392.0,1086200
2021-06-11,390.0,400.0,374.0,390.0,390.0,728600
2021-06-14,390.0,408.0,380.0,388.0,388.0,625500
2021-06-15,370.0,390.0,370.0,378.0,378.0,184500
2021-06-16,376.0,388.0,364.0,368.0,368.0,582600
2021-06-17,368.0,378.0,364.0,368.0,368.0,208100
2021-06-18,372.0,374.0,350.0,368.0,368.0,568400
2021-06-21,362.0,362.0,344.0,354.0,354.0,402600
2021-06-22,346.0,358.0,340.0,344.0,344.0,386000
2021-06-23,342.0,346.0,320.0,336.0,336.0,671400
2021-06-24,338.0,338.0,320.0,320.0,320.0,463000
2021-06-25,340.0,354.0,332.0,346.0,346.0,1125200
2021-06-28,352.0,380.0,336.0,344.0,344.0,2455500
2021-06-29,346.0,350.0,326.0,330.0,330.0,349000
2021-06-30,346.0,346.0,328.0,330.0,330.0,586600
2021-07-01,330.0,330.0,324.0,330.0,330.0,311400
2021-07-02,334.0,334.0,318.0,318.0,318.0,312300
2021-07-05,318.0,342.0,300.0,316.0,316.0,842500
2021-07-06,316.0,328.0,306.0,316.0,316.0,416100
2021-07-07,312.0,326.0,308.0,324.0,324.0,141200
2021-07-08,328.0,350.0,312.0,334.0,334.0,497800
2021-07-09,334.0,350.0,324.0,342.0,342.0,177200
2021-07-12,344.0,378.0,340.0,350.0,350.0,2134100
2021-07-13,352.0,362.0,348.0,350.0,350.0,420500
2021-07-14,350.0,360.0,340.0,348.0,348.0,219000
2021-07-15,348.0,350.0,340.0,346.0,346.0,516700
2021-07-16,346.0,354.0,338.0,346.0,346.0,228400
2021-07-19,342.0,350.0,338.0,342.0,342.0,199600
2021-07-21,342.0,348.0,330.0,330.0,330.0,228300
2021-07-22,340.0,358.0,336.0,346.0,346.0,166500
2021-07-23,350.0,356.0,344.0,348.0,348.0,666700
2021-07-26,350.0,368.0,350.0,352.0,352.0,421200
