Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,362.0,374.0,358.0,360.0,360.0,361100
2021-12-02,360.0,384.0,336.0,384.0,384.0,1041700
2021-12-03,384.0,384.0,364.0,366.0,366.0,390300
2021-12-06,366.0,370.0,350.0,364.0,364.0,386000
2021-12-07,366.0,366.0,354.0,358.0,358.0,384700
2021-12-08,360.0,378.0,358.0,378.0,378.0,14635100
2021-12-09,380.0,388.0,378.0,380.0,380.0,2930200
2021-12-10,380.0,390.0,378.0,380.0,380.0,1616000
2021-12-13,380.0,384.0,378.0,382.0,382.0,4877800
2021-12-14,386.0,402.0,382.0,402.0,402.0,6906800
2021-12-15,416.0,416.0,382.0,384.0,384.0,46450300
2021-12-16,390.0,392.0,366.0,372.0,372.0,3861400
2021-12-17,372.0,388.0,370.0,378.0,378.0,1216000
2021-12-20,382.0,382.0,352.0,360.0,360.0,1606900
2021-12-21,360.0,400.0,356.0,372.0,372.0,29490900
2021-12-22,372.0,380.0,358.0,358.0,358.0,3739800
2021-12-23,360.0,368.0,358.0,360.0,360.0,1131900
2021-12-24,360.0,364.0,358.0,360.0,360.0,1557900
2021-12-27,364.0,392.0,360.0,384.0,384.0,8242700
2021-12-28,384.0,410.0,384.0,410.0,410.0,15621600
2021-12-29,414.0,414.0,396.0,400.0,400.0,4936600
2021-12-30,400.0,404.0,386.0,388.0,388.0,4545800
2022-01-03,388.0,396.0,372.0,396.0,396.0,2836000
2022-01-04,396.0,400.0,384.0,388.0,388.0,1969100
2022-01-05,386.0,400.0,382.0,388.0,388.0,5455300
2022-01-06,390.0,392.0,376.0,378.0,378.0,7078100
2022-01-07,374.0,380.0,372.0,376.0,376.0,2587900
