Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,152.0,156.0,151.0,152.0,152.0,9593800
2021-12-02,152.0,156.0,148.0,148.0,148.0,8337700
2021-12-03,148.0,155.0,144.0,150.0,150.0,23805900
2021-12-06,151.0,171.0,150.0,156.0,156.0,153128800
2021-12-07,156.0,162.0,153.0,156.0,156.0,47430800
2021-12-08,157.0,164.0,155.0,159.0,159.0,61448100
2021-12-09,160.0,165.0,157.0,160.0,160.0,45496000
2021-12-10,159.0,164.0,159.0,160.0,160.0,22889100
2021-12-13,156.0,163.0,156.0,159.0,159.0,10094400
2021-12-14,151.0,162.0,151.0,158.0,158.0,10203600
2021-12-15,157.0,161.0,154.0,156.0,156.0,8219700
2021-12-16,152.0,168.0,152.0,160.0,160.0,70513400
2021-12-17,162.0,165.0,157.0,157.0,157.0,36801400
2021-12-20,157.0,163.0,156.0,157.0,157.0,13773300
2021-12-21,158.0,165.0,157.0,164.0,164.0,43252600
2021-12-22,164.0,172.0,164.0,165.0,165.0,74311000
2021-12-23,166.0,168.0,161.0,162.0,162.0,21227700
2021-12-24,161.0,176.0,160.0,163.0,163.0,107524700
2021-12-27,163.0,165.0,160.0,162.0,162.0,16326700
2021-12-28,162.0,193.0,160.0,170.0,170.0,152696400
2021-12-29,170.0,173.0,164.0,165.0,165.0,46407200
2021-12-30,163.0,172.0,163.0,163.0,163.0,65146800
2022-01-03,157.0,220.0,157.0,220.0,220.0,385326300
2022-01-04,220.0,258.0,206.0,236.0,236.0,534794400
2022-01-05,254.0,260.0,220.0,220.0,220.0,220067800
2022-01-06,218.0,232.0,214.0,220.0,220.0,63430000
2022-01-07,218.0,232.0,206.0,206.0,206.0,146573400
