Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,410.0,424.0,388.0,390.0,390.0,19000
2021-12-02,410.0,428.0,390.0,412.0,412.0,16800
2021-12-03,412.0,426.0,412.0,414.0,414.0,17000
2021-12-06,426.0,428.0,414.0,414.0,414.0,11200
2021-12-07,414.0,426.0,414.0,426.0,426.0,18300
2021-12-08,426.0,426.0,420.0,420.0,420.0,5600
2021-12-09,422.0,428.0,410.0,422.0,422.0,10100
2021-12-10,426.0,426.0,426.0,426.0,426.0,13500
2021-12-13,420.0,420.0,414.0,420.0,420.0,16400
2021-12-14,420.0,424.0,414.0,416.0,416.0,8900
2021-12-15,424.0,430.0,404.0,404.0,404.0,34900
2021-12-16,422.0,436.0,386.0,416.0,416.0,16000
2021-12-17,416.0,424.0,416.0,424.0,424.0,1300
2021-12-20,424.0,424.0,424.0,424.0,424.0,600
2021-12-21,424.0,424.0,424.0,424.0,424.0,500
2021-12-22,420.0,424.0,420.0,424.0,424.0,300
2021-12-23,424.0,424.0,424.0,424.0,424.0,2000
2021-12-24,424.0,424.0,422.0,422.0,422.0,3000
2021-12-27,422.0,426.0,422.0,422.0,422.0,14300
2021-12-28,422.0,422.0,422.0,422.0,422.0,0
2021-12-29,418.0,418.0,416.0,416.0,416.0,1200
2021-12-30,416.0,416.0,400.0,416.0,416.0,900
2022-01-03,416.0,442.0,416.0,420.0,420.0,13300
2022-01-04,420.0,440.0,420.0,422.0,422.0,17500
2022-01-05,420.0,420.0,420.0,420.0,420.0,1900
2022-01-06,418.0,418.0,412.0,412.0,412.0,2500
2022-01-07,418.0,426.0,400.0,400.0,400.0,17300
