Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,111.0,111.0,109.0,109.0,109.0,10300
2021-12-02,111.0,111.0,107.0,109.0,109.0,196200
2021-12-03,109.0,111.0,106.0,109.0,109.0,29500
2021-12-06,108.0,114.0,108.0,111.0,111.0,446700
2021-12-07,111.0,114.0,109.0,113.0,113.0,232600
2021-12-08,111.0,114.0,111.0,113.0,113.0,122400
2021-12-09,113.0,114.0,107.0,109.0,109.0,167100
2021-12-10,109.0,113.0,109.0,110.0,110.0,736000
2021-12-13,111.0,112.0,109.0,110.0,110.0,235300
2021-12-14,111.0,112.0,110.0,110.0,110.0,304100
2021-12-15,110.0,112.0,104.0,105.0,105.0,462200
2021-12-16,106.0,108.0,104.0,106.0,106.0,161500
2021-12-17,107.0,110.0,106.0,109.0,109.0,371800
2021-12-20,109.0,109.0,108.0,108.0,108.0,25100
2021-12-21,108.0,112.0,104.0,108.0,108.0,153300
2021-12-22,110.0,111.0,108.0,109.0,109.0,97500
2021-12-23,110.0,110.0,107.0,109.0,109.0,208400
2021-12-24,108.0,109.0,107.0,109.0,109.0,24300
2021-12-27,109.0,112.0,108.0,110.0,110.0,123200
2021-12-28,110.0,111.0,109.0,111.0,111.0,339400
2021-12-29,111.0,112.0,110.0,111.0,111.0,1059100
2021-12-30,110.0,112.0,109.0,109.0,109.0,230600
2022-01-03,112.0,112.0,109.0,110.0,110.0,75500
2022-01-04,110.0,112.0,110.0,111.0,111.0,1798400
2022-01-05,111.0,117.0,109.0,117.0,117.0,3195200
2022-01-06,115.0,119.0,112.0,113.0,113.0,737900
2022-01-07,115.0,117.0,110.0,113.0,113.0,441600
