Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,795.0,800.0,780.0,790.0,790.0,302200
2021-12-02,790.0,790.0,755.0,755.0,755.0,555900
2021-12-03,755.0,900.0,750.0,820.0,820.0,1241300
2021-12-06,820.0,820.0,780.0,790.0,790.0,399900
2021-12-07,790.0,815.0,790.0,800.0,800.0,377900
2021-12-08,800.0,815.0,780.0,790.0,790.0,378100
2021-12-09,790.0,805.0,775.0,780.0,780.0,369800
2021-12-10,830.0,830.0,780.0,815.0,815.0,340000
2021-12-13,815.0,825.0,790.0,810.0,810.0,322900
2021-12-14,810.0,810.0,790.0,795.0,795.0,436200
2021-12-15,795.0,800.0,780.0,785.0,785.0,475800
2021-12-16,835.0,835.0,735.0,760.0,760.0,1631600
2021-12-17,810.0,810.0,710.0,710.0,710.0,1045700
2021-12-20,760.0,760.0,665.0,665.0,665.0,1156200
2021-12-21,660.0,660.0,620.0,620.0,620.0,437600
2021-12-22,620.0,750.0,585.0,595.0,595.0,1516100
2021-12-23,620.0,620.0,565.0,600.0,600.0,596700
2021-12-24,600.0,600.0,575.0,580.0,580.0,339400
2021-12-27,630.0,650.0,580.0,590.0,590.0,321400
2021-12-28,640.0,640.0,565.0,600.0,600.0,214700
2021-12-29,650.0,650.0,570.0,580.0,580.0,265700
2021-12-30,630.0,630.0,560.0,580.0,580.0,239900
2022-01-03,605.0,605.0,565.0,580.0,580.0,273200
2022-01-04,580.0,585.0,565.0,580.0,580.0,90000
2022-01-05,580.0,580.0,540.0,540.0,540.0,395900
2022-01-06,575.0,575.0,540.0,570.0,570.0,178700
2022-01-07,620.0,620.0,560.0,565.0,565.0,133800
