Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,400.0,400.0,366.0,368.0,368.0,13677700
2021-12-02,366.0,402.0,358.0,394.0,394.0,14854600
2021-12-03,396.0,414.0,388.0,410.0,410.0,10327100
2021-12-06,410.0,414.0,382.0,412.0,412.0,9329000
2021-12-07,412.0,416.0,404.0,404.0,404.0,3872900
2021-12-08,406.0,416.0,386.0,386.0,386.0,10083800
2021-12-09,386.0,404.0,386.0,392.0,392.0,8038900
2021-12-10,394.0,396.0,384.0,388.0,388.0,8475900
2021-12-13,388.0,392.0,376.0,386.0,386.0,8149200
2021-12-14,386.0,408.0,382.0,392.0,392.0,6182200
2021-12-15,400.0,400.0,388.0,392.0,392.0,7803300
2021-12-16,392.0,404.0,390.0,400.0,400.0,14239300
2021-12-17,404.0,412.0,396.0,396.0,396.0,7750100
2021-12-20,396.0,420.0,396.0,418.0,418.0,10314500
2021-12-21,418.0,422.0,416.0,418.0,418.0,4858100
2021-12-22,418.0,452.0,416.0,448.0,448.0,16865200
2021-12-23,448.0,456.0,438.0,446.0,446.0,8144700
2021-12-24,446.0,452.0,418.0,430.0,430.0,8544400
2021-12-27,430.0,432.0,410.0,430.0,430.0,3121900
2021-12-28,430.0,434.0,420.0,430.0,430.0,7557400
2021-12-29,432.0,448.0,426.0,444.0,444.0,6957100
2021-12-30,446.0,470.0,444.0,450.0,450.0,7099500
2022-01-03,450.0,468.0,450.0,460.0,460.0,4833700
2022-01-04,460.0,468.0,458.0,462.0,462.0,6975700
2022-01-05,466.0,490.0,466.0,488.0,488.0,15801500
2022-01-06,482.0,492.0,466.0,482.0,482.0,10014100
2022-01-07,482.0,486.0,472.0,480.0,480.0,4687500
