Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,67.0,67.0,67.0,67.0,67.0,300
2021-01-05,67.0,71.0,67.0,68.0,68.0,55600
2021-01-06,68.0,68.0,68.0,68.0,68.0,0
2021-01-07,68.0,68.0,68.0,68.0,68.0,1100
2021-01-08,69.0,69.0,69.0,69.0,69.0,1400
2021-01-11,68.0,69.0,68.0,69.0,69.0,17100
2021-01-12,65.0,69.0,65.0,69.0,69.0,14800
2021-01-13,66.0,69.0,66.0,69.0,69.0,162000
2021-01-14,66.0,71.0,65.0,71.0,71.0,2600
2021-01-15,71.0,71.0,71.0,71.0,71.0,35000
2021-01-18,68.0,68.0,67.0,68.0,68.0,1100
2021-01-19,67.0,67.0,67.0,67.0,67.0,6400
2021-01-20,67.0,69.0,67.0,69.0,69.0,30800
2021-01-21,68.0,78.0,68.0,72.0,72.0,38300
2021-01-22,75.0,75.0,67.0,67.0,67.0,6700
2021-01-25,67.0,67.0,67.0,67.0,67.0,22000
2021-01-26,67.0,67.0,67.0,67.0,67.0,0
2021-01-27,63.0,67.0,63.0,65.0,65.0,36600
2021-01-28,65.0,72.0,65.0,72.0,72.0,120600
2021-01-29,72.0,72.0,67.0,67.0,67.0,73400
2021-02-01,72.0,72.0,63.0,68.0,68.0,18200
2021-02-02,64.0,70.0,64.0,69.0,69.0,7600
2021-02-03,69.0,69.0,65.0,69.0,69.0,24900
2021-02-04,69.0,69.0,68.0,68.0,68.0,4100
2021-02-08,68.0,68.0,66.0,67.0,67.0,64300
2021-02-09,67.0,69.0,64.0,69.0,69.0,17500
2021-02-10,66.0,71.0,65.0,66.0,66.0,39600
2021-02-11,64.0,68.0,62.0,68.0,68.0,4100
2021-02-15,67.0,74.0,67.0,70.0,70.0,113300
2021-02-16,67.0,74.0,67.0,69.0,69.0,1400
2021-02-17,69.0,69.0,69.0,69.0,69.0,1500
2021-02-18,66.0,83.0,66.0,79.0,79.0,78200
2021-02-19,79.0,80.0,77.0,78.0,78.0,53600
2021-02-22,78.0,84.0,73.0,73.0,73.0,154700
2021-02-23,77.0,77.0,71.0,71.0,71.0,32400
2021-02-24,71.0,71.0,68.0,68.0,68.0,89200
2021-02-25,69.0,73.0,69.0,72.0,72.0,10700
2021-02-26,72.0,72.0,72.0,72.0,72.0,0
2021-03-01,72.0,72.0,67.0,68.0,68.0,26800
2021-03-02,72.0,72.0,68.0,68.0,68.0,12300
2021-03-03,68.0,71.0,68.0,70.0,70.0,49400
2021-03-04,72.0,72.0,69.0,69.0,69.0,4400
2021-03-05,69.0,79.0,69.0,72.0,72.0,27700
2021-03-08,72.0,88.0,68.0,88.0,88.0,113700
2021-03-09,97.0,97.0,82.0,82.0,82.0,579700
2021-03-10,78.0,78.0,77.0,77.0,77.0,7800
2021-03-12,72.0,72.0,72.0,72.0,72.0,16900
2021-03-15,67.0,75.0,67.0,72.0,72.0,276500
2021-03-16,72.0,72.0,69.0,72.0,72.0,19700
2021-03-17,72.0,82.0,70.0,78.0,78.0,104600
2021-03-18,78.0,78.0,73.0,76.0,76.0,79700
2021-03-19,76.0,85.0,71.0,85.0,85.0,92800
2021-03-22,85.0,92.0,80.0,84.0,84.0,579000
2021-03-23,80.0,88.0,79.0,86.0,86.0,82900
2021-03-24,85.0,85.0,81.0,81.0,81.0,4400
2021-03-25,85.0,100.0,76.0,77.0,77.0,509900
2021-03-26,74.0,80.0,74.0,79.0,79.0,7100
2021-03-29,79.0,79.0,75.0,77.0,77.0,29800
2021-03-30,75.0,82.0,75.0,78.0,78.0,13600
2021-03-31,81.0,81.0,79.0,79.0,79.0,16200
2021-04-01,75.0,79.0,74.0,79.0,79.0,16300
2021-04-05,79.0,79.0,75.0,75.0,75.0,39100
2021-04-06,78.0,78.0,74.0,74.0,74.0,40700
2021-04-07,74.0,77.0,74.0,75.0,75.0,2600
2021-04-08,79.0,79.0,70.0,73.0,73.0,76100
2021-04-09,73.0,75.0,73.0,75.0,75.0,4600
2021-04-12,75.0,76.0,75.0,76.0,76.0,9600
2021-04-13,77.0,77.0,76.0,76.0,76.0,6800
2021-04-14,76.0,79.0,72.0,79.0,79.0,31800
2021-04-15,80.0,80.0,76.0,76.0,76.0,17000
2021-04-16,79.0,79.0,73.0,79.0,79.0,5700
2021-04-19,74.0,79.0,74.0,79.0,79.0,4800
2021-04-20,79.0,79.0,76.0,76.0,76.0,7100
2021-04-21,80.0,80.0,78.0,79.0,79.0,42600
2021-04-22,79.0,79.0,79.0,79.0,79.0,6700
2021-04-23,82.0,82.0,76.0,76.0,76.0,39200
2021-04-26,76.0,76.0,76.0,76.0,76.0,200
2021-04-27,76.0,76.0,76.0,76.0,76.0,100
2021-04-28,76.0,94.0,71.0,81.0,81.0,98800
