Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,446.0,446.0,446.0,446.0,446.0,0
2021-01-05,446.0,446.0,436.0,436.0,436.0,900
2021-01-06,436.0,438.0,436.0,436.0,436.0,14300
2021-01-07,436.0,488.0,422.0,480.0,480.0,6800
2021-01-08,450.0,480.0,448.0,476.0,476.0,14600
2021-01-11,476.0,476.0,476.0,476.0,476.0,0
2021-01-12,450.0,450.0,444.0,444.0,444.0,5200
2021-01-13,444.0,460.0,444.0,460.0,460.0,4200
2021-01-14,440.0,446.0,428.0,440.0,440.0,8200
2021-01-15,428.0,450.0,410.0,450.0,450.0,10000
2021-01-18,450.0,450.0,420.0,440.0,440.0,17100
2021-01-19,420.0,436.0,420.0,430.0,430.0,1300
2021-01-20,420.0,428.0,412.0,428.0,428.0,3200
2021-01-21,420.0,422.0,400.0,420.0,420.0,434600
2021-01-22,418.0,418.0,418.0,418.0,418.0,300
2021-01-25,400.0,420.0,390.0,420.0,420.0,490500
2021-01-26,420.0,448.0,420.0,448.0,448.0,1400
2021-01-27,448.0,448.0,420.0,420.0,420.0,2700
2021-01-28,418.0,420.0,410.0,420.0,420.0,1000
2021-01-29,440.0,440.0,440.0,440.0,440.0,100
2021-02-01,420.0,428.0,410.0,428.0,428.0,1600
2021-02-02,428.0,428.0,428.0,428.0,428.0,0
2021-02-03,416.0,448.0,416.0,448.0,448.0,2400
2021-02-04,448.0,448.0,448.0,448.0,448.0,100
2021-02-05,448.0,448.0,448.0,448.0,448.0,0
2021-02-08,440.0,440.0,440.0,440.0,440.0,2600
2021-02-09,450.0,450.0,446.0,446.0,446.0,300
2021-02-11,440.0,446.0,440.0,446.0,446.0,10100
2021-02-15,446.0,446.0,446.0,446.0,446.0,50100
2021-02-16,460.0,460.0,460.0,460.0,460.0,100
2021-02-17,460.0,460.0,460.0,460.0,460.0,0
2021-02-18,480.0,480.0,448.0,448.0,448.0,400
2021-02-22,436.0,436.0,436.0,436.0,436.0,100
2021-02-23,420.0,420.0,420.0,420.0,420.0,1800
2021-02-24,420.0,450.0,400.0,450.0,450.0,600
2021-02-25,450.0,450.0,450.0,450.0,450.0,0
2021-03-02,452.0,452.0,420.0,442.0,442.0,800
2021-03-03,450.0,450.0,450.0,450.0,450.0,100
2021-03-30,428.0,428.0,424.0,424.0,424.0,200
2021-03-31,420.0,420.0,420.0,420.0,420.0,3000
2021-04-01,410.0,420.0,410.0,420.0,420.0,300
2021-04-05,450.0,450.0,404.0,450.0,450.0,1400
2021-04-06,448.0,448.0,420.0,420.0,420.0,800
2021-04-07,420.0,420.0,396.0,400.0,400.0,2000
2021-04-08,400.0,444.0,400.0,444.0,444.0,500
2021-04-09,430.0,440.0,414.0,440.0,440.0,2300
2021-04-12,410.0,410.0,410.0,410.0,410.0,100
2021-04-13,422.0,422.0,398.0,398.0,398.0,200
2021-04-14,398.0,448.0,398.0,448.0,448.0,1400
2021-04-15,428.0,448.0,428.0,442.0,442.0,400
2021-04-16,440.0,440.0,412.0,412.0,412.0,1200
2021-04-19,412.0,438.0,400.0,438.0,438.0,1000
2021-04-21,416.0,440.0,416.0,440.0,440.0,300
2021-04-23,410.0,444.0,410.0,444.0,444.0,400
2021-04-26,444.0,444.0,414.0,414.0,414.0,600
2021-04-27,416.0,416.0,414.0,414.0,414.0,1600
2021-04-28,414.0,434.0,414.0,434.0,434.0,9600
2021-04-29,434.0,434.0,434.0,434.0,434.0,0
2021-05-04,406.0,430.0,406.0,430.0,430.0,1000
2021-05-05,430.0,430.0,430.0,430.0,430.0,0
2021-05-06,402.0,402.0,402.0,402.0,402.0,100
2021-05-07,428.0,428.0,428.0,428.0,428.0,100
2021-05-10,418.0,430.0,418.0,430.0,430.0,300
2021-05-11,430.0,430.0,430.0,430.0,430.0,100
2021-05-17,428.0,428.0,420.0,420.0,420.0,200
2021-05-18,410.0,420.0,410.0,420.0,420.0,200
2021-05-19,406.0,428.0,406.0,428.0,428.0,200
2021-05-24,406.0,406.0,406.0,406.0,406.0,2000
2021-05-25,408.0,420.0,408.0,420.0,420.0,300
2021-05-27,430.0,430.0,410.0,430.0,430.0,400
2021-06-03,430.0,444.0,430.0,444.0,444.0,5900
2021-06-04,432.0,440.0,432.0,440.0,440.0,700
2021-06-08,440.0,440.0,440.0,440.0,440.0,5600
2021-06-09,440.0,440.0,440.0,440.0,440.0,0
2021-06-17,440.0,440.0,440.0,440.0,440.0,2500
2021-06-24,430.0,430.0,430.0,430.0,430.0,400
2021-06-28,440.0,440.0,440.0,440.0,440.0,300
2021-07-13,438.0,438.0,438.0,438.0,438.0,100
2021-07-14,436.0,436.0,410.0,430.0,430.0,400
2021-07-16,438.0,438.0,436.0,436.0,436.0,200
2021-07-19,434.0,434.0,408.0,428.0,428.0,49600
2021-07-26,438.0,438.0,438.0,438.0,438.0,7500
2021-07-27,440.0,440.0,438.0,438.0,438.0,7500
2021-07-28,438.0,438.0,422.0,422.0,422.0,300
2021-07-29,420.0,428.0,412.0,412.0,412.0,95700
2021-07-30,412.0,440.0,412.0,440.0,440.0,2300
2021-08-09,438.0,438.0,438.0,438.0,438.0,0
2021-08-16,438.0,438.0,438.0,438.0,438.0,200
2021-08-25,438.0,540.0,410.0,412.0,412.0,172200
2021-08-26,414.0,438.0,414.0,414.0,414.0,25800
2021-08-27,410.0,440.0,410.0,440.0,440.0,1100
2021-08-30,440.0,440.0,418.0,418.0,418.0,300
2021-08-31,418.0,418.0,418.0,418.0,418.0,100
2021-09-01,440.0,440.0,422.0,422.0,422.0,300
2021-09-02,422.0,422.0,422.0,422.0,422.0,0
2021-09-03,440.0,440.0,420.0,438.0,438.0,900
2021-09-06,438.0,438.0,438.0,438.0,438.0,1000
2021-09-08,438.0,440.0,410.0,412.0,412.0,4200
2021-09-09,412.0,438.0,406.0,436.0,436.0,44400
2021-09-10,420.0,440.0,418.0,418.0,418.0,12100
2021-09-14,440.0,440.0,414.0,414.0,414.0,300
2021-09-15,432.0,436.0,416.0,416.0,416.0,64300
2021-09-16,418.0,438.0,418.0,438.0,438.0,200
2021-09-17,418.0,432.0,414.0,432.0,432.0,22200
2021-09-20,432.0,432.0,432.0,432.0,432.0,0
2021-09-21,418.0,418.0,410.0,410.0,410.0,200
2021-09-22,410.0,410.0,406.0,406.0,406.0,4100
2021-09-23,406.0,416.0,406.0,416.0,416.0,300
2021-09-24,434.0,434.0,416.0,434.0,434.0,2400
2021-09-27,404.0,424.0,404.0,424.0,424.0,13200
2021-09-28,424.0,424.0,408.0,422.0,422.0,300
2021-09-30,412.0,422.0,412.0,422.0,422.0,200
2021-10-01,422.0,422.0,422.0,422.0,422.0,300
2021-10-05,438.0,438.0,416.0,436.0,436.0,13100
2021-10-06,436.0,436.0,412.0,432.0,432.0,10400
2021-10-07,412.0,412.0,412.0,412.0,412.0,1500
2021-10-08,412.0,430.0,412.0,430.0,430.0,400
2021-10-12,436.0,436.0,430.0,430.0,430.0,400
2021-10-15,412.0,412.0,412.0,412.0,412.0,300
2021-10-18,440.0,440.0,430.0,430.0,430.0,12400
2021-10-21,430.0,430.0,430.0,430.0,430.0,10000
2021-10-29,428.0,450.0,428.0,450.0,450.0,15900
2021-11-01,440.0,440.0,422.0,438.0,438.0,6300
2021-11-02,424.0,436.0,422.0,422.0,422.0,9400
2021-11-03,402.0,430.0,402.0,430.0,430.0,14500
2021-11-04,430.0,535.0,406.0,420.0,420.0,53600
2021-11-05,420.0,420.0,398.0,420.0,420.0,21700
2021-11-08,408.0,408.0,392.0,402.0,402.0,13600
2021-11-09,404.0,438.0,402.0,418.0,418.0,18400
2021-11-10,408.0,420.0,402.0,416.0,416.0,14700
2021-11-11,416.0,418.0,392.0,414.0,414.0,26500
2021-11-12,400.0,414.0,386.0,412.0,412.0,3900
2021-11-15,412.0,418.0,404.0,414.0,414.0,4600
2021-11-16,402.0,414.0,400.0,414.0,414.0,113800
2021-11-17,414.0,414.0,410.0,414.0,414.0,1200
2021-11-18,400.0,404.0,398.0,404.0,404.0,1200
2021-11-19,406.0,406.0,406.0,406.0,406.0,200
2021-11-22,406.0,406.0,404.0,404.0,404.0,200
2021-11-23,416.0,416.0,414.0,416.0,416.0,3100
2021-11-24,406.0,418.0,402.0,418.0,418.0,5000
