Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,156.0,159.0,154.0,154.0,154.0,9836000
2021-12-02,154.0,163.0,154.0,161.0,161.0,11555400
2021-12-03,161.0,163.0,156.0,156.0,156.0,8038200
2021-12-06,156.0,161.0,155.0,158.0,158.0,5094800
2021-12-07,161.0,162.0,156.0,160.0,160.0,9738100
2021-12-08,160.0,161.0,157.0,158.0,158.0,4709600
2021-12-09,158.0,166.0,157.0,164.0,164.0,20882100
2021-12-10,164.0,175.0,164.0,173.0,173.0,37407400
2021-12-13,175.0,195.0,175.0,188.0,188.0,78719700
2021-12-14,189.0,234.0,187.0,218.0,218.0,189182300
2021-12-15,220.0,222.0,204.0,204.0,204.0,45692900
2021-12-16,200.0,212.0,192.0,202.0,202.0,36203900
2021-12-17,204.0,230.0,200.0,212.0,212.0,108477300
2021-12-20,214.0,218.0,204.0,204.0,204.0,23703000
2021-12-21,204.0,220.0,202.0,218.0,218.0,65624000
2021-12-22,220.0,234.0,206.0,218.0,218.0,48694300
2021-12-23,220.0,226.0,210.0,212.0,212.0,47874800
2021-12-24,212.0,222.0,212.0,218.0,218.0,17217300
2021-12-27,220.0,226.0,204.0,204.0,204.0,40546000
2021-12-28,204.0,206.0,196.0,202.0,202.0,15254100
2021-12-29,204.0,212.0,202.0,204.0,204.0,17794800
2021-12-30,204.0,206.0,190.0,192.0,192.0,18377400
2022-01-03,192.0,202.0,192.0,200.0,200.0,12823500
2022-01-04,202.0,206.0,196.0,200.0,200.0,8209700
2022-01-05,200.0,202.0,192.0,195.0,195.0,10906000
2022-01-06,195.0,198.0,191.0,198.0,198.0,8387700
2022-01-07,198.0,202.0,192.0,196.0,196.0,9927800
