Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,51.0,50.0,50.0,50.0,422700
2021-01-05,50.0,51.0,50.0,50.0,50.0,662400
2021-01-06,50.0,51.0,50.0,51.0,51.0,807200
2021-01-07,51.0,51.0,50.0,50.0,50.0,250900
2021-01-08,50.0,51.0,50.0,50.0,50.0,560200
2021-01-11,50.0,50.0,50.0,50.0,50.0,349100
2021-01-12,50.0,51.0,50.0,50.0,50.0,871200
2021-01-13,50.0,51.0,50.0,50.0,50.0,548400
2021-01-14,50.0,51.0,50.0,50.0,50.0,1673700
2021-01-15,50.0,51.0,50.0,50.0,50.0,532300
2021-01-18,50.0,51.0,50.0,50.0,50.0,670700
2021-01-19,50.0,51.0,50.0,50.0,50.0,995000
2021-01-20,50.0,51.0,50.0,50.0,50.0,226300
2021-01-21,50.0,51.0,50.0,50.0,50.0,37000
2021-01-22,51.0,51.0,50.0,50.0,50.0,235400
2021-01-25,50.0,51.0,50.0,50.0,50.0,149300
2021-01-26,51.0,51.0,50.0,50.0,50.0,858100
2021-01-27,50.0,51.0,50.0,50.0,50.0,878000
2021-01-28,50.0,51.0,50.0,50.0,50.0,801500
2021-01-29,50.0,51.0,50.0,51.0,51.0,1140100
2021-02-01,50.0,51.0,50.0,50.0,50.0,969600
2021-02-02,50.0,51.0,50.0,51.0,51.0,806800
2021-02-03,51.0,51.0,50.0,50.0,50.0,265900
2021-02-04,50.0,51.0,50.0,50.0,50.0,596500
2021-02-05,50.0,51.0,50.0,50.0,50.0,176900
2021-02-08,50.0,51.0,50.0,50.0,50.0,528500
2021-02-09,50.0,51.0,50.0,50.0,50.0,103500
2021-02-10,51.0,51.0,50.0,50.0,50.0,11900
2021-02-11,50.0,50.0,50.0,50.0,50.0,90000
2021-02-15,50.0,50.0,50.0,50.0,50.0,12700
2021-02-16,50.0,51.0,50.0,50.0,50.0,541000
2021-02-17,50.0,50.0,50.0,50.0,50.0,318800
2021-02-18,50.0,50.0,50.0,50.0,50.0,22700
2021-02-19,50.0,50.0,50.0,50.0,50.0,268000
2021-02-22,51.0,67.0,51.0,67.0,67.0,16030900
2021-02-23,75.0,90.0,75.0,90.0,90.0,7531500
2021-02-24,119.0,121.0,105.0,121.0,121.0,107331800
2021-02-25,121.0,121.0,121.0,121.0,121.0,0
2021-02-26,121.0,159.0,113.0,122.0,122.0,255946800
2021-03-01,126.0,144.0,125.0,131.0,131.0,91418400
2021-03-02,132.0,135.0,122.0,123.0,123.0,44258800
2021-03-03,123.0,127.0,115.0,116.0,116.0,26179900
2021-03-04,116.0,116.0,108.0,108.0,108.0,9660000
2021-03-05,105.0,129.0,101.0,109.0,109.0,77461200
2021-03-08,109.0,119.0,109.0,113.0,113.0,16976900
2021-03-09,116.0,121.0,106.0,108.0,108.0,21010400
2021-03-10,108.0,111.0,107.0,109.0,109.0,4440500
2021-03-12,110.0,117.0,110.0,112.0,112.0,9832400
2021-03-15,105.0,117.0,105.0,110.0,110.0,4214700
2021-03-16,110.0,114.0,105.0,108.0,108.0,7096700
2021-03-17,105.0,109.0,103.0,103.0,103.0,4926300
2021-03-18,101.0,114.0,101.0,108.0,108.0,14793800
2021-03-19,108.0,110.0,104.0,109.0,109.0,4506600
2021-03-22,109.0,111.0,106.0,107.0,107.0,4782000
2021-03-23,106.0,108.0,104.0,105.0,105.0,4663800
2021-03-24,101.0,106.0,101.0,104.0,104.0,4464000
2021-03-25,101.0,112.0,101.0,106.0,106.0,16003700
2021-03-26,99.0,108.0,99.0,103.0,103.0,2941500
2021-03-29,103.0,104.0,98.0,98.0,98.0,3988500
2021-03-30,100.0,100.0,92.0,92.0,92.0,7523700
2021-03-31,92.0,92.0,86.0,86.0,86.0,2076000
2021-04-01,80.0,92.0,80.0,85.0,85.0,10609300
2021-04-05,85.0,88.0,81.0,82.0,82.0,2557500
2021-04-06,79.0,100.0,79.0,87.0,87.0,15985100
2021-04-07,87.0,90.0,86.0,86.0,86.0,2715100
2021-04-08,82.0,95.0,82.0,94.0,94.0,7414600
2021-04-09,90.0,95.0,90.0,91.0,91.0,3912500
2021-04-12,91.0,94.0,89.0,92.0,92.0,1523800
2021-04-13,89.0,111.0,89.0,104.0,104.0,26727500
2021-04-14,97.0,115.0,97.0,110.0,110.0,35102600
2021-04-15,112.0,112.0,106.0,110.0,110.0,8180000
2021-04-16,110.0,110.0,103.0,103.0,103.0,8721900
2021-04-19,101.0,134.0,101.0,123.0,123.0,161029400
2021-04-20,123.0,123.0,115.0,115.0,115.0,14638400
2021-04-21,108.0,110.0,107.0,107.0,107.0,5629900
2021-04-22,100.0,120.0,100.0,105.0,105.0,57072200
2021-04-23,107.0,111.0,100.0,111.0,111.0,32438200
2021-04-26,111.0,114.0,104.0,104.0,104.0,23504600
2021-04-27,102.0,117.0,101.0,108.0,108.0,57593400
2021-04-28,110.0,113.0,103.0,106.0,106.0,20800900
2021-04-29,107.0,110.0,104.0,108.0,108.0,18389100
2021-04-30,107.0,111.0,104.0,106.0,106.0,20587200
2021-05-03,105.0,110.0,105.0,109.0,109.0,15136900
2021-05-04,110.0,112.0,107.0,108.0,108.0,10621900
2021-05-05,109.0,130.0,108.0,130.0,130.0,78937200
2021-05-06,132.0,139.0,121.0,121.0,121.0,82854700
2021-05-07,120.0,121.0,113.0,113.0,113.0,24442900
2021-05-10,117.0,122.0,106.0,106.0,106.0,46060700
2021-05-11,106.0,122.0,104.0,109.0,109.0,77883000
2021-05-17,111.0,118.0,108.0,109.0,109.0,21924400
2021-05-18,113.0,113.0,105.0,107.0,107.0,8934100
2021-05-19,109.0,109.0,103.0,105.0,105.0,5528200
2021-05-20,105.0,125.0,104.0,121.0,121.0,103429900
2021-05-21,122.0,123.0,113.0,113.0,113.0,11000500
2021-05-24,110.0,112.0,106.0,107.0,107.0,23111400
2021-05-25,107.0,117.0,107.0,109.0,109.0,38045600
2021-05-27,110.0,113.0,106.0,109.0,109.0,9665600
2021-05-28,110.0,112.0,107.0,108.0,108.0,5436800
2021-05-31,111.0,113.0,106.0,106.0,106.0,8971300
2021-06-02,106.0,109.0,106.0,108.0,108.0,4638600
2021-06-03,107.0,109.0,106.0,107.0,107.0,4344600
2021-06-04,107.0,144.0,107.0,144.0,144.0,169975000
2021-06-07,153.0,180.0,134.0,134.0,134.0,239978900
2021-06-08,134.0,159.0,130.0,142.0,142.0,138230200
2021-06-09,144.0,151.0,136.0,138.0,138.0,42492800
2021-06-10,138.0,142.0,135.0,137.0,137.0,17194600
2021-06-11,137.0,139.0,128.0,130.0,130.0,19448000
2021-06-14,130.0,135.0,127.0,127.0,127.0,11773200
2021-06-15,127.0,158.0,123.0,158.0,158.0,194857600
2021-06-16,160.0,162.0,147.0,147.0,147.0,25687200
2021-06-17,137.0,163.0,137.0,150.0,150.0,94042900
2021-06-18,151.0,157.0,140.0,140.0,140.0,47400500
2021-06-21,137.0,137.0,131.0,131.0,131.0,15869800
2021-06-22,132.0,145.0,131.0,133.0,133.0,35272200
2021-06-23,134.0,138.0,132.0,134.0,134.0,14969900
2021-06-24,137.0,167.0,134.0,153.0,153.0,220436200
2021-06-25,156.0,156.0,143.0,143.0,143.0,36675200
2021-06-28,143.0,159.0,136.0,142.0,142.0,121003400
2021-06-29,145.0,148.0,138.0,140.0,140.0,19437300
2021-06-30,141.0,151.0,139.0,143.0,143.0,41113500
2021-07-01,141.0,148.0,141.0,142.0,142.0,20164800
2021-07-02,140.0,159.0,140.0,154.0,154.0,87636200
2021-07-05,158.0,160.0,144.0,144.0,144.0,29323900
2021-07-06,134.0,141.0,134.0,138.0,138.0,46079200
2021-07-07,142.0,144.0,137.0,140.0,140.0,27327300
2021-07-08,145.0,145.0,138.0,140.0,140.0,11321700
2021-07-09,141.0,144.0,138.0,139.0,139.0,15041100
2021-07-12,140.0,141.0,137.0,137.0,137.0,7163200
2021-07-13,135.0,140.0,134.0,138.0,138.0,10358800
2021-07-14,138.0,148.0,135.0,147.0,147.0,88094000
2021-07-15,147.0,149.0,137.0,137.0,137.0,38896500
2021-07-16,138.0,148.0,138.0,142.0,142.0,60787100
2021-07-19,148.0,158.0,141.0,144.0,144.0,141212900
2021-07-21,145.0,151.0,139.0,148.0,148.0,44257800
2021-07-22,149.0,199.0,148.0,199.0,199.0,284055600
2021-07-23,210.0,260.0,206.0,212.0,212.0,252936300
2021-07-26,214.0,234.0,198.0,226.0,226.0,111603200
2021-07-27,226.0,282.0,218.0,282.0,282.0,234243800
2021-07-28,310.0,338.0,300.0,308.0,308.0,151125600
2021-07-29,312.0,316.0,290.0,292.0,292.0,38546900
2021-07-30,292.0,328.0,290.0,298.0,298.0,63442400
2021-08-02,300.0,322.0,292.0,310.0,310.0,68815200
2021-08-03,298.0,314.0,298.0,306.0,306.0,20310400
2021-08-04,302.0,326.0,294.0,310.0,310.0,43572600
2021-08-05,310.0,312.0,294.0,294.0,294.0,21971800
2021-08-06,280.0,366.0,280.0,346.0,346.0,208514200
2021-08-09,346.0,346.0,346.0,346.0,346.0,0
2021-08-10,346.0,362.0,322.0,322.0,322.0,39537500
