Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,720.0,720.0,700.0,700.0,700.0,568200
2021-12-02,660.0,710.0,660.0,675.0,675.0,3227500
2021-12-03,680.0,695.0,675.0,695.0,695.0,2138200
2021-12-06,705.0,705.0,660.0,680.0,680.0,1056400
2021-12-07,715.0,720.0,660.0,685.0,685.0,3542500
2021-12-08,690.0,695.0,665.0,680.0,680.0,1470600
2021-12-09,680.0,680.0,660.0,670.0,670.0,628500
2021-12-10,670.0,680.0,660.0,675.0,675.0,3240200
2021-12-13,675.0,695.0,665.0,685.0,685.0,4701400
2021-12-14,695.0,700.0,665.0,675.0,675.0,1437000
2021-12-15,675.0,675.0,650.0,665.0,665.0,1105400
2021-12-16,665.0,665.0,640.0,665.0,665.0,1535200
2021-12-17,665.0,665.0,655.0,660.0,660.0,323400
2021-12-20,660.0,660.0,640.0,655.0,655.0,268100
2021-12-21,655.0,660.0,645.0,655.0,655.0,198400
2021-12-22,655.0,655.0,635.0,655.0,655.0,1291600
2021-12-23,655.0,655.0,635.0,655.0,655.0,1698600
2021-12-24,655.0,655.0,630.0,630.0,630.0,2707400
2021-12-27,640.0,665.0,630.0,640.0,640.0,2506400
2021-12-28,650.0,655.0,645.0,655.0,655.0,343200
2021-12-29,655.0,670.0,630.0,645.0,645.0,682800
2021-12-30,650.0,655.0,625.0,645.0,645.0,1667500
2022-01-03,650.0,660.0,635.0,650.0,650.0,133600
2022-01-04,660.0,660.0,635.0,650.0,650.0,574200
2022-01-05,650.0,650.0,625.0,640.0,640.0,1310100
2022-01-06,640.0,640.0,620.0,635.0,635.0,972800
2022-01-07,635.0,640.0,625.0,635.0,635.0,630900
